Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,31.4,33.799999,31.0,1.69,33.799999,1636200
2009-01-05,34.0,35.0,33.200001,1.66,33.200001,1707300
2009-01-06,34.0,34.799999,33.599998,1.74,34.799999,1460400
2009-01-07,34.400002,34.400002,32.799999,1.64,32.799999,1338300
2009-01-08,33.0,33.200001,32.400002,1.65,33.0,994300
2009-01-09,33.400002,33.599998,32.400002,1.62,32.400002,873400
2009-01-12,32.799999,33.0,30.6,1.54,30.799999,1556600
2009-01-13,31.0,31.799999,30.6,1.58,31.6,1215000
2009-01-14,30.799999,31.0,29.799999,1.49,29.799999,1545900
2009-01-15,30.200001,30.4,27.799999,1.41,28.200001,2399100
2009-01-16,29.6,30.0,28.0,1.42,28.4,1729300
2009-01-20,28.799999,30.0,27.4,1.37,27.4,2627200
2009-01-21,28.0,29.200001,27.0,1.45,29.0,1960000
2009-01-22,28.200001,28.6,26.200001,1.31,26.200001,1749500
2009-01-23,25.6,27.4,25.0,1.37,27.4,1674200
2009-01-26,26.799999,27.6,25.200001,1.26,25.200001,1322800
2009-01-27,25.6,27.0,25.200001,1.35,27.0,906400
2009-01-28,28.0,28.200001,27.200001,1.41,28.200001,1777400
2009-01-29,27.200001,27.200001,25.799999,1.29,25.799999,1086200
2009-01-30,26.4,26.799999,25.4,1.28,25.6,1410200
2009-02-02,25.4,25.4,24.0,1.23,24.6,1593600
2009-02-03,24.6,24.799999,20.0,1.08,21.6,3445300
2009-02-04,22.0,22.0,20.4,1.03,20.6,1911200
2009-02-05,20.4,20.799999,19.799999,1.0,20.0,2603400
2009-02-06,20.200001,20.799999,18.0,1.04,20.799999,3038100
2009-02-09,21.0,21.4,20.0,1.04,20.799999,1439400
2009-02-10,21.200001,21.4,18.4,0.92,18.4,2965200
2009-02-11,19.799999,19.799999,17.799999,0.96,19.200001,1846400
2009-02-12,18.200001,18.799999,17.0,0.9,18.0,1869100
2009-02-13,18.0,18.200001,17.0,0.85,17.0,866800
2009-02-17,15.8,16.4,15.0,0.78,15.6,1695500
2009-02-18,15.8,16.0,14.2,0.73,14.6,1318800
2009-02-19,14.4,14.4,11.0,0.59,11.8,2701600
2009-02-20,11.2,11.8,9.8,0.54,10.8,3683400
2009-02-23,11.8,12.6,9.0,0.53,10.6,3900100
2009-02-24,9.2,9.4,7.6,0.41,8.2,5250300
2009-02-25,8.6,9.4,8.2,0.46,9.2,2998800
2009-02-26,11.4,11.6,9.6,0.52,10.4,3983200
2009-02-27,9.2,9.8,8.2,0.42,8.4,3329800
2009-03-02,10.4,10.4,8.4,0.42,8.4,3450200
2009-03-03,10.0,10.0,8.6,0.43,8.6,2909900
2009-03-04,10.0,10.0,8.2,0.43,8.6,2601300
2009-03-05,8.4,8.8,7.0,0.35,7.0,3132700
2009-03-06,7.4,7.4,6.6,0.35,7.0,2601400
2009-03-09,7.6,7.6,6.6,0.35,7.0,1906200
2009-03-10,7.8,8.4,7.0,0.42,8.4,3022400
2009-03-11,8.6,8.8,7.8,0.41,8.2,2194600
2009-03-12,8.2,8.4,7.4,0.41,8.2,2337600
2009-03-13,8.4,10.2,8.4,0.5,10.0,3542700
2009-03-16,12.2,20.0,11.4,0.83,16.6,14289200
2009-03-17,18.799999,20.0,16.6,0.96,19.200001,8738900
2009-03-18,20.0,29.0,19.6,1.38,27.6,29134700
2009-03-19,39.799999,40.0,27.799999,1.62,32.400002,27918400
2009-03-20,28.799999,29.0,21.200001,1.26,25.200001,20180600
2009-03-23,30.0,30.799999,28.0,1.48,29.6,12014600
2009-03-24,28.4,30.799999,26.4,1.39,27.799999,11326300
2009-03-25,29.0,29.200001,23.0,1.2,24.0,16034400
2009-03-26,25.6,25.6,22.0,1.1,22.0,11401900
2009-03-27,20.6,21.6,18.4,1.02,20.4,11188300
2009-03-30,19.6,21.0,18.6,0.95,19.0,5709800
2009-03-31,20.799999,21.0,19.200001,1.0,20.0,6350600
2009-04-01,19.6,21.4,19.4,1.07,21.4,4199500
2009-04-02,24.4,24.6,22.0,1.14,22.799999,7532300
2009-04-03,23.0,23.0,21.4,1.14,22.799999,4270800
2009-04-06,22.4,22.4,21.6,1.1,22.0,3171100
2009-04-07,21.6,21.6,21.0,1.05,21.0,2464100
2009-04-08,21.6,22.4,21.200001,1.08,21.6,2534700
2009-04-09,23.200001,23.200001,22.200001,1.16,23.200001,4608500
2009-04-13,23.4,28.6,23.200001,1.42,28.4,8969300
2009-04-14,30.6,35.599998,30.0,1.52,30.4,17604700
2009-04-15,32.400002,32.799999,31.0,1.6,32.0,7526300
2009-04-16,34.599998,34.799999,33.0,1.69,33.799999,7183800
2009-04-17,34.599998,34.599998,30.6,1.62,32.400002,8119400
2009-04-20,30.4,30.6,25.799999,1.29,25.799999,8303200
2009-04-21,24.799999,29.799999,23.4,1.46,29.200001,8554300
2009-04-22,29.799999,31.4,27.0,1.43,28.6,5998200
2009-04-23,29.6,30.799999,29.200001,1.5,30.0,3674500
2009-04-24,30.6,30.6,28.6,1.46,29.200001,3964300
2009-04-27,28.0,28.799999,27.200001,1.4,28.0,2879700
2009-04-28,27.0,29.6,26.6,1.34,26.799999,2707000
2009-04-29,27.799999,28.4,27.4,1.41,28.200001,3070800
2009-04-30,29.0,29.200001,27.200001,1.38,27.6,2994400
