Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,11.97,12.1,11.44,14.55,11.64,1908400
2009-01-05,11.67,11.98,11.17,14.25,11.4,2532000
2009-01-06,11.86,12.89,11.33,15.875,12.7,3466100
2009-01-07,12.37,12.66,11.75,14.8375,11.87,2592800
2009-01-08,11.6,12.11,11.33,14.8875,11.91,2391700
2009-01-09,11.93,12.59,11.7,15.1,12.08,3951400
2009-01-12,11.97,11.99,10.4,13.162498999999999,10.53,2941500
2009-01-13,10.31,10.63,10.01,12.925,10.34,3170300
2009-01-14,10.07,10.11,9.57,12.1375,9.71,3510700
2009-01-15,9.63,10.56,9.0,12.462501,9.97,4588200
2009-01-16,10.28,10.8,9.53,13.175,10.54,3488400
2009-01-20,10.43,10.49,8.59,10.825,8.66,5257300
2009-01-21,9.02,10.01,8.7,12.462501,9.97,5357900
2009-01-22,9.1,9.92,8.96,11.637501,9.31,4200400
2009-01-23,9.01,9.93,8.8,12.3,9.84,3058600
2009-01-26,9.94,10.21,9.48,12.262501,9.81,3332100
2009-01-27,10.01,10.21,9.42,12.1375,9.71,2423700
2009-01-28,10.21,10.5,9.8,13.0625,10.45,4696000
2009-01-29,10.1,10.25,9.38,11.837501,9.47,5254600
2009-01-30,9.59,9.76,8.75,11.1125,8.89,3849300
2009-02-02,8.63,9.08,8.61,11.174999,8.94,4202300
2009-02-03,8.51,9.11,8.51,11.15,8.92,3686300
2009-02-04,8.8,9.34,8.64,10.825,8.66,3399500
2009-02-05,8.53,8.53,7.63,9.6625,7.73,5725800
2009-02-06,9.17,9.17,6.3,9.0625,7.25,9166500
2009-02-09,7.3,7.36,7.01,9.175,7.34,3494500
2009-02-10,7.24,7.34,6.26,7.9625,6.37,6703600
2009-02-11,6.42,6.65,6.2,8.15,6.52,4622800
2009-02-12,6.44,6.52,5.9,8.0875,6.47,5484300
2009-02-13,6.39,6.5,5.86,7.3375,5.87,4498100
2009-02-17,5.71,5.71,5.26,6.65,5.32,5586900
2009-02-18,5.6,5.6,5.15,6.7875,5.43,5160200
2009-02-19,5.5,5.72,5.07,6.3875,5.11,3795900
2009-02-20,4.96,5.69,4.9,6.975,5.58,5631500
2009-02-23,5.61,5.67,5.16,6.5125,5.21,5371900
2009-02-24,5.12,5.74,5.12,7.075,5.66,5943900
2009-02-25,5.59,5.75,5.2,6.8375,5.47,4624800
2009-02-26,5.61,5.66,5.1,6.4625,5.17,5231000
2009-02-27,5.09,5.4,4.9,6.525,5.22,7922200
2009-03-02,5.16,5.37,4.92,6.2375,4.99,5138800
2009-03-03,5.13,5.57,4.9,6.375,5.1,5199600
2009-03-04,5.39,5.6,5.15,6.7625,5.41,5070200
2009-03-05,5.25,5.25,4.91,6.225,4.98,5741200
2009-03-06,5.07,5.13,4.57,6.175,4.94,6280600
2009-03-09,4.99,5.19,4.68,6.4,5.12,4555300
2009-03-10,5.22,5.81,5.1,7.2625,5.81,7988700
2009-03-11,5.82,5.86,5.32,6.825,5.46,5860000
2009-03-12,5.44,6.19,5.32,7.5,6.0,6864900
2009-03-13,6.05,6.05,5.47,7.3125,5.85,3461800
2009-03-16,6.04,6.1,4.99,6.2625,5.01,4836800
2009-03-17,5.03,5.67,4.92,7.0875,5.67,5734000
2009-03-18,5.51,6.09,5.2,7.5,6.0,6114600
2009-03-19,6.13,6.28,5.45,6.8125,5.45,4944700
2009-03-20,5.45,5.52,5.08,6.3875,5.11,5125400
2009-03-23,5.34,6.16,5.29,7.6875,6.15,6780200
2009-03-24,5.99,6.1,5.5,6.925,5.54,5208900
2009-03-25,5.6,5.99,5.1,6.9875,5.59,6240600
2009-03-26,5.61,5.77,5.3,7.175,5.74,4518500
2009-03-27,5.65,5.65,5.35,6.8125,5.45,3762200
2009-03-30,5.29,5.31,4.99,6.2375,4.99,4238800
2009-03-31,5.12,5.72,5.02,6.85,5.48,6849500
2009-04-01,5.32,5.63,5.18,6.9,5.52,4010500
2009-04-02,5.74,5.91,5.65,7.3125,5.85,5766500
2009-04-03,5.83,6.43,5.54,8.0125,6.41,6763300
2009-04-06,6.28,6.6,6.11,8.0,6.4,4546100
2009-04-07,6.25,6.5,6.04,7.5625,6.05,4964300
2009-04-08,6.25,6.4,5.94,7.55,6.04,4592800
2009-04-09,6.37,7.08,6.26,8.85,7.08,8803800
2009-04-13,6.84,7.05,6.55,8.3625,6.69,7736800
2009-04-14,6.66,6.85,6.13,7.6625,6.13,7014000
2009-04-15,6.11,6.77,6.0,8.424999,6.74,8225100
2009-04-16,6.75,7.23,6.36,8.737499,6.99,8708000
2009-04-17,6.79,7.17,6.55,8.6125,6.89,8367500
2009-04-20,6.55,6.72,5.88,7.3875,5.91,8821800
2009-04-21,5.91,6.93,5.83,8.5125,6.81,8650000
2009-04-22,6.62,7.26,6.62,8.4875,6.79,8161800
2009-04-23,6.76,7.04,6.58,8.762501,7.01,4913300
2009-04-24,7.08,7.5,6.81,9.1875,7.35,6482300
2009-04-27,7.15,7.22,6.53,8.4375,6.75,4579500
2009-04-28,6.73,7.14,6.6,8.5875,6.87,2813000
2009-04-29,7.06,7.25,7.0,8.9875,7.19,3369300
2009-04-30,7.3,7.64,7.15,9.125,7.3,3808700
2009-05-01,7.3,7.54,6.98,9.0875,7.27,5210400
2009-05-04,7.28,8.43,7.22,10.5125,8.41,7107800
2009-05-05,8.27,8.44,8.0,10.225,8.18,5086300
2009-05-06,8.44,9.11,8.36,11.224999,8.98,6283600
2009-05-07,9.03,9.37,8.11,10.287499,8.23,5658300
2009-05-08,8.55,9.48,8.46,11.8125,9.45,5859500
2009-05-11,8.74,9.2,8.74,11.025,8.82,5361300
2009-05-12,8.93,9.03,8.31,10.7875,8.63,3691000
2009-05-13,8.36,8.43,7.6,9.625,7.7,4272200
2009-05-14,7.58,8.11,7.33,10.012501,8.01,4496700
2009-05-15,7.91,8.11,7.56,9.7125,7.77,4656500
2009-05-18,7.95,8.88,7.87,11.0625,8.85,5267200
2009-05-19,8.77,9.13,8.49,11.012501,8.81,4584300
2009-05-20,8.99,9.54,8.95,11.212501,8.97,4505400
2009-05-21,8.71,9.48,8.68,11.5625,9.25,4011600
2009-05-22,9.31,9.4,8.84,11.1375,8.91,2851100
2009-05-26,8.82,9.48,8.73,11.6125,9.29,6110100
2009-05-27,9.21,9.25,8.7,10.9375,8.75,4333000
2009-05-28,9.0,9.09,8.6,11.3,9.04,3085600
2009-05-29,8.89,9.47,8.76,11.8125,9.45,4618200
2009-06-01,9.65,10.55,9.49,12.6625,10.13,6013600
2009-06-02,10.14,10.23,9.79,12.3875,9.91,4185600
2009-06-03,9.79,10.19,9.47,12.7,10.16,3407000
2009-06-04,10.25,10.89,10.14,13.512501,10.81,4266900
2009-06-05,11.05,11.1,10.65,13.3875,10.71,3977500
2009-06-08,10.61,11.03,10.48,13.575,10.86,3059900
2009-06-09,10.95,10.97,10.62,13.55,10.84,2624600
2009-06-10,11.01,11.08,10.25,13.175,10.54,2918000
2009-06-11,10.53,10.8,10.32,12.925,10.34,2053600
2009-06-12,10.3,10.92,10.24,13.65,10.92,2230400
2009-06-15,10.7,10.7,9.75,12.224999,9.78,4091400
2009-06-16,9.9,10.05,9.38,12.0375,9.63,3266100
2009-06-17,9.59,9.75,8.98,11.4125,9.13,4104100
2009-06-18,9.2,9.26,8.97,11.3875,9.11,2732200
2009-06-19,9.22,9.28,8.88,11.3625,9.09,2838900
2009-06-22,8.92,9.05,8.4,10.587501,8.47,3665600
2009-06-23,8.5,8.79,8.4,10.662499,8.53,2894300
2009-06-24,8.61,8.9,8.34,10.5625,8.45,2953100
2009-06-25,8.36,8.73,8.1,10.912499,8.73,3939200
2009-06-26,8.71,9.22,8.54,11.45,9.16,3184300
2009-06-29,9.22,9.22,8.85,11.224999,8.98,2471600
2009-06-30,9.01,9.17,8.82,11.0625,8.85,2147100
2009-07-01,8.92,9.09,8.92,11.224999,8.98,1533800
2009-07-02,8.84,9.0,8.32,10.525,8.42,3024600
2009-07-06,8.45,8.63,8.27,10.7125,8.57,2747500
2009-07-07,8.5,8.56,8.02,10.0625,8.05,2447900
2009-07-08,8.1,8.17,7.44,9.7125,7.77,4050400
2009-07-09,7.91,7.93,7.51,9.4375,7.55,2148800
2009-07-10,7.46,7.62,7.36,9.362499,7.49,1755300
2009-07-13,7.58,7.88,7.45,9.825,7.86,2797300
2009-07-14,7.89,7.93,7.55,9.875,7.9,1847000
2009-07-15,8.0,8.39,7.97,10.3625,8.29,2641600
2009-07-16,8.19,8.49,8.0,10.4875,8.39,1917700
2009-07-17,8.44,8.49,7.97,10.012501,8.01,1703000
2009-07-20,8.06,8.52,8.06,10.625,8.5,1812400
2009-07-21,8.64,8.64,8.13,10.3625,8.29,1635900
2009-07-22,8.22,8.58,8.16,10.5625,8.45,1543500
2009-07-23,8.45,8.88,8.45,10.962501,8.77,2871800
2009-07-24,8.73,9.02,8.65,11.1875,8.95,1718600
2009-07-27,8.9,9.14,8.81,11.3625,9.09,1981900
2009-07-28,9.0,9.17,8.95,11.4,9.12,1589400
2009-07-29,9.0,9.17,8.75,11.0375,8.83,1511400
2009-07-30,9.08,9.35,8.87,11.45,9.16,2917600
2009-07-31,9.17,9.52,9.17,11.725,9.38,2785100
2009-08-03,9.52,9.52,9.21,11.675,9.34,2224900
2009-08-04,9.3,10.34,9.28,12.675,10.14,5506400
2009-08-05,10.11,10.99,10.11,13.6875,10.95,4206300
2009-08-06,11.09,11.51,10.98,13.737499,10.99,3519600
2009-08-07,11.14,12.43,11.06,15.1125,12.09,5046400
2009-08-10,12.01,12.04,11.3,14.15,11.32,3373900
2009-08-11,11.33,11.33,10.76,13.6625,10.93,2781600
2009-08-12,10.96,11.49,10.9,14.2,11.36,3103200
2009-08-13,11.57,11.77,11.33,14.375,11.5,1981700
2009-08-14,11.4,11.44,11.09,14.1125,11.29,2589200
2009-08-17,10.99,10.99,10.49,13.162498999999999,10.53,3028600
2009-08-18,10.6,10.79,10.51,13.2875,10.63,1896400
2009-08-19,10.34,10.79,10.32,13.362499,10.69,2696700
2009-08-20,10.7,11.26,10.6,14.075001,11.26,2490400
2009-08-21,11.46,12.06,11.41,14.9375,11.95,3605900
2009-08-24,12.12,12.43,12.01,15.1625,12.13,3693000
2009-08-25,12.17,12.5,12.09,15.375,12.3,2805100
2009-08-26,12.27,12.62,12.16,15.575,12.46,2457600
2009-08-27,12.4,12.63,12.12,15.6875,12.55,2365300
2009-08-28,12.68,12.72,12.34,15.700001,12.56,2266000
2009-08-31,12.32,12.51,12.09,15.2125,12.17,2963600
2009-09-01,12.12,12.28,11.5,14.412498999999999,11.53,4078300
2009-09-02,11.42,11.56,11.31,14.2,11.36,3439500
2009-09-03,11.46,11.65,11.1,14.5625,11.65,3093200
2009-09-04,11.59,11.66,11.44,14.5375,11.63,3680200
2009-09-08,11.72,12.31,11.71,15.387501,12.31,2449800
2009-09-09,12.16,12.68,12.16,15.85,12.68,2312200
2009-09-10,12.58,13.39,12.47,16.699999,13.36,2539200
2009-09-11,13.42,13.74,12.99,16.3375,13.07,3546100
2009-09-14,12.94,13.56,12.83,16.950001,13.56,2234800
