Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,7.315,7.445,7.1375,29.59,7.3975,4737600
2009-01-05,7.335,7.6425,7.2375,30.030001000000002,7.5075,5855600
2009-01-06,7.4575,7.7375,7.4575,30.76,7.69,5419200
2009-01-07,7.545,7.7375,7.4775,30.5,7.625,4759200
2009-01-08,7.525,7.6625,7.4425,30.58,7.645,3993600
2009-01-09,7.6275,7.6275,7.265,29.969998999999998,7.4925,3077200
2009-01-12,7.55,7.625,7.2625,29.559998999999998,7.39,2803200
2009-01-13,7.385,7.525,7.1875,28.99,7.2475,2448000
2009-01-14,7.11,7.2625,6.8175,27.75,6.9375,3122800
2009-01-15,6.9925,7.295,6.6725,28.01,7.0025,4861200
2009-01-16,7.1025,7.5,7.055,29.790001,7.4475,3652400
2009-01-20,7.3725,7.425,7.0275,28.200001,7.05,3376400
2009-01-21,7.145,7.1475,6.2825,26.120001000000002,6.53,6172000
2009-01-22,6.405,6.6275,6.34,26.219998999999998,6.555,3408400
2009-01-23,6.395,6.88,6.3625,26.559998999999998,6.64,3186800
2009-01-26,6.655,6.745,6.4225,26.129998999999998,6.5325,1967600
2009-01-27,6.555,6.555,6.13,25.16,6.29,2774800
2009-01-28,6.4125,6.7125,6.2775,26.610001,6.6525,2364000
2009-01-29,6.525,7.5275,6.4975,27.559998999999998,6.89,7230000
2009-01-30,6.8675,6.9975,6.3175,26.360001,6.59,5182000
2009-02-02,6.5425,6.815,6.35,27.02,6.755,4706800
2009-02-03,6.75,6.795,6.4875,26.58,6.645,2805600
2009-02-04,6.645,6.9925,6.5325,26.23,6.5575,3237600
2009-02-05,6.5,7.115,6.39,27.620001000000002,6.905,3504400
2009-02-06,6.965,7.355,6.85,28.92,7.23,4734000
2009-02-09,7.185,7.32,7.04,28.719998999999998,7.18,2392000
2009-02-10,7.0525,7.32,6.9,27.99,6.9975,3267200
2009-02-11,7.05,7.1025,6.665,27.07,6.7675,4327200
2009-02-12,6.805,7.2875,6.7675,28.950001,7.2375,5237600
2009-02-13,7.2125,7.355,7.0325,28.610001,7.1525,2554800
2009-02-17,7.1925,7.49,6.9825,29.48,7.37,5087600
2009-02-18,7.3175,7.3675,6.7,27.15,6.7875,4988400
2009-02-19,6.8275,6.9375,6.555,26.41,6.6025,2566800
2009-02-20,6.505,6.62,5.7675,24.27,6.0675,5369200
2009-02-23,6.1275,6.3475,5.805,23.879998999999998,5.97,4607200
2009-02-24,6.07,6.0925,5.785,23.959999,5.99,3596400
2009-02-25,5.9325,5.9325,5.2875,22.27,5.5675,5699600
2009-02-26,5.5325,5.8575,5.295,22.98,5.745,5872400
2009-02-27,5.6275,5.7675,5.4325,21.91,5.4775,4048400
2009-03-02,5.3675,5.525,5.115,20.59,5.1475,3727200
2009-03-03,5.1625,5.225,4.55,18.4,4.6,4693600
2009-03-04,4.6675,4.7775,4.4475,18.18,4.545,3682800
2009-03-05,4.5,4.5,3.6425,14.8,3.7,9448400
2009-03-06,3.6875,3.8525,3.6225,15.08,3.77,4637200
2009-03-09,3.7325,3.8375,3.4375,13.94,3.485,6224400
2009-03-10,3.4825,3.675,3.4025,14.55,3.6375,5824800
2009-03-11,3.67,4.045,3.57,15.81,3.9525,7582800
2009-03-12,3.8875,4.2475,3.8025,16.719998999999998,4.18,3966000
2009-03-13,4.245,4.4475,4.235,17.26,4.315,2570400
2009-03-16,4.3175,4.475,4.085,16.43,4.1075,4289600
2009-03-17,4.125,4.5775,4.0375,18.299999,4.575,4108400
2009-03-18,4.575,4.6825,4.19,18.07,4.5175,3791600
2009-03-19,4.5,4.555,4.14,16.83,4.2075,2946800
2009-03-20,4.2075,4.2875,4.115,16.5,4.125,2826000
2009-03-23,4.2325,4.395,3.98,17.58,4.395,2904400
2009-03-24,4.3325,4.3325,4.08,16.83,4.2075,3583600
2009-03-25,4.16,4.5525,4.16,17.27,4.3175,2804000
2009-03-26,4.3825,4.81,4.3625,18.65,4.6625,3250400
2009-03-27,4.5275,4.68,4.465,18.07,4.5175,2281600
2009-03-30,4.4425,4.4825,4.12,16.75,4.1875,3836800
2009-03-31,4.2275,4.505,4.075,17.57,4.3925,3081600
2009-04-01,4.3725,4.5425,4.2,18.07,4.5175,2269200
2009-04-02,4.5875,5.03,4.58,20.08,5.02,4752800
2009-04-03,4.96,5.08,4.855,19.780001000000002,4.945,2190400
2009-04-06,4.8775,5.225,4.8125,20.16,5.04,3378800
2009-04-07,4.935,5.1075,4.775,19.110001,4.7775,2481200
2009-04-08,4.795,4.9925,4.7775,19.700001,4.925,1298000
2009-04-09,5.0825,5.52,5.01,21.940001000000002,5.485,2427200
2009-04-13,5.41,5.48,5.27,21.58,5.395,2341600
2009-04-14,5.2975,5.4475,4.91,19.860001,4.965,2402800
2009-04-15,4.91,5.265,4.71,20.58,5.145,2910000
2009-04-16,5.1575,5.2075,4.8175,20.26,5.065,2752000
2009-04-17,5.065,5.18,4.8125,19.799999,4.95,3423200
2009-04-20,4.8175,4.92,4.57,18.73,4.6825,3585200
2009-04-21,4.6775,5.075,4.5425,19.809998999999998,4.9525,2516800
2009-04-22,4.9225,5.2575,4.8675,19.82,4.955,2724400
2009-04-23,4.9775,4.9775,4.045,17.379998999999998,4.345,8406000
2009-04-24,4.4525,4.595,4.375,17.82,4.455,3188400
2009-04-27,4.23,4.2425,3.9675,16.549999,4.1375,6728000
2009-04-28,4.0825,4.435,4.0275,16.52,4.13,4361200
2009-04-29,4.21,4.3975,4.14,17.08,4.27,3480000
2009-04-30,4.3225,4.39,4.1525,16.780001000000002,4.195,2573600
2009-05-01,4.26,4.33,4.1475,17.26,4.315,2193200
2009-05-04,4.43,4.59,4.3125,18.290001,4.5725,3869200
2009-05-05,4.5575,4.7675,4.5375,18.68,4.67,3894800
2009-05-06,4.7175,4.77,4.42,18.33,4.5825,2654800
2009-05-07,4.6075,4.6525,4.2875,17.35,4.3375,3107600
2009-05-08,4.395,4.4775,4.2925,17.5,4.375,3486400
2009-05-11,4.2725,4.36,4.075,17.219998999999998,4.305,3556800
2009-05-12,4.2475,4.335,4.0,16.610001,4.1525,3527200
2009-05-13,4.025,4.1275,3.945,15.92,3.98,2860400
2009-05-14,3.9,4.1825,3.6325,15.9,3.975,5312400
2009-05-15,3.9475,4.0675,3.9075,15.98,3.995,4153200
2009-05-18,4.03,4.12,3.9375,16.469998999999998,4.1175,2502800
2009-05-19,4.1125,4.125,3.8625,15.67,3.9175,6228400
2009-05-20,4.0175,4.2325,3.9825,15.97,3.9925,6558800
2009-05-21,4.0175,4.1225,3.95,16.370001000000002,4.0925,3914400
2009-05-22,4.1375,4.1875,3.975,16.129998999999998,4.0325,2386400
2009-05-26,3.9725,4.1575,3.9725,16.15,4.0375,3803200
2009-05-27,4.035,4.07,3.76,15.13,3.7825,4490000
2009-05-28,3.865,3.8875,3.75,15.07,3.7675,4518000
2009-05-29,3.77,3.9425,3.7275,15.57,3.8925,2945200
2009-06-01,3.99,4.05,3.9025,15.85,3.9625,3241200
2009-06-02,3.985,4.2225,3.97,16.26,4.065,4086400
2009-06-03,4.01,4.0875,3.95,16.18,4.045,3576800
2009-06-04,4.045,4.0675,3.8525,15.68,3.92,2801200
2009-06-05,3.99,4.0175,3.85,15.91,3.9775,2854400
2009-06-08,3.96,3.995,3.8675,15.83,3.9575,3915200
2009-06-09,3.96,4.0375,3.865,15.99,3.9975,2551600
2009-06-10,4.025,4.0525,3.8625,15.69,3.9225,3118800
2009-06-11,3.9175,4.0225,3.845,15.6,3.9,2982000
2009-06-12,3.91,4.12,3.8875,16.379998999999998,4.095,2928000
2009-06-15,3.985,4.1125,3.955,16.299999,4.075,2911600
2009-06-16,4.125,4.29,4.125,16.620001000000002,4.155,3533600
2009-06-17,4.205,4.365,4.145,17.209999,4.3025,3290000
2009-06-18,4.345,4.5725,4.1925,18.07,4.5175,3998800
2009-06-19,4.58,4.5875,4.4175,17.860001,4.465,3103600
2009-06-22,4.39,4.4275,4.25,17.0,4.25,2686400
2009-06-23,4.245,4.27,4.0175,16.51,4.1275,2867200
2009-06-24,4.165,4.3325,4.085,16.700001,4.175,2563600
2009-06-25,4.1575,4.48,4.1575,17.879998999999998,4.47,3844800
2009-06-26,4.465,4.5175,4.4125,17.950001,4.4875,2167600
2009-06-29,4.4875,4.6575,4.4425,18.42,4.605,2441200
2009-06-30,4.605,4.605,4.4675,18.26,4.565,1546000
2009-07-01,4.5375,4.6975,4.5375,18.700001,4.675,2313600
2009-07-02,4.5775,4.65,4.4825,18.35,4.5875,1462000
2009-07-06,4.6075,4.75,4.6025,18.84,4.71,1826800
2009-07-07,4.6875,4.73,4.5375,18.719998999999998,4.68,1928000
2009-07-08,4.715,4.7925,4.6425,18.959999,4.74,2056400
2009-07-09,4.7875,4.7875,4.685,18.799999,4.7,1280800
2009-07-10,4.7,5.1325,4.7,20.34,5.085,3815600
2009-07-13,5.1125,5.2225,4.945,20.76,5.19,2128400
2009-07-14,5.1875,5.2975,5.1375,20.73,5.1825,2883600
2009-07-15,5.285,5.4025,5.1825,21.49,5.3725,2750800
2009-07-16,5.385,5.4,5.16,21.32,5.33,1502800
2009-07-17,5.345,5.365,5.215,21.139999,5.285,1273600
2009-07-20,5.3325,5.5625,5.2225,22.030001000000002,5.5075,2038000
2009-07-21,5.52,5.52,5.03,20.75,5.1875,2623600
