Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,10.12,10.72,10.01,10.67,10.67,10074600
2009-01-05,10.44,10.8,10.37,10.67,10.67,16247500
2009-01-06,10.84,11.71,10.74,11.58,11.58,26660800
2009-01-07,11.17,11.31,10.47,10.6,10.6,25620900
2009-01-08,10.47,10.76,10.27,10.74,10.74,22078800
2009-01-09,10.78,10.81,10.33,10.37,10.37,17581600
2009-01-12,10.4,10.44,9.91,10.0,10.0,20137600
2009-01-13,9.82,10.63,9.75,10.19,10.19,22413900
2009-01-14,9.92,10.04,9.58,9.73,9.73,15423400
2009-01-15,9.78,9.84,9.29,9.7,9.7,20151000
2009-01-16,10.18,10.31,9.61,10.18,10.18,24984100
2009-01-20,10.03,10.15,9.4,9.4,9.4,17276300
2009-01-21,9.61,9.61,9.0,9.42,9.42,25715400
2009-01-22,9.02,9.41,8.85,9.15,9.15,20272500
2009-01-23,8.98,9.89,8.94,9.71,9.71,19632800
2009-01-26,9.62,10.09,9.51,9.83,9.83,17655300
2009-01-27,9.93,10.28,9.86,10.08,10.08,18314000
2009-01-28,10.23,10.47,10.16,10.38,10.38,15670800
2009-01-29,10.12,10.2,9.47,9.6,9.6,22718500
2009-01-30,9.69,9.87,9.31,9.37,9.37,21253500
2009-02-02,9.25,9.52,9.07,9.41,9.41,24355400
2009-02-03,9.35,9.59,9.13,9.58,9.58,21220400
2009-02-04,9.56,10.23,9.46,9.83,9.83,23412900
2009-02-05,9.66,10.3,9.66,10.23,10.23,22772300
2009-02-06,10.23,10.51,10.14,10.45,10.45,17174400
2009-02-09,10.46,10.56,10.12,10.2,10.2,27047400
2009-02-10,10.05,10.42,9.68,9.69,9.69,35956700
2009-02-11,9.47,10.05,9.46,9.77,9.77,26078000
2009-02-12,9.6,9.69,9.07,9.42,9.42,39398000
2009-02-13,9.4,9.59,9.26,9.51,9.51,28518300
2009-02-17,9.11,9.15,8.58,8.61,8.61,27833800
2009-02-18,8.64,8.94,8.41,8.59,8.59,23256200
2009-02-19,8.74,8.77,8.25,8.34,8.34,30449500
2009-02-20,8.3,8.93,8.19,8.76,8.76,33707700
2009-02-23,8.8,8.92,8.33,8.37,8.37,24107800
2009-02-24,8.5,8.78,8.41,8.74,8.74,22530800
2009-02-25,8.64,9.79,8.54,9.45,9.45,46238400
2009-02-26,9.46,9.99,9.35,9.84,9.84,54131800
2009-02-27,9.55,9.9,9.21,9.21,9.21,39333000
2009-03-02,9.06,9.3,8.78,8.85,8.85,28072200
2009-03-03,8.99,9.07,8.7,8.85,8.85,21909600
2009-03-04,8.9,9.44,8.89,9.3,9.3,21710000
2009-03-05,9.08,9.39,9.01,9.04,9.04,23433200
2009-03-06,9.09,9.29,8.45,8.7,8.7,43140600
