Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,12.01,12.785,11.915,25.48,12.74,2681600
2009-01-05,12.58,12.835,12.45,25.120001000000002,12.56,2415400
2009-01-06,12.625,13.575,12.625,27.02,13.51,4829600
2009-01-07,13.215,13.445,12.945,26.139999,13.07,3079000
2009-01-08,12.77,13.335,12.74,26.469998999999998,13.235,3674800
2009-01-09,13.225,13.31,12.905,26.049999,13.025,2911000
2009-01-12,12.905,12.945,12.21,24.709999,12.355,3254400
2009-01-13,11.735,11.86,11.27,22.75,11.375,7027400
2009-01-14,11.01,11.215,10.775,21.9,10.95,4796400
2009-01-15,11.875,12.735,11.635,25.15,12.575,14159200
2009-01-16,12.96,13.195,12.41,25.530001000000002,12.765,5958800
2009-01-20,12.665,12.875,11.99,24.129998999999998,12.065,3218200
2009-01-21,12.32,12.75,12.155,25.43,12.715,4290800
2009-01-22,12.405,12.78,12.285,25.049999,12.525,7131600
2009-01-23,12.33,12.895,12.08,25.24,12.62,4486200
2009-01-26,12.47,13.035,12.47,25.76,12.88,5409400
2009-01-27,13.0,13.12,12.655,26.07,13.035,3092400
2009-01-28,13.265,14.0,13.07,27.700001,13.85,5874400
2009-01-29,13.68,13.825,13.275,26.66,13.33,3199200
2009-01-30,13.31,13.48,13.02,26.15,13.075,4850800
2009-02-02,12.745,13.095,12.63,25.91,12.955,3501400
2009-02-03,13.07,13.38,12.81,26.57,13.285,2628000
2009-02-04,13.325,14.385,13.3,28.51,14.255,8405600
2009-02-05,13.98,14.49,13.595,28.559998999999998,14.28,4854200
2009-02-06,14.42,14.875,14.295,29.709999,14.855,5521800
2009-02-09,14.825,14.895,14.175,28.65,14.325,3371400
2009-02-10,14.08,14.415,13.525,27.52,13.76,4293000
2009-02-11,13.775,14.0,13.725,27.790001,13.895,2312200
2009-02-12,13.88,14.18,13.595,28.309998999999998,14.155,2856400
2009-02-13,14.155,14.3,13.885,27.860001,13.93,2638200
2009-02-17,12.71,13.53,12.71,26.440001000000002,13.22,3839200
2009-02-18,13.31,13.435,12.895,26.41,13.205,2944400
2009-02-19,13.32,13.365,12.55,25.18,12.59,3025800
2009-02-20,12.37,13.085,12.25,25.809998999999998,12.905,4884400
2009-02-23,13.01,13.09,12.475,25.0,12.5,6219600
2009-02-24,12.43,13.19,12.43,26.25,13.125,3539600
2009-02-25,12.92,13.435,12.79,26.27,13.135,3258800
2009-02-26,13.34,13.505,13.015,26.16,13.08,4141000
2009-02-27,12.68,13.16,12.63,25.42,12.71,5596800
2009-03-02,12.41,12.53,12.0,24.059998999999998,12.03,2897200
2009-03-03,12.205,12.255,11.825,24.0,12.0,3070200
2009-03-04,12.09,12.845,12.09,25.299999,12.65,2617200
2009-03-05,12.3,12.47,11.855,24.049999,12.025,4924600
2009-03-06,12.035,12.255,11.41,23.709999,11.855,5146600
2009-03-09,11.645,11.89,11.42,22.959999,11.48,3365600
2009-03-10,11.645,12.505,11.51,24.940001000000002,12.47,3274400
2009-03-11,12.585,13.12,12.38,25.98,12.99,4975000
2009-03-12,12.75,13.44,12.75,26.879998999999998,13.44,3818400
2009-03-13,13.48,13.655,13.175,26.870001000000002,13.435,5046000
2009-03-16,13.77,13.77,13.31,26.76,13.38,4037000
2009-03-17,13.37,13.725,13.28,27.450001,13.725,3364800
2009-03-18,13.625,14.22,13.405,28.23,14.115,4148400
2009-03-19,14.14,14.32,13.9,28.33,14.165,2869400
2009-03-20,14.225,14.415,13.755,27.93,13.965,4530000
2009-03-23,14.375,14.8,14.245,29.6,14.8,3429000
2009-03-24,14.745,14.795,14.46,29.09,14.545,2536800
2009-03-25,14.74,15.06,14.255,29.370001000000002,14.685,4039800
2009-03-26,14.81,15.42,14.725,30.540001,15.27,4212200
2009-03-27,15.055,15.14,14.745,29.57,14.785,3904600
2009-03-30,14.455,14.545,13.965,28.24,14.12,4688400
2009-03-31,14.24,14.61,14.13,28.49,14.245,3610400
2009-04-01,13.99,14.79,13.99,29.43,14.715,4139000
2009-04-02,14.86,16.375,14.855,31.870001000000002,15.935,6259800
2009-04-03,16.049999,16.08,15.455,31.26,15.63,5046600
2009-04-06,15.47,15.66,15.27,31.190001000000002,15.595,3768400
2009-04-07,15.27,15.27,14.25,28.9,14.45,5370000
2009-04-08,14.01,14.525,14.01,28.82,14.41,4469000
2009-04-09,14.835,15.235,14.69,30.32,15.16,3649400
2009-04-13,14.95,15.065,14.685,29.860001,14.93,2787000
2009-04-14,14.805,15.075,14.63,29.91,14.955,2348200
2009-04-15,14.775,14.985,14.245,28.780001000000002,14.39,5422600
2009-04-16,14.665,15.93,14.665,31.49,15.745,7943000
