Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,33.369999,33.700001,32.610001000000004,33.610001000000004,33.610001000000004,703000
2009-01-05,33.110001000000004,33.330002,32.48,32.900002,32.900002,896400
2009-01-06,33.080002,33.830002,32.540001000000004,32.84,32.84,1349300
2009-01-07,32.400002,32.759997999999996,31.77,31.91,31.91,696400
2009-01-08,31.299999,32.18,31.200001,32.139998999999996,32.139998999999996,1061700
2009-01-09,32.189999,32.189999,31.27,31.389999,31.389999,745700
2009-01-12,31.190001000000002,31.360001,30.34,30.559998999999998,30.559998999999998,833300
2009-01-13,30.52,30.84,30.129998999999998,30.559998999999998,30.559998999999998,963200
2009-01-14,30.190001000000002,30.4,29.4,29.620001000000002,29.620001000000002,1186300
2009-01-15,29.68,30.26,28.83,30.1,30.1,1579000
2009-01-16,30.610001,30.889999,29.66,30.25,30.25,1108600
2009-01-20,29.73,30.27,28.25,28.33,28.33,1148600
2009-01-21,28.83,29.360001,27.969998999999998,29.34,29.34,1165500
2009-01-22,28.73,28.790001,27.76,28.379998999999998,28.379998999999998,1603800
2009-01-23,27.700001,28.709999,27.290001,28.15,28.15,1044600
2009-01-26,28.18,28.379998999999998,27.35,27.84,27.84,1572300
2009-01-27,26.91,27.25,24.200001,25.719998999999998,25.719998999999998,3526100
2009-01-28,25.959999,26.49,25.51,25.92,25.92,1764100
2009-01-29,25.709999,25.879998999999998,25.209999,25.280001000000002,25.280001000000002,1576000
2009-01-30,25.16,25.530001000000002,24.040001,24.23,24.23,1685000
2009-02-02,23.969998999999998,24.280001000000002,23.59,24.07,24.07,1430200
2009-02-03,24.049999,24.450001,23.610001,24.35,24.35,1752400
2009-02-04,24.299999,24.65,24.0,24.129998999999998,24.129998999999998,1392500
2009-02-05,23.82,24.6,23.52,24.26,24.26,1085800
2009-02-06,24.26,24.92,24.18,24.77,24.77,1085600
2009-02-09,24.65,25.129998999999998,24.370001000000002,24.719998999999998,24.719998999999998,1016900
2009-02-10,24.540001,24.719998999999998,23.219998999999998,23.34,23.34,1319600
2009-02-11,23.41,23.76,23.25,23.57,23.57,961700
2009-02-12,23.200001,23.26,22.34,23.23,23.23,1433600
2009-02-13,23.4,23.4,22.450001,22.75,22.75,1208800
2009-02-17,22.209999,22.209999,21.24,21.33,21.33,1576800
2009-02-18,21.450001,21.6,20.799999,21.360001,21.360001,1266800
2009-02-19,21.51,21.84,21.139999,21.27,21.27,1276000
2009-02-20,20.040001,21.389999,20.040001,21.09,21.09,1726100
2009-02-23,21.51,21.51,20.120001000000002,20.16,20.16,1334100
2009-02-24,20.33,21.1,20.129998999999998,20.959999,20.959999,1360200
2009-02-25,20.93,20.959999,20.110001,20.389999,20.389999,1956500
2009-02-26,20.83,20.98,20.299999,20.42,20.42,1495800
2009-02-27,20.01,20.639999,19.84,20.15,20.15,1952200
2009-03-02,19.4,19.68,18.719998999999998,18.73,18.73,1988500
2009-03-03,18.950001,19.120001000000002,18.129998999999998,18.209999,18.209999,1683400
2009-03-04,18.309998999999998,19.4,18.309998999999998,19.030001000000002,19.030001000000002,1884100
2009-03-05,18.68,18.68,17.610001,17.75,17.75,1538300
2009-03-06,17.860001,18.200001,17.040001,17.4,17.4,2078500
2009-03-09,17.17,17.75,17.02,17.26,17.26,1693600
2009-03-10,17.620001000000002,18.719998999999998,17.6,18.68,18.68,2073700
2009-03-11,18.700001,19.08,18.290001,18.58,18.58,2068600
2009-03-12,18.59,19.35,18.129998999999998,19.290001,19.290001,1214400
2009-03-13,19.43,19.440001000000002,19.1,19.25,19.25,1743200
2009-03-16,19.559998999999998,20.57,19.5,19.82,19.82,1580700
2009-03-17,19.84,20.52,19.68,20.52,20.52,925100
2009-03-18,20.17,21.709999,20.17,21.469998999999998,21.469998999999998,1551000
2009-03-19,21.469998999999998,22.01,21.469998999999998,21.610001,21.610001,1203600
2009-03-20,21.629998999999998,21.77,21.02,21.15,21.15,2678300
2009-03-23,21.93,22.99,21.360001,22.99,22.99,1123200
2009-03-24,22.809998999999998,23.190001000000002,22.540001,22.610001,22.610001,1090900
2009-03-25,22.719998999999998,23.690001000000002,22.1,22.950001,22.950001,1525600
2009-03-26,23.23,24.030001000000002,23.120001000000002,24.0,24.0,1254300
2009-03-27,23.34,23.91,23.0,23.190001000000002,23.190001000000002,739000
2009-03-30,22.84,22.84,21.68,22.040001,22.040001,1223500
2009-03-31,22.309998999999998,22.700001,22.01,22.34,22.34,1325200
2009-04-01,22.09,22.83,21.610001,22.75,22.75,1366500
2009-04-02,23.309998999999998,24.52,23.110001,24.4,24.4,2083600
2009-04-03,24.459999,24.75,24.200001,24.68,24.68,1146300
2009-04-06,24.370001000000002,24.58,23.940001000000002,24.379998999999998,24.379998999999998,878800
2009-04-07,24.02,24.209999,23.58,23.940001000000002,23.940001000000002,1459600
2009-04-08,24.059998999999998,24.73,23.940001000000002,24.709999,24.709999,993300
2009-04-09,25.190001000000002,26.209999,25.110001,26.209999,26.209999,882300
2009-04-13,25.93,26.120001000000002,25.41,25.940001000000002,25.940001000000002,678600
2009-04-14,25.51,25.690001000000002,25.129998999999998,25.4,25.4,1016100
2009-04-15,25.24,27.09,25.24,27.059998999999998,27.059998999999998,1797200
2009-04-16,27.18,27.52,26.5,27.42,27.42,1406200
2009-04-17,27.52,27.969998999999998,27.18,27.84,27.84,1402900
2009-04-20,27.43,27.66,26.75,26.790001,26.790001,1508800
2009-04-21,26.68,27.91,26.65,27.870001000000002,27.870001000000002,1060000
2009-04-22,27.66,29.1,27.440001000000002,28.35,28.35,1252600
2009-04-23,28.389999,28.719998999999998,27.870001000000002,28.66,28.66,1089400
2009-04-24,28.98,30.0,28.639999,29.76,29.76,1229200
2009-04-27,29.450001,30.07,29.299999,29.450001,29.450001,1251300
2009-04-28,26.549999,28.629998999999998,26.549999,28.030001000000002,28.030001000000002,1921300
