Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,84.5,85.120003,82.980003,85.010002,85.010002,520500
2009-01-05,84.379997,84.959999,82.660004,83.300003,83.300003,819000
2009-01-06,83.849998,84.57,82.150002,82.639999,82.639999,814100
2009-01-07,82.459999,84.349998,82.400002,83.339996,83.339996,765100
2009-01-08,83.349998,83.730003,82.370003,83.410004,83.410004,574700
2009-01-09,83.410004,83.989998,82.279999,83.32,83.32,603300
2009-01-12,83.629997,83.900002,82.889999,83.239998,83.239998,666500
2009-01-13,83.209999,85.25,82.910004,84.720001,84.720001,959900
2009-01-14,83.93,84.589996,83.07,83.699997,83.699997,772100
2009-01-15,83.709999,85.519997,83.050003,85.519997,85.519997,997900
2009-01-16,85.970001,86.489998,84.93,86.010002,86.010002,699300
2009-01-20,85.989998,86.970001,83.889999,83.93,83.93,802900
2009-01-21,85.07,87.239998,84.300003,87.239998,87.239998,1237800
2009-01-22,86.879997,88.43,86.239998,88.410004,88.410004,1133600
2009-01-23,87.739998,87.739998,85.25,85.790001,85.790001,904800
2009-01-26,86.529999,87.160004,85.730003,86.309998,86.309998,658100
2009-01-27,86.620003,86.849998,85.400002,85.550003,85.550003,953500
2009-01-28,86.370003,86.599998,85.550003,86.0,86.0,1152000
2009-01-29,85.970001,86.599998,85.449997,85.75,85.75,1214700
2009-01-30,85.449997,87.519997,84.790001,85.57,85.57,1497400
2009-02-02,84.459999,86.370003,84.360001,85.949997,85.949997,971000
2009-02-03,85.970001,87.269997,85.58000200000001,87.040001,87.040001,1340600
2009-02-04,87.150002,87.529999,86.150002,86.309998,86.309998,992900
2009-02-05,86.120003,87.889999,86.040001,87.239998,87.239998,1059100
2009-02-06,87.459999,87.720001,86.190002,86.599998,86.599998,702300
2009-02-09,86.5,86.57,85.120003,86.160004,86.160004,693200
2009-02-10,86.07,87.07,84.529999,85.0,85.0,881000
2009-02-11,85.0,85.690002,84.760002,85.519997,85.519997,578100
2009-02-12,84.629997,86.93,84.139999,86.93,86.93,999200
2009-02-13,86.519997,87.959999,86.519997,86.980003,86.980003,712200
2009-02-17,84.010002,87.889999,84.010002,86.83000200000001,86.83000200000001,1047500
2009-02-18,87.360001,87.529999,86.410004,86.650002,86.650002,719500
2009-02-19,87.68,87.68,85.889999,86.150002,86.150002,734400
2009-02-20,85.5,86.470001,85.089996,85.68,85.68,849600
2009-02-23,86.190002,86.650002,84.410004,84.440002,84.440002,1068600
2009-02-24,84.860001,85.860001,84.099998,85.33000200000001,85.33000200000001,836000
2009-02-25,85.230003,85.459999,83.41999799999999,83.720001,83.720001,897600
2009-02-26,84.43,84.43,81.230003,81.360001,81.360001,927800
2009-02-27,80.730003,81.91999799999999,80.099998,80.260002,80.260002,1437200
2009-03-02,78.879997,80.150002,77.199997,77.370003,77.370003,1283500
2009-03-03,78.059998,79.690002,77.019997,77.800003,77.800003,1268100
2009-03-04,76.959999,78.459999,76.550003,76.870003,76.870003,2035600
2009-03-05,75.82,75.82,73.870003,74.08000200000001,74.08000200000001,1503500
2009-03-06,74.510002,75.199997,71.400002,72.379997,72.379997,2852800
2009-03-09,71.620003,73.08000200000001,70.690002,71.33000200000001,71.33000200000001,1551200
2009-03-10,71.43,72.599998,70.0,72.160004,72.160004,1796500
2009-03-11,72.5,73.150002,71.099998,71.260002,71.260002,1450100
2009-03-12,71.279999,72.389999,70.709999,72.32,72.32,1224100
2009-03-13,72.5,75.029999,72.43,74.940002,74.940002,2059200
2009-03-16,75.589996,76.32,74.309998,74.449997,74.449997,804900
2009-03-17,74.360001,75.949997,74.019997,75.93,75.93,718700
2009-03-18,75.769997,77.870003,75.529999,76.809998,76.809998,1116100
2009-03-19,77.510002,77.760002,76.07,76.809998,76.809998,1241300
2009-03-20,76.809998,78.059998,76.199997,76.260002,76.260002,907300
2009-03-23,77.239998,78.739998,76.440002,78.739998,78.739998,718100
2009-03-24,78.290001,78.800003,77.190002,77.68,77.68,787500
2009-03-25,78.230003,78.959999,77.019997,78.400002,78.400002,919000
2009-03-26,78.75,79.709999,77.970001,79.639999,79.639999,1029200
2009-03-27,79.25,80.379997,78.83000200000001,79.970001,79.970001,758400
2009-03-30,79.089996,79.879997,78.529999,79.33000200000001,79.33000200000001,783000
2009-03-31,80.019997,80.730003,78.970001,79.720001,79.720001,776900
2009-04-01,79.019997,79.099998,77.209999,78.849998,78.849998,821700
2009-04-02,79.660004,80.610001,79.620003,80.160004,80.160004,1196300
2009-04-03,80.339996,80.940002,77.029999,78.089996,78.089996,869600
2009-04-06,77.660004,79.239998,77.08000200000001,77.540001,77.540001,815400
2009-04-07,77.059998,78.529999,76.459999,77.41999799999999,77.41999799999999,695600
2009-04-08,77.910004,78.529999,77.470001,77.989998,77.989998,834900
2009-04-09,79.349998,79.349998,76.790001,77.120003,77.120003,1128700
2009-04-13,75.08000200000001,76.349998,74.760002,75.690002,75.690002,819600
2009-04-14,75.08000200000001,77.239998,75.08000200000001,77.010002,77.010002,958700
2009-04-15,76.860001,77.870003,76.589996,77.459999,77.459999,652300
2009-04-16,77.779999,79.18,77.760002,79.08000200000001,79.08000200000001,615900
2009-04-17,79.400002,80.239998,79.199997,80.099998,80.099998,718500
2009-04-20,79.730003,80.790001,78.699997,78.970001,78.970001,593900
2009-04-21,79.089996,79.540001,76.959999,78.010002,78.010002,783600
2009-04-22,77.769997,78.339996,76.489998,77.660004,77.660004,1042300
2009-04-23,70.269997,74.010002,68.940002,71.730003,71.730003,5955500
2009-04-24,71.809998,72.260002,69.989998,71.199997,71.199997,2050700
2009-04-27,71.230003,72.279999,70.519997,70.800003,70.800003,1258600
2009-04-28,70.66999799999999,72.16999799999999,70.220001,71.010002,71.010002,1112600
2009-04-29,70.940002,72.82,70.709999,71.360001,71.360001,1635900
2009-04-30,71.449997,72.720001,71.269997,71.629997,71.629997,1250700
2009-05-01,71.510002,72.220001,71.0,72.220001,72.220001,1006900
2009-05-04,72.41999799999999,72.809998,71.57,71.779999,71.779999,1217100
2009-05-05,71.699997,72.25,71.279999,71.610001,71.610001,1383800
2009-05-06,71.730003,71.730003,69.93,70.389999,70.389999,1703100
2009-05-07,70.910004,72.940002,70.050003,72.410004,72.410004,1700300
2009-05-08,72.440002,74.650002,72.410004,73.519997,73.519997,1060100
2009-05-11,72.900002,74.650002,72.889999,73.980003,73.980003,1188600
2009-05-12,74.040001,75.5,74.040001,74.940002,74.940002,1070700
2009-05-13,74.400002,74.400002,72.849998,73.0,73.0,1510500
2009-05-14,73.0,73.440002,71.470001,71.779999,71.779999,1388000
2009-05-15,71.660004,71.660004,69.239998,70.809998,70.809998,1463300
2009-05-18,70.620003,71.730003,70.519997,71.730003,71.730003,1233100
2009-05-19,71.58000200000001,72.489998,71.309998,71.57,71.57,928000
2009-05-20,71.870003,72.589996,71.300003,71.470001,71.470001,990200
2009-05-21,71.150002,71.33000200000001,69.980003,70.459999,70.459999,801600
2009-05-22,70.440002,72.18,70.440002,71.459999,71.459999,879600
2009-05-26,71.190002,72.279999,70.41999799999999,71.839996,71.839996,853000
2009-05-27,71.849998,72.860001,71.410004,71.519997,71.519997,771100
2009-05-28,71.779999,72.16999799999999,71.089996,71.400002,71.400002,933900
2009-05-29,71.150002,71.529999,70.779999,71.489998,71.489998,1310400
2009-06-01,71.949997,73.120003,71.410004,73.029999,73.029999,1212000
2009-06-02,73.029999,75.949997,73.0,75.709999,75.709999,2303700
2009-06-03,75.480003,77.07,75.029999,76.809998,76.809998,1445700
2009-06-04,76.910004,77.0,73.660004,74.550003,74.550003,1229400
2009-06-05,74.75,75.41999799999999,73.879997,74.16999799999999,74.16999799999999,808600
