Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,68.699997,71.599998,67.5,7.14,71.400002,10470700
2009-01-05,71.199997,75.0,70.300003,7.08,70.800003,12818400
2009-01-06,72.900002,75.900002,72.800003,7.46,74.599998,11249800
2009-01-07,72.199997,74.400002,70.800003,7.15,71.5,10528700
2009-01-08,71.0,73.400002,69.800003,7.16,71.599998,10532500
2009-01-09,72.699997,72.900002,66.599998,6.75,67.5,14024800
2009-01-12,65.400002,65.5,53.700001,5.6,56.0,29449600
2009-01-13,51.799999,59.599998,50.599998,5.9,59.0,27389700
2009-01-14,50.200001,52.0,44.400002,4.53,45.299999,51309100
2009-01-15,46.400002,46.400002,33.599998,3.83,38.299999,63453400
2009-01-16,42.200001,44.799999,34.400002,3.5,35.0,42653100
2009-01-20,34.5,35.799999,28.0,2.8,28.0,38431100
2009-01-21,31.200001,36.700001,29.700001,3.67,36.700001,31235300
2009-01-22,34.200001,35.200001,30.1,3.11,31.1,29362700
2009-01-23,30.0,35.799999,29.799999,3.47,34.700001,26644600
2009-01-26,36.700001,37.5,33.0,3.33,33.299999,21284600
2009-01-27,34.900002,36.400002,33.299999,3.55,35.5,17714200
2009-01-28,42.900002,43.299999,40.400002,4.21,42.099998,37601000
2009-01-29,39.900002,40.900002,39.0,3.9,39.0,16636000
2009-01-30,39.900002,39.900002,35.5,3.55,35.5,19739800
2009-02-02,33.900002,37.200001,33.200001,3.65,36.5,17009300
2009-02-03,38.5,38.5,31.200001,3.46,34.599998,16658200
2009-02-04,35.5,38.200001,34.5,3.49,34.900002,18493500
2009-02-05,34.599998,37.200001,32.0,3.53,35.299999,21841400
2009-02-06,31.799999,40.700001,31.799999,3.91,39.099998,26148300
2009-02-09,40.599998,41.0,38.700001,3.95,39.5,17448200
2009-02-10,40.099998,40.299999,32.599998,3.35,33.5,29657600
2009-02-11,35.700001,36.900002,33.799999,3.69,36.900002,15698200
2009-02-12,35.099998,36.599998,34.099998,3.61,36.099998,13235700
2009-02-13,35.200001,37.200001,34.900002,3.49,34.900002,13606700
2009-02-17,32.5,33.099998,30.6,3.06,30.6,19249800
2009-02-18,31.799999,32.0,28.5,2.91,29.1,18635600
2009-02-19,30.0,30.1,25.0,2.51,25.1,23114100
