Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,9.876,10.82,9.82,53.629996999999996,10.726,9227000
2009-01-05,10.604,11.528,10.604,56.599998,11.32,13389000
2009-01-06,11.44,11.52,10.52,55.27,11.054,18941500
2009-01-07,11.2,11.5,10.608,53.279999,10.656,12895000
2009-01-08,10.31,11.162,10.306,54.669998,10.934,16941000
2009-01-09,10.966,11.138,10.57,53.909996,10.782,12395000
2009-01-12,10.718,10.718,9.31,46.93,9.386,17041000
2009-01-13,9.33,9.786,9.26,47.68,9.536,12997500
2009-01-14,9.104,9.24,8.584,44.25,8.85,14583500
2009-01-15,8.92,9.594,8.624,47.23,9.446,14312500
2009-01-16,9.21,9.94,9.042,48.520004,9.704,25468000
2009-01-20,9.454,9.602,9.02,45.739998,9.148,15628500
2009-01-21,9.502,9.502,8.61,45.639998999999996,9.128,19742500
2009-01-22,8.89,9.314,8.672,44.549999,8.91,20409500
2009-01-23,8.6,9.582,8.46,46.779999,9.356,16627500
2009-01-26,9.462,10.0,9.216,47.210003,9.442,17269500
2009-01-27,9.552,9.636,9.146,46.310001,9.262,17992000
2009-01-28,9.508,9.96,9.414,49.139998999999996,9.828,18946500
2009-01-29,9.624,9.8,9.48,48.279999,9.656,16874500
2009-01-30,9.7,9.936,9.318,47.0,9.4,18135500
2009-02-02,9.204,9.78,9.11,47.579997999999996,9.516,14484500
2009-02-03,9.594,9.986,9.376,48.790001000000004,9.758,14196000
2009-02-04,9.898,10.604,9.898,50.890003,10.178,20481500
2009-02-05,10.078,10.6,9.908,52.439999,10.488,22172500
2009-02-06,10.606,11.26,10.526,54.629996999999996,10.926,24157500
2009-02-09,10.962,11.344,10.434,53.439999,10.688,17965500
2009-02-10,10.86,11.376,10.528,53.600002,10.72,35354000
2009-02-11,11.356,11.39,10.112,52.210003,10.442,29442500
2009-02-12,10.126,11.04,10.042,55.050003000000004,11.01,25262500
2009-02-13,10.808,11.228,10.808,54.68,10.936,16148000
2009-02-17,10.332,10.516,10.042,50.82,10.164,20758000
2009-02-18,10.178,10.654,10.148,52.68,10.536,24588000
2009-02-19,10.668,11.254,10.61,54.540001000000004,10.908,21606000
2009-02-20,10.642,11.232,10.51,55.720001,11.144,25583000
2009-02-23,11.298,11.524,9.94,50.0,10.0,36054500
2009-02-24,10.118,11.248,10.062,55.580002,11.116,30274000
2009-02-25,13.3,13.316,12.3,61.77,12.354,86849000
2009-02-26,12.584,12.842,12.422,62.75,12.55,41207500
2009-02-27,12.142,13.23,12.096,64.33000200000001,12.866,35245000
2009-03-02,12.542,12.69,11.694,58.689999,11.738,23676000
2009-03-03,12.006,12.558,11.872,61.279999,12.256,19421000
2009-03-04,12.602,12.9,12.368,62.740002000000004,12.548,28831500
2009-03-05,12.366,12.682,11.99,60.890003,12.178,19426000
2009-03-06,12.362,12.418,11.72,60.59,12.118,25552000
