Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,8.36,9.05,8.335,17.99,8.995,36023000
2009-01-05,8.9,8.93,8.455,17.030001000000002,8.515,69931600
2009-01-06,8.57,8.805,8.49,17.23,8.615,34914200
2009-01-07,8.48,8.495,8.16,16.639999,8.32,40129600
2009-01-08,8.265,8.525,8.235,16.91,8.455,33865600
2009-01-09,8.51,8.52,8.135,16.33,8.165,39527000
2009-01-12,8.14,8.195,7.75,15.7,7.85,41786800
2009-01-13,7.845,7.9,7.595,15.33,7.665,47847000
2009-01-14,7.565,7.64,7.32,14.81,7.405,38743600
2009-01-15,7.35,7.64,7.125,15.01,7.505,43094600
2009-01-16,7.58,7.77,7.38,15.33,7.665,47707200
2009-01-20,7.645,7.69,7.005,14.02,7.01,47119800
2009-01-21,7.075,7.535,7.025,15.07,7.535,44091000
2009-01-22,7.345,7.54,7.115,14.79,7.395,45277400
2009-01-23,7.195,7.575,7.0,14.99,7.495,48113600
2009-01-26,7.485,7.75,7.375,15.05,7.525,33289400
2009-01-27,7.535,7.68,7.4,14.92,7.46,34616800
2009-01-28,7.575,7.99,7.575,15.96,7.98,45051000
2009-01-29,7.86,8.055,7.635,15.33,7.665,40650400
2009-01-30,7.675,7.815,7.285,14.65,7.325,40911600
2009-02-02,7.275,7.425,7.205,14.7,7.35,28948000
2009-02-03,7.35,7.41,7.155,14.68,7.34,41022000
2009-02-04,6.92,7.445,6.795,14.16,7.08,61011200
2009-02-05,7.0,7.08,6.785,13.83,6.915,71813800
2009-02-06,6.885,7.25,6.87,14.17,7.085,51664600
2009-02-09,7.17,7.25,6.94,14.41,7.205,45446600
2009-02-10,7.1,7.285,6.715,13.54,6.77,61985200
2009-02-11,6.83,6.935,6.645,13.57,6.785,32913800
2009-02-12,6.675,6.915,6.59,13.78,6.89,48229000
2009-02-13,6.89,6.975,6.675,13.66,6.83,37916000
2009-02-17,6.475,6.59,6.29,12.89,6.445,60552400
2009-02-18,6.49,6.495,5.975,12.36,6.18,88902800
2009-02-19,6.34,6.695,6.29,12.99,6.495,80461400
2009-02-20,6.465,6.575,6.29,12.84,6.42,60677000
2009-02-23,6.435,6.7,6.32,12.69,6.345,51067600
2009-02-24,6.325,6.965,6.31,13.88,6.94,57832600
2009-02-25,6.875,7.215,6.78,14.05,7.025,67857200
2009-02-26,7.015,7.1,6.67,13.34,6.67,91900000
2009-02-27,6.645,6.775,6.495,13.06,6.53,51406400
2009-03-02,6.405,6.435,6.16,12.59,6.295,57219600
2009-03-03,6.4,6.56,6.195,12.5,6.25,62024200
2009-03-04,6.31,6.47,6.185,12.74,6.37,57268800
2009-03-05,6.205,6.28,5.95,12.0,6.0,52003200
2009-03-06,5.955,6.155,5.635,11.63,5.815,69040200
2009-03-09,5.735,5.98,5.55,11.22,5.61,45101200
2009-03-10,5.75,6.125,5.67,12.21,6.105,56960600
2009-03-11,6.115,6.34,6.105,12.37,6.185,34690400
2009-03-12,6.11,6.49,6.06,12.92,6.46,29570400
2009-03-13,6.62,6.705,6.3,13.03,6.515,40304200
2009-03-16,6.565,6.75,6.27,12.57,6.285,41116400
2009-03-17,6.34,6.65,6.29,13.27,6.635,34527400
2009-03-18,6.565,6.925,6.53,13.57,6.785,39044600
2009-03-19,6.815,6.825,6.44,13.05,6.525,44926600
2009-03-20,6.595,6.675,6.245,12.72,6.36,66275800
2009-03-23,6.575,7.06,6.5,14.08,7.04,44886600
2009-03-24,6.955,7.235,6.89,13.99,6.995,42720000
2009-03-25,6.965,7.19,6.765,13.94,6.97,47405800
2009-03-26,7.0,7.295,6.97,14.55,7.275,49054800
