Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,9.81,10.02,9.605,19.57,9.785,705600
2009-01-05,9.805,9.94,9.575,19.66,9.83,696200
2009-01-06,9.8,10.25,9.8,20.360001,10.18,809000
2009-01-07,10.03,10.555,9.91,20.35,10.175,880400
2009-01-08,10.1,10.405,10.04,20.51,10.255,972400
2009-01-09,10.495,10.765,10.05,20.200001,10.1,1763400
2009-01-12,10.06,10.395,9.78,20.530001000000002,10.265,831000
2009-01-13,10.215,10.37,9.78,19.92,9.96,760200
2009-01-14,9.785,9.825,9.295,18.809998999999998,9.405,713600
2009-01-15,9.345,9.54,9.09,18.93,9.465,944400
2009-01-16,9.525,9.705,9.29,19.08,9.54,802400
2009-01-20,9.445,9.51,8.98,18.040001,9.02,692200
2009-01-21,9.11,9.33,8.9,18.57,9.285,720000
2009-01-22,9.14,9.48,9.04,18.66,9.33,759800
2009-01-23,9.165,9.4,8.925,18.23,9.115,536800
2009-01-26,9.15,9.305,8.87,18.120001000000002,9.06,535600
2009-01-27,9.125,9.28,9.06,18.33,9.165,550000
2009-01-28,8.875,9.285,8.75,18.27,9.135,918400
2009-01-29,9.06,9.125,8.95,17.98,8.99,757800
2009-01-30,9.02,9.27,8.745,17.73,8.865,532600
2009-02-02,8.815,9.205,8.645,18.209999,9.105,687800
2009-02-03,9.195,9.535,9.015,18.85,9.425,1290200
2009-02-04,9.405,9.57,9.16,18.48,9.24,671000
2009-02-05,9.17,9.66,9.165,19.24,9.62,820400
2009-02-06,9.565,9.975,9.52,19.85,9.925,994000
2009-02-09,9.89,9.985,9.56,19.35,9.675,868000
2009-02-10,9.87,10.715,9.87,20.790001,10.395,1769000
2009-02-11,10.405,11.015,10.405,21.82,10.91,1342600
2009-02-12,10.83,11.14,10.735,22.27,11.135,1632600
2009-02-13,11.17,11.25,10.795,21.82,10.91,667200
2009-02-17,10.6,10.955,10.52,21.530001000000002,10.765,869800
2009-02-18,10.805,10.845,10.51,21.459999,10.73,739400
2009-02-19,10.87,11.07,10.695,21.620001000000002,10.81,770400
2009-02-20,10.64,10.835,10.315,21.200001,10.6,840800
2009-02-23,10.65,10.75,9.89,20.139999,10.07,742400
2009-02-24,10.195,10.53,10.14,20.92,10.46,850800
2009-02-25,10.37,10.37,9.655,19.51,9.755,742800
2009-02-26,9.775,9.93,8.85,17.92,8.96,1155400
2009-02-27,8.84,8.995,8.485,16.98,8.49,1033600
2009-03-02,8.37,8.52,7.94,16.01,8.005,773400
2009-03-03,8.125,8.25,7.725,16.09,8.045,1040400
2009-03-04,8.115,8.4,7.85,16.26,8.13,831200
2009-03-05,7.985,8.03,7.5,15.04,7.52,1044800
2009-03-06,7.555,7.98,7.54,15.5,7.75,786600
2009-03-09,7.72,7.94,7.525,15.35,7.675,634000
2009-03-10,7.825,8.14,7.75,16.01,8.005,616000
2009-03-11,7.93,8.17,7.665,15.62,7.81,829200
2009-03-12,7.76,8.49,7.63,16.59,8.295,804400
2009-03-13,8.345,8.66,8.19,17.08,8.54,579600
2009-03-16,8.62,8.7,8.295,16.66,8.33,342000
2009-03-17,8.35,8.835,8.345,17.66,8.83,498800
2009-03-18,8.76,8.76,8.53,17.280001000000002,8.64,1331000
2009-03-19,8.745,8.77,8.12,16.6,8.3,661200
2009-03-20,8.33,8.35,7.955,15.92,7.96,1011600
2009-03-23,8.13,8.275,8.0,16.52,8.26,666600
2009-03-24,8.14,8.23,7.77,15.57,7.785,799200
2009-03-25,7.95,8.26,7.9,16.139999,8.07,1848000
2009-03-26,8.185,8.34,8.01,16.5,8.25,867400
2009-03-27,8.215,8.68,8.19,17.139999,8.57,1082600
2009-03-30,8.425,8.73,8.205,17.32,8.66,782800
2009-03-31,8.795,9.43,8.785,18.02,9.01,843200
2009-04-01,8.92,8.995,8.645,17.690001000000002,8.845,471200
2009-04-02,9.045,9.625,9.02,19.23,9.615,1002800
2009-04-03,9.565,9.93,9.45,19.860001,9.93,943200
2009-04-06,9.815,10.055,9.31,19.23,9.615,1171400
2009-04-07,9.495,9.515,9.155,18.360001,9.18,1266400
2009-04-08,9.255,9.49,9.14,18.809998999999998,9.405,515600
2009-04-09,9.595,10.17,9.44,20.33,10.165,1120200
2009-04-13,10.115,10.5,10.0,20.379998999999998,10.19,810200
2009-04-14,10.065,10.08,9.73,19.91,9.955,685800
2009-04-15,9.955,10.185,9.835,20.299999,10.15,628600
2009-04-16,10.185,10.185,9.525,19.709999,9.855,714400
2009-04-17,9.845,9.93,9.705,19.66,9.83,620400
2009-04-20,9.58,9.85,9.495,19.299999,9.65,519600
2009-04-21,9.67,9.88,9.59,19.52,9.76,531400
2009-04-22,9.675,9.89,9.525,19.360001,9.68,601000
2009-04-23,9.655,9.685,9.235,18.690001000000002,9.345,878600
2009-04-24,9.435,9.52,9.195,18.75,9.375,861000
2009-04-27,9.3,9.88,9.3,19.709999,9.855,1641600
2009-04-28,9.82,10.25,9.65,19.379998999999998,9.69,1261200
2009-04-29,9.79,9.89,9.34,18.860001,9.43,901600
2009-04-30,9.5,9.525,9.095,18.370001000000002,9.185,989800
2009-05-01,9.265,9.28,9.0,18.129998999999998,9.065,725200
2009-05-04,9.08,9.25,8.815,18.5,9.25,664000
2009-05-05,9.24,9.345,8.96,18.129998999999998,9.065,905800
2009-05-06,9.105,9.165,8.965,18.309998999999998,9.155,567200
2009-05-07,9.215,9.955,9.1,19.27,9.635,991600
2009-05-08,9.76,10.0,9.635,19.82,9.91,647000
2009-05-11,9.765,9.765,9.475,19.07,9.535,403600
2009-05-12,9.6,9.625,9.25,18.67,9.335,426200
2009-05-13,9.26,9.345,9.16,18.389999,9.195,564400
2009-05-14,9.26,9.505,9.09,18.790001,9.395,470800
2009-05-15,9.37,9.5,9.125,18.42,9.21,602000
2009-05-18,9.325,9.34,8.87,18.4,9.2,532800
2009-05-19,9.225,9.49,9.035,18.91,9.455,968400
2009-05-20,9.52,10.03,9.48,19.77,9.885,1289600
2009-05-21,9.76,9.875,9.425,19.370001000000002,9.685,920200
2009-05-22,9.71,9.725,8.95,17.959999,8.98,953200
2009-05-26,8.865,9.36,8.79,18.549999,9.275,520800
2009-05-27,9.26,9.295,9.015,18.209999,9.105,643600
2009-05-28,9.235,9.27,9.04,18.120001000000002,9.06,625800
2009-05-29,9.11,9.15,8.935,18.18,9.09,718400
2009-06-01,9.195,9.225,8.91,17.959999,8.98,953400
2009-06-02,8.98,9.355,8.94,18.15,9.075,1159400
2009-06-03,8.995,9.295,8.86,18.52,9.26,724600
2009-06-04,9.285,9.345,9.125,18.66,9.33,857600
2009-06-05,9.375,9.395,9.225,18.66,9.33,582200
2009-06-08,9.31,9.415,9.11,18.379998999999998,9.19,495000
2009-06-09,9.205,9.275,8.83,18.23,9.115,708200
2009-06-10,9.15,9.15,8.775,17.74,8.87,825000
2009-06-11,8.865,9.12,8.76,17.83,8.915,644000
2009-06-12,8.885,8.935,8.78,17.809998999999998,8.905,340400
2009-06-15,8.78,8.855,8.66,17.57,8.785,557400
2009-06-16,8.86,9.0,8.725,17.76,8.88,417600
2009-06-17,8.84,9.195,8.75,18.129998999999998,9.065,583200
2009-06-18,9.03,9.47,9.005,18.85,9.425,434200
2009-06-19,9.555,10.28,9.535,20.040001,10.02,1885200
2009-06-22,9.995,10.065,9.74,19.9,9.95,755400
2009-06-23,9.965,10.045,9.865,20.0,10.0,661200
2009-06-24,9.91,9.92,9.295,19.01,9.505,2067800
2009-06-25,9.505,10.015,9.495,19.719998999999998,9.86,764800
2009-06-26,9.84,10.445,9.825,20.49,10.245,2091600
2009-06-29,10.15,10.295,9.925,20.360001,10.18,514800
2009-06-30,10.12,10.35,9.835,19.98,9.99,612400
2009-07-01,10.125,10.16,9.895,20.309998999999998,10.155,501800
2009-07-02,10.005,10.085,9.68,19.360001,9.68,635200
2009-07-06,9.675,9.83,9.335,19.1,9.55,748400
2009-07-07,9.585,9.875,9.445,19.5,9.75,802000
2009-07-08,9.885,9.885,9.46,19.190001000000002,9.595,629400
2009-07-09,9.62,9.685,9.205,18.629998999999998,9.315,549000
2009-07-10,9.045,9.585,9.045,18.719998999999998,9.36,585200
2009-07-13,9.42,9.63,9.26,19.200001,9.6,376000
2009-07-14,9.625,9.695,9.36,18.879998999999998,9.44,479600
2009-07-15,9.51,9.565,9.3,18.9,9.45,491000
2009-07-16,9.385,9.44,9.175,18.530001000000002,9.265,680600
2009-07-17,9.25,9.32,8.75,18.16,9.08,2656400
2009-07-20,9.005,9.005,8.83,17.870001000000002,8.935,1314000
2009-07-21,8.99,9.05,8.75,17.92,8.96,885600
2009-07-22,8.955,9.215,8.955,18.15,9.075,496600
2009-07-23,9.04,9.325,9.01,18.540001,9.27,681600
2009-07-24,9.185,9.385,8.885,18.440001000000002,9.22,1435400
2009-07-27,9.095,9.295,8.94,17.98,8.99,1231200
2009-07-28,9.6,10.025,9.26,19.4,9.7,2238600
2009-07-29,9.75,10.15,9.59,20.1,10.05,1014800
2009-07-30,10.125,10.24,9.9,19.950001,9.975,715200
2009-07-31,9.88,9.9,9.64,19.309998999999998,9.655,598800
2009-08-03,9.735,9.735,9.32,19.200001,9.6,586000
2009-08-04,9.545,9.62,9.34,19.0,9.5,585400
2009-08-05,9.455,9.455,8.99,18.049999,9.025,634800
2009-08-06,9.075,9.105,8.87,18.040001,9.02,482000
2009-08-07,9.155,9.33,9.025,18.25,9.125,575600
2009-08-10,9.1,9.185,8.975,18.129998999999998,9.065,458400
2009-08-11,9.075,9.19,8.99,18.0,9.0,276800
2009-08-12,8.98,9.1,8.97,17.98,8.99,598000
2009-08-13,9.02,9.08,8.795,18.1,9.05,325200
2009-08-14,9.035,9.06,8.735,17.52,8.76,871400
2009-08-17,8.67,9.215,8.585,18.24,9.12,805000
2009-08-18,9.13,9.195,8.985,18.200001,9.1,630200
2009-08-19,9.045,9.175,9.015,18.24,9.12,384800
2009-08-20,9.12,9.325,9.105,18.530001000000002,9.265,303400
2009-08-21,9.32,9.37,9.185,18.610001,9.305,774200
2009-08-24,9.275,9.305,9.045,18.280001000000002,9.14,745400
2009-08-25,9.145,9.27,8.975,18.0,9.0,901400
2009-08-26,8.95,9.035,8.91,17.93,8.965,843400
2009-08-27,9.01,9.055,8.88,17.83,8.915,479400
2009-08-28,9.055,9.055,8.685,17.51,8.755,569600
2009-08-31,8.735,8.89,8.59,17.309998999999998,8.655,524400
2009-09-01,8.595,8.725,8.445,17.02,8.51,621800
2009-09-02,8.51,8.945,8.445,17.77,8.885,827800
2009-09-03,8.875,8.88,8.59,17.5,8.75,377600
2009-09-04,8.72,9.015,8.655,18.030001000000002,9.015,711400
