Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,6.635,6.895,6.635,13.78,6.89,994200
2009-01-05,6.845,7.09,6.835,14.08,7.04,598400
2009-01-06,7.175,7.26,6.82,14.45,7.225,705000
2009-01-07,7.03,7.07,6.85,13.8,6.9,433000
2009-01-08,6.945,7.12,6.71,14.24,7.12,1464800
2009-01-09,7.055,7.255,6.9,14.41,7.205,969200
2009-01-12,7.215,7.215,7.04,14.38,7.19,1245400
2009-01-13,7.365,7.465,7.22,14.79,7.395,837800
2009-01-14,7.35,7.4,7.06,14.59,7.295,465200
2009-01-15,7.36,7.46,6.915,14.47,7.235,687800
2009-01-16,7.45,7.54,7.03,14.52,7.26,502800
2009-01-20,7.26,7.26,6.71,13.42,6.71,516600
2009-01-21,6.75,7.23,6.69,14.36,7.18,751000
2009-01-22,7.075,7.375,7.015,14.4,7.2,467800
2009-01-23,7.1,7.325,7.1,14.39,7.195,546800
2009-01-26,7.16,7.395,6.97,14.19,7.095,758600
2009-01-27,7.18,7.29,7.09,14.56,7.28,671600
2009-01-28,7.39,7.45,7.14,14.6,7.3,659400
2009-01-29,7.265,7.28,7.035,14.14,7.07,318600
2009-01-30,7.155,7.25,6.91,14.38,7.19,1207800
2009-02-02,7.125,7.27,6.9,14.42,7.21,552200
2009-02-03,7.2,7.2,6.96,14.18,7.09,1507600
2009-02-04,7.14,7.225,6.775,13.6,6.8,679600
2009-02-05,6.705,6.75,6.555,13.37,6.685,796600
2009-02-06,6.655,6.955,6.655,13.76,6.88,620400
2009-02-09,6.83,6.97,6.83,13.76,6.88,331200
2009-02-10,6.795,6.92,6.635,13.39,6.695,766400
2009-02-11,6.67,6.88,6.67,13.56,6.78,399400
2009-02-12,6.62,6.95,6.62,13.81,6.905,339800
2009-02-13,6.95,6.955,6.77,13.78,6.89,432000
2009-02-17,6.74,6.9,6.495,13.2,6.6,1149800
2009-02-18,6.69,6.755,6.385,12.99,6.495,852800
2009-02-19,6.525,6.555,6.29,12.63,6.315,779000
2009-02-20,6.25,6.31,6.045,12.26,6.13,433200
2009-02-23,6.135,6.33,6.015,12.1,6.05,808800
2009-02-24,6.085,6.39,6.02,12.68,6.34,1301800
2009-02-25,6.91,7.29,6.825,14.13,7.065,1066400
2009-02-26,7.15,7.375,6.95,14.04,7.02,795000
2009-02-27,6.94,7.4,6.94,14.68,7.34,1430800
2009-03-02,7.16,7.45,7.16,14.51,7.255,884000
2009-03-03,7.41,7.505,7.245,14.81,7.405,809200
2009-03-04,7.475,7.525,7.005,14.5,7.25,2074600
2009-03-05,7.09,7.495,7.07,14.26,7.13,701800
2009-03-06,7.16,7.29,6.815,13.98,6.99,1812400
2009-03-09,6.88,7.04,6.62,13.3,6.65,1816000
2009-03-10,6.785,7.055,6.645,14.01,7.005,1325600
2009-03-11,7.075,7.165,6.935,14.25,7.125,1011400
2009-03-12,7.06,7.625,7.005,15.2,7.6,1309400
2009-03-13,7.625,7.72,7.405,15.37,7.685,755200
2009-03-16,7.72,7.84,7.555,15.25,7.625,520400
2009-03-17,7.685,7.685,7.44,15.25,7.625,610000
2009-03-18,7.525,7.685,7.5,15.26,7.63,832400
2009-03-19,7.64,7.675,7.335,14.83,7.415,1144400
2009-03-20,7.45,7.46,7.205,14.5,7.25,432600
2009-03-23,7.365,7.6,7.2,15.18,7.59,619600
2009-03-24,7.47,7.595,7.38,14.84,7.42,293600
2009-03-25,7.405,7.405,7.135,14.77,7.385,1420400
2009-03-26,7.385,7.605,7.385,15.05,7.525,1320400
2009-03-27,7.46,7.575,7.07,14.79,7.395,991800
2009-03-30,7.26,7.345,6.99,14.62,7.31,575800
2009-03-31,7.305,7.49,7.235,14.65,7.325,1000400
2009-04-01,7.205,7.81,7.205,15.53,7.765,2333800
2009-04-02,7.795,8.27,7.795,16.35,8.175,1269200
2009-04-03,8.22,8.32,8.01,16.629998999999998,8.315,1647800
2009-04-06,8.175,8.24,8.065,16.469998999999998,8.235,1113200
2009-04-07,8.025,8.025,7.615,15.36,7.68,1842600
2009-04-08,7.725,7.94,7.625,15.66,7.83,1013000
2009-04-09,7.92,8.24,7.92,16.27,8.135,1237800
2009-04-13,8.15,8.16,7.95,16.15,8.075,276400
2009-04-14,8.05,8.15,7.83,15.71,7.855,682600
2009-04-15,7.755,7.97,7.7,15.82,7.91,506600
2009-04-16,7.92,8.47,7.92,16.709999,8.355,417600
2009-04-17,8.32,8.45,8.255,16.790001,8.395,691200
2009-04-20,8.23,8.345,8.17,16.51,8.255,394400
2009-04-21,8.33,8.445,8.095,16.84,8.42,401000
2009-04-22,8.275,8.795,8.275,17.219998999999998,8.61,388000
2009-04-23,8.62,8.685,8.23,16.629998999999998,8.315,433600
2009-04-24,8.3,8.495,8.28,16.82,8.41,437800
2009-04-27,8.29,8.695,8.28,17.059998999999998,8.53,704400
2009-04-28,8.48,8.675,8.445,17.02,8.51,367800
2009-04-29,8.62,9.15,8.62,18.129998999999998,9.065,1196200
2009-04-30,9.13,9.305,8.725,17.52,8.76,706400
2009-05-01,8.805,8.805,8.4,17.290001,8.645,284400
2009-05-04,8.775,9.505,8.775,18.799999,9.4,1677400
2009-05-05,9.31,9.97,9.195,19.889999,9.945,1181800
2009-05-06,9.98,10.07,9.705,19.74,9.87,495200
2009-05-07,9.835,9.91,9.42,18.959999,9.48,1086400
2009-05-08,9.62,9.62,9.295,18.93,9.465,390400
2009-05-11,9.39,9.645,9.275,19.0,9.5,578000
2009-05-12,9.48,9.875,8.91,18.18,9.09,566800
2009-05-13,8.9,9.03,8.815,17.91,8.955,402400
2009-05-14,8.91,9.11,8.81,18.07,9.035,317400
2009-05-15,9.1,9.26,8.955,18.09,9.045,303000
2009-05-18,9.07,9.395,8.88,18.77,9.385,357600
2009-05-19,9.44,9.69,9.33,19.27,9.635,281400
2009-05-20,9.63,10.35,9.63,20.41,10.205,930200
2009-05-21,10.11,10.11,9.71,20.01,10.005,763200
2009-05-22,10.105,10.195,9.97,20.190001000000002,10.095,336200
2009-05-26,10.095,10.22,10.035,20.25,10.125,1364800
2009-05-27,10.105,10.145,9.965,20.07,10.035,1390600
2009-05-28,10.0,10.25,9.875,20.43,10.215,541200
