Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,15.18,15.5,14.75,15.41,15.41,18859800
2009-01-05,15.53,15.64,15.01,15.05,15.05,27589400
2009-01-06,15.71,16.68,15.39,16.049999,16.049999,36180800
2009-01-07,15.77,16.559998999999998,15.76,16.08,16.08,28248600
2009-01-08,15.83,16.040001,15.56,15.81,15.81,19732000
2009-01-09,16.049999,16.049999,15.5,15.81,15.81,12424300
2009-01-12,15.85,16.1,15.58,15.76,15.76,17130400
2009-01-13,15.79,15.97,15.32,15.55,15.55,13726700
2009-01-14,15.32,15.39,15.02,15.11,15.11,12646600
2009-01-15,15.13,15.41,14.35,15.2,15.2,19515400
2009-01-16,15.46,15.68,14.76,15.03,15.03,21558800
2009-01-20,14.91,15.0,13.84,13.89,13.89,16989200
2009-01-21,14.23,14.84,13.94,14.82,14.82,16232000
2009-01-22,14.6,14.71,14.05,14.38,14.38,17696900
2009-01-23,13.89,14.48,13.23,14.33,14.33,29141300
2009-01-26,14.88,15.12,13.16,13.24,13.24,39283500
2009-01-27,13.04,13.51,12.51,13.19,13.19,26522700
2009-01-28,13.49,13.59,13.15,13.44,13.44,19393300
2009-01-29,13.14,13.28,12.21,12.31,12.31,25715800
2009-01-30,12.35,12.53,11.5,11.59,11.59,26919400
2009-02-02,11.57,11.93,10.95,11.05,11.05,32329300
2009-02-03,11.37,13.15,10.5,11.35,11.35,45570800
2009-02-04,11.35,11.88,10.69,10.77,10.77,30806600
2009-02-05,10.7,11.08,10.18,10.91,10.91,27533000
2009-02-06,10.91,11.12,10.71,10.88,10.88,16736800
2009-02-09,10.79,10.96,10.4,10.65,10.65,20552800
2009-02-10,11.23,11.23,10.24,10.35,10.35,23609800
2009-02-11,10.5,10.62,9.89,10.04,10.04,17431000
2009-02-12,10.05,10.29,9.58,10.04,10.04,28486900
2009-02-13,9.98,10.05,9.5,9.53,9.53,18380600
2009-02-17,9.29,9.31,8.61,8.62,8.62,28668900
2009-02-18,8.7,8.94,8.4,8.6,8.6,21474100
2009-02-19,8.92,8.95,8.1,8.2,8.2,24811000
2009-02-20,8.16,8.21,7.81,8.1,8.1,23100800
2009-02-23,8.0,8.23,7.37,7.41,7.41,26378300
2009-02-24,7.46,8.0,7.2,7.94,7.94,28054400
2009-02-25,7.92,8.14,7.36,7.49,7.49,26305400
2009-02-26,7.67,8.07,7.43,7.45,7.45,19900800
2009-02-27,7.29,7.46,7.11,7.16,7.16,19454900
2009-03-02,7.07,7.6,6.9,6.94,6.94,31172300
2009-03-03,7.15,7.25,6.72,6.93,6.93,36827800
2009-03-04,7.12,7.29,6.93,7.06,7.06,22899900
2009-03-05,6.88,7.07,6.3,6.47,6.47,34258400
2009-03-06,6.61,8.48,6.33,7.11,7.11,60298200
2009-03-09,7.12,7.32,6.3,6.33,6.33,29793200
2009-03-10,5.89,6.95,5.89,6.87,6.87,58605900
2009-03-11,6.8,6.89,6.22,6.43,6.43,37816800
2009-03-12,6.5,7.01,6.16,7.0,7.0,24321400
2009-03-13,7.23,7.71,7.0,7.56,7.56,29050900
2009-03-16,7.94,8.44,7.72,7.9,7.9,28167100
2009-03-17,7.92,8.06,7.72,8.06,8.06,16795300
2009-03-18,7.98,8.33,7.6,8.22,8.22,23161100
2009-03-19,8.4,8.44,8.02,8.13,8.13,18722800
2009-03-20,8.18,8.25,7.55,7.68,7.68,19241800
2009-03-23,8.0,8.65,7.74,8.63,8.63,21700800
2009-03-24,8.36,9.05,8.26,8.64,8.64,21782500
2009-03-25,8.9,9.28,8.36,8.8,8.8,21876600
2009-03-26,9.05,9.39,8.96,9.37,9.37,17369000
2009-03-27,9.28,9.32,8.89,8.96,8.96,15993300
2009-03-30,8.76,8.76,8.17,8.3,8.3,12389400
2009-03-31,8.5,8.6,8.17,8.43,8.43,14036700
2009-04-01,8.27,8.93,8.14,8.81,8.81,20166700
2009-04-02,9.46,10.04,9.25,9.94,9.94,38850100
2009-04-03,9.89,11.03,9.75,11.0,11.0,34572100
2009-04-06,10.82,11.23,10.6,10.78,10.78,32183500
2009-04-07,10.51,10.61,9.95,9.97,9.97,19893200
2009-04-08,10.08,10.32,9.95,10.15,10.15,13715500
2009-04-09,10.55,11.02,10.45,10.94,10.94,18440300
2009-04-13,10.89,11.37,10.69,11.24,11.24,13044800
2009-04-14,11.27,11.74,10.61,10.66,10.66,22223200
2009-04-15,10.58,11.25,10.5,11.23,11.23,15154800
2009-04-16,11.57,12.07,11.07,11.91,11.91,21239600
2009-04-17,11.98,12.68,11.65,12.6,12.6,27722600
2009-04-20,12.22,12.35,11.34,11.48,11.48,27263300
2009-04-21,11.0,12.36,10.96,12.18,12.18,22078100
2009-04-22,12.0,13.04,11.86,12.47,12.47,27601000
2009-04-23,12.5,12.75,12.03,12.39,12.39,16610600
2009-04-24,12.32,13.15,12.22,12.99,12.99,18879100
2009-04-27,12.74,12.91,12.36,12.61,12.61,16474000
2009-04-28,12.41,13.32,12.35,13.0,13.0,19021700
2009-04-29,13.22,13.81,13.18,13.51,13.51,17939100
2009-04-30,15.58,16.190001000000002,15.33,16.0,16.0,46805600
2009-05-01,15.96,16.18,15.58,15.7,15.7,18124000
2009-05-04,15.83,16.530001000000002,15.83,16.389999,16.389999,17409900
2009-05-05,16.1,16.559998999999998,16.040001,16.33,16.33,14461400
2009-05-06,15.75,16.0,14.99,15.19,15.19,41912500
2009-05-07,15.06,15.75,14.76,15.75,15.75,125095900
2009-05-08,16.0,17.5,15.85,17.5,17.5,42695200
2009-05-11,17.120001000000002,17.709999,16.9,17.629998999999998,17.629998999999998,32726600
2009-05-12,17.6,17.75,16.76,17.040001,17.040001,41665500
2009-05-13,16.59,16.65,15.18,15.58,15.58,33892400
2009-05-14,15.35,16.68,15.35,16.52,16.52,18771900
2009-05-15,16.6,17.23,16.18,16.469998999999998,16.469998999999998,17711800
2009-05-18,16.719998999999998,17.67,16.57,17.65,17.65,17051500
2009-05-19,17.65,18.0,17.51,17.879998999999998,17.879998999999998,14508500
2009-05-20,18.1,18.99,17.639999,17.76,17.76,22379400
2009-05-21,17.15,17.440001000000002,16.83,17.07,17.07,18676900
2009-05-22,17.200001,17.59,16.68,17.280001000000002,17.280001000000002,14450000
2009-05-26,16.98,17.1,16.42,16.940001000000002,16.940001000000002,26520300
2009-05-27,17.040001,17.49,16.73,16.92,16.92,19250700
2009-05-28,17.0,17.32,16.68,16.870001000000002,16.870001000000002,16317100
2009-05-29,16.959999,17.68,16.91,17.68,17.68,23461600
2009-06-01,18.1,18.1,17.1,17.1,17.1,24047000
2009-06-02,17.4,18.940001000000002,17.4,18.73,18.73,32728300
2009-06-03,18.440001000000002,18.5,17.49,17.68,17.68,22848600
2009-06-04,17.940001000000002,18.32,17.690001000000002,17.969998999999998,17.969998999999998,17117100
2009-06-05,18.309998999999998,18.370001000000002,17.450001,17.559998999999998,17.559998999999998,15762400
2009-06-08,17.49,17.49,16.799999,16.950001,16.950001,19543900
2009-06-09,17.110001,18.059998999999998,17.1,17.870001000000002,17.870001000000002,18260400
2009-06-10,18.1,18.110001,16.950001,17.559998999999998,17.559998999999998,19419100
2009-06-11,17.58,17.889999,17.360001,17.43,17.43,14248400
2009-06-12,17.32,17.5,17.049999,17.34,17.34,9925400
2009-06-15,17.110001,17.120001000000002,16.51,16.68,16.68,12505900
2009-06-16,16.76,16.84,16.0,16.08,16.08,14851300
2009-06-17,16.02,16.43,15.53,16.129998999999998,16.129998999999998,18294400
2009-06-18,16.01,16.469998999999998,15.79,16.15,16.15,13263400
2009-06-19,16.4,16.65,16.110001,16.309998999999998,16.309998999999998,16664200
2009-06-22,16.0,16.1,15.11,15.17,15.17,18801600
2009-06-23,14.85,15.39,14.77,15.26,15.26,15341200
2009-06-24,15.62,15.72,15.26,15.49,15.49,16922900
2009-06-25,15.35,15.9,15.26,15.88,15.88,10594600
2009-06-26,15.5,16.08,15.44,16.049999,16.049999,12475600
2009-06-29,16.040001,16.26,15.67,16.07,16.07,13264300
2009-06-30,16.17,16.370001000000002,15.93,16.139999,16.139999,11420800
