Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,5.904882,6.195286,5.81229,14.659999,6.170033,21384900
2009-01-05,6.157407,6.258418,5.997475,14.77,6.21633,24705800
2009-01-06,6.220539,6.515152,6.203704,15.179998999999999,6.388889,30629000
2009-01-07,6.119529,6.212121,6.04798,14.59,6.140573000000001,23087300
2009-01-08,6.085858999999999,6.228956,6.010101000000001,14.67,6.174242,24447800
2009-01-09,6.153199,6.203704,5.921717,14.19,5.972222,22111200
2009-01-12,6.035354,6.060606,5.862794,14.01,5.896465,24921600
2009-01-13,5.934343,6.005892,5.829124,14.129999,5.946969999999999,40279300
2009-01-14,5.761785,5.77862,5.378788,12.919999,5.43771,48435700
2009-01-15,5.505051,5.7239059999999995,5.399832,13.44,5.656566000000001,43979500
2009-01-16,5.761785,5.770201999999999,5.429293,13.26,5.580808,45996700
2009-01-20,5.559764,5.606061,5.26936,12.55,5.281987,34458600
2009-01-21,5.420876,5.614478,5.353535,13.28,5.589226,43087800
2009-01-22,5.037879,5.037879,4.814815,11.67,4.911616,103109600
2009-01-23,4.810606,5.113636,4.768518,12.0,5.050505,47376000
2009-01-26,5.050505,5.126263,4.886364,11.87,4.9957910000000005,27836900
2009-01-27,5.0168349999999995,5.126263,4.96633,12.089999,5.088384,27215800
2009-01-28,5.2188550000000005,5.450337,5.172559,12.719999000000001,5.353535,32562300
2009-01-29,5.281987,5.374579,5.138889,12.25,5.155724,30596400
2009-01-30,5.223064,5.223064,5.037879,12.02,5.058923,29105200
2009-02-02,5.037879,5.214646,5.021044,12.23,5.1473059999999995,25870600
2009-02-03,5.155724,5.43771,5.109426999999999,12.839999,5.40404,39930800
2009-02-04,5.425084,5.500842,5.244108,12.6,5.303030000000001,28186000
2009-02-05,5.252525,5.585017,5.1936029999999995,13.21,5.559764,35869900
2009-02-06,5.475589,5.761785,5.47138,13.63,5.736532,29358800
2009-02-09,5.698653,5.883838,5.63973,13.849998999999999,5.829124,22490900
2009-02-10,5.761785,5.841751,5.585017,13.349998999999999,5.618687,51824300
2009-02-11,5.656566000000001,5.736532,5.568182,13.349998999999999,5.618687,35012000
2009-02-12,5.568182,5.631313,5.429293,13.38,5.631313,41892600
2009-02-13,5.635522,5.690236,5.496633,13.19,5.551347,20521200
2009-02-17,5.353535,5.353535,5.16835,12.319999000000001,5.185185,27282100
2009-02-18,5.189394,5.345118,5.092593,12.49,5.256734,24277200
2009-02-19,5.319865,5.370369999999999,5.084175,12.16,5.117845,25549600
2009-02-20,5.071549,5.197812,5.029461,12.179999,5.126263,33453100
2009-02-23,5.155724,5.180976,4.823232,11.53,4.8526940000000005,33712300
