Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,13.5725,14.065,13.5125,55.990002000000004,13.9975,1686800
2009-01-05,13.985,14.05,13.5425,54.919998,13.73,1654000
2009-01-06,13.755,13.82,13.57,54.779999,13.695,2138400
2009-01-07,13.495,13.9225,13.48,54.970001,13.7425,1439200
2009-01-08,13.6775,13.9625,13.64,55.450001,13.8625,2516000
2009-01-09,13.8625,14.085,13.6575,55.66,13.915,2739200
2009-01-12,13.915,13.9975,13.6325,54.889998999999996,13.7225,1378800
2009-01-13,13.74,13.8625,13.645,55.029999,13.7575,2217200
2009-01-14,13.6075,13.935,13.6075,55.529999,13.8825,2290400
2009-01-15,13.8825,14.275,13.7925,56.599998,14.15,3246000
2009-01-16,14.36,14.465,14.2075,57.32,14.33,2038400
2009-01-20,14.25,14.4425,13.815,55.279999,13.82,3400400
2009-01-21,13.9125,14.25,13.885,56.919998,14.23,1838400
2009-01-22,14.075,14.2875,13.89,56.75,14.1875,2447200
2009-01-23,14.055,14.265,13.9025,56.860001000000004,14.215,1437600
2009-01-26,14.25,14.45,14.2375,57.080002,14.27,1395200
2009-01-27,14.36,14.625,14.325,57.970001,14.4925,1568400
2009-01-28,14.625,14.625,14.2475,57.529999,14.3825,2050800
2009-01-29,14.32,14.495,14.2925,57.560001,14.39,1753600
2009-01-30,14.47,14.5275,14.325,57.490002000000004,14.3725,1598400
2009-02-02,14.265,14.45,14.24,57.32,14.33,2440400
2009-02-03,14.3275,14.4825,14.145,57.400002,14.35,2491600
2009-02-04,14.4,15.09,14.1625,60.009997999999996,15.0025,4132400
2009-02-05,14.875,15.1025,14.825,60.139998999999996,15.035,2394800
2009-02-06,14.9975,15.3,14.92,61.099998,15.275,2172800
2009-02-09,15.28,15.495,15.1275,61.799999,15.45,2058400
2009-02-10,15.3225,15.44,15.18,61.099998,15.275,2058000
2009-02-11,15.2975,15.495,15.18,61.689999,15.4225,1842000
2009-02-12,15.255,15.53,15.155,62.09,15.5225,1658800
2009-02-13,15.475,15.795,15.39,62.93,15.7325,2086800
2009-02-17,15.435,15.555,15.125,61.73,15.4325,2464000
2009-02-18,15.465,15.59,15.25,61.48,15.37,2620000
2009-02-19,15.4475,15.485,15.3125,61.580002,15.395,1917200
2009-02-20,15.19,15.5075,14.9525,61.099998,15.275,2192800
2009-02-23,15.3825,15.41,14.435,58.150002,14.5375,5389600
2009-02-24,14.6325,15.0675,14.63,60.110001000000004,15.0275,3015600
2009-02-25,15.0175,15.135,14.895,59.669998,14.9175,2774800
2009-02-26,15.0,15.1225,14.4225,57.93,14.4825,2670400
2009-02-27,13.875,14.3575,13.7575,55.610001000000004,13.9025,4073200
2009-03-02,13.6975,13.7675,13.31,53.32,13.33,2711200
2009-03-03,13.3875,13.525,13.2375,53.119999,13.28,3879600
2009-03-04,13.4325,13.82,13.28,54.52,13.63,3153200
2009-03-05,13.465,13.69,13.215,53.400002,13.35,2260000
2009-03-06,13.47,13.7325,13.35,54.889998999999996,13.7225,3344400
2009-03-09,13.58,13.7175,13.5125,54.560001,13.64,2602800
2009-03-10,13.7625,13.965,13.7325,55.720001,13.93,2161600
2009-03-11,13.845,14.15,13.845,56.25,14.0625,3094800
2009-03-12,14.03,14.81,14.025,59.07,14.7675,3782800
2009-03-13,14.8125,15.385,14.8125,61.400002,15.35,3037200
2009-03-16,15.4775,15.4775,15.1225,60.610001000000004,15.1525,3567600
2009-03-17,15.0975,15.4125,15.0,61.650002,15.4125,1928000
2009-03-18,15.3775,15.6825,15.35,61.799999,15.45,2167200
2009-03-19,15.64,15.6975,15.25,61.380001,15.345,1792800
2009-03-20,15.4575,15.605,15.16,60.880001,15.22,2320800
