Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,7.43,8.24,7.35,8.17,8.17,2069700
2009-01-05,8.08,8.36,7.89,8.21,8.21,2239800
2009-01-06,8.29,8.81,8.22,8.29,8.29,4452500
2009-01-07,8.19,8.52,7.91,8.48,8.48,3525800
2009-01-08,8.48,8.49,7.95,8.26,8.26,2282100
2009-01-09,8.09,8.46,7.92,7.95,7.95,2718300
2009-01-12,7.76,8.12,7.61,7.77,7.77,2764000
2009-01-13,7.8,8.03,7.6,7.98,7.98,2142400
2009-01-14,7.82,7.82,7.36,7.52,7.52,3372800
2009-01-15,7.35,7.75,7.1,7.51,7.51,2924500
2009-01-16,7.55,7.83,7.46,7.74,7.74,2909500
2009-01-20,7.71,7.79,7.15,7.29,7.29,2519200
2009-01-21,7.39,7.61,7.18,7.57,7.57,2797100
2009-01-22,7.41,7.7,7.25,7.49,7.49,2323300
2009-01-23,7.3,7.63,7.25,7.52,7.52,1823700
2009-01-26,7.55,7.83,7.46,7.69,7.69,1271500
2009-01-27,7.75,7.98,7.67,7.78,7.78,1977400
2009-01-28,7.89,8.21,7.8,8.08,8.08,1536300
2009-01-29,8.03,8.05,7.57,7.62,7.62,1408300
2009-01-30,7.68,7.75,7.27,7.36,7.36,1530200
2009-02-02,7.25,7.46,7.14,7.28,7.28,1691900
2009-02-03,7.33,7.72,7.09,7.64,7.64,1549300
2009-02-04,7.68,7.73,7.4,7.45,7.45,1550400
2009-02-05,7.45,7.94,7.4,7.9,7.9,2343700
2009-02-06,7.9,8.41,7.86,8.28,8.28,1990000
2009-02-09,8.43,8.43,8.09,8.15,8.15,1083400
2009-02-10,8.06,8.2,7.62,7.72,7.72,2349700
2009-02-11,7.78,8.0,7.61,7.75,7.75,1686700
2009-02-12,7.74,7.74,7.4,7.69,7.69,2132400
2009-02-13,7.67,7.91,7.53,7.54,7.54,1739100
2009-02-17,7.4,7.7,7.1,7.56,7.56,4791200
2009-02-18,7.62,7.97,7.37,7.47,7.47,3744900
2009-02-19,7.44,7.63,7.32,7.35,7.35,2275500
2009-02-20,7.31,7.42,7.09,7.32,7.32,3279700
2009-02-23,7.5,7.66,7.28,7.41,7.41,3149600
2009-02-24,7.46,8.23,7.44,8.15,8.15,4234200
2009-02-25,8.12,8.36,7.87,8.1,8.1,4165700
2009-02-26,8.22,8.3,7.91,7.93,7.93,1822900
2009-02-27,7.8,8.45,7.7,8.31,8.31,3855400
2009-03-02,8.21,8.5,8.12,8.19,8.19,3748100
2009-03-03,8.38,8.45,7.75,7.83,7.83,5728900
2009-03-04,8.06,8.51,7.94,8.29,8.29,4051300
2009-03-05,8.28,8.97,8.11,8.19,8.19,7870700
2009-03-06,8.32,8.51,8.2,8.39,8.39,5423300
2009-03-09,8.4,9.07,8.25,8.86,8.86,5251300
2009-03-10,9.11,9.7,9.03,9.58,9.58,4250100
2009-03-11,9.65,9.97,9.43,9.54,9.54,3668800
2009-03-12,9.66,9.86,9.32,9.77,9.77,3975900
2009-03-13,9.86,9.89,9.5,9.68,9.68,3054300
2009-03-16,9.89,9.89,9.31,9.39,9.39,3091800
2009-03-17,9.35,9.64,9.2,9.61,9.61,4479300
2009-03-18,9.56,9.87,9.31,9.74,9.74,3592900
2009-03-19,9.8,9.83,9.24,9.4,9.4,2730800
2009-03-20,9.41,9.77,9.41,9.74,9.74,4496700
2009-03-23,9.92,10.8,9.64,10.71,10.71,3906500
2009-03-24,10.07,10.7,9.97,10.03,10.03,4342400
2009-03-25,10.09,10.32,9.51,9.93,9.93,4208400
2009-03-26,10.15,10.84,10.09,10.69,10.69,2928800
2009-03-27,10.6,10.67,10.37,10.48,10.48,2046600
2009-03-30,10.3,10.61,9.94,10.58,10.58,4867200
2009-03-31,10.46,10.7,9.96,10.48,10.48,3672500
2009-04-01,10.33,10.76,10.08,10.68,10.68,3614300
2009-04-02,11.0,11.33,10.83,11.13,11.13,2621000
2009-04-03,11.0,11.5,10.93,11.5,11.5,2396400
2009-04-06,11.44,11.53,10.61,11.11,11.11,3563700
2009-04-07,10.99,10.99,10.61,10.7,10.7,2534400
2009-04-08,11.01,11.16,10.77,10.94,10.94,2007700
2009-04-09,11.16,11.34,10.94,11.34,11.34,1705000
2009-04-13,11.24,11.25,10.75,10.97,10.97,2067700
2009-04-14,10.88,11.03,10.47,10.5,10.5,2488600
2009-04-15,10.4,10.46,10.06,10.41,10.41,1750400
2009-04-16,10.46,10.82,10.32,10.73,10.73,1979500
2009-04-17,10.86,10.93,10.52,10.76,10.76,1677900
2009-04-20,10.52,10.69,10.1,10.2,10.2,1794300
2009-04-21,10.03,11.37,10.03,11.23,11.23,4034400
2009-04-22,11.14,12.04,10.97,11.63,11.63,3464200
2009-04-23,11.75,11.92,11.04,11.49,11.49,2700500
2009-04-24,11.39,12.13,11.39,11.9,11.9,2471900
2009-04-27,11.69,12.0,11.33,11.4,11.4,2371500
2009-04-28,11.28,11.89,11.19,11.6,11.6,2318400
2009-04-29,11.56,11.85,11.32,11.38,11.38,2575600
2009-04-30,11.52,12.1,11.36,11.89,11.89,3511200
2009-05-01,11.88,12.29,11.64,12.19,12.19,2863100
2009-05-04,12.13,12.95,12.09,12.57,12.57,2316800
2009-05-05,12.47,12.47,11.89,12.25,12.25,3535800
2009-05-06,12.4,12.64,11.55,11.77,11.77,3245600
2009-05-07,11.78,12.17,11.41,11.58,11.58,3582400
2009-05-08,11.67,12.1,11.24,11.61,11.61,1822500
2009-05-11,11.39,11.52,10.88,11.16,11.16,2369000
2009-05-12,11.19,11.39,10.6,10.82,10.82,2168200
2009-05-13,10.6,10.6,9.92,10.02,10.02,3264400
2009-05-14,10.02,10.86,9.93,10.76,10.76,3397400
2009-05-15,10.57,10.89,10.4,10.55,10.55,2727000
2009-05-18,10.67,11.15,10.56,11.08,11.08,2275600
