Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,13.71,14.11,13.42,14.07,14.07,4601400
2009-01-05,13.94,14.16,13.7,13.91,13.91,5926300
2009-01-06,13.99,14.35,13.71,14.24,14.24,10589700
2009-01-07,13.98,14.07,13.33,13.56,13.56,9248400
2009-01-08,13.47,13.48,12.55,12.92,12.92,16068200
2009-01-09,12.51,13.12,12.44,12.99,12.99,13285800
2009-01-12,12.93,13.18,11.97,12.12,12.12,10913900
2009-01-13,12.34,12.37,11.86,12.06,12.06,9629300
2009-01-14,11.71,11.94,11.43,11.5,11.5,10133100
2009-01-15,11.46,12.17,11.21,11.9,11.9,9823900
2009-01-16,12.18,12.28,11.81,12.14,12.14,9410200
2009-01-20,12.0,12.25,11.52,11.55,11.55,7708700
2009-01-21,11.56,11.78,11.21,11.71,11.71,9997000
2009-01-22,11.52,12.31,11.46,12.01,12.01,8367500
2009-01-23,11.71,12.23,11.54,12.0,12.0,7437100
2009-01-26,12.0,12.22,11.75,12.03,12.03,6133400
2009-01-27,12.05,12.27,11.91,11.99,11.99,5311500
2009-01-28,12.2,12.74,12.11,12.56,12.56,6159200
2009-01-29,12.52,12.55,12.07,12.11,12.11,7121800
2009-01-30,12.26,12.27,11.23,11.28,11.28,9976500
2009-02-02,11.27,11.6,11.05,11.25,11.25,10255500
2009-02-03,11.25,11.57,10.92,11.45,11.45,6886400
2009-02-04,11.52,11.54,10.61,10.65,10.65,11453300
2009-02-05,10.96,11.36,10.64,11.28,11.28,11414300
2009-02-06,11.31,12.17,11.24,11.94,11.94,10652000
2009-02-09,11.98,11.99,11.58,11.82,11.82,6834600
2009-02-10,11.8,11.99,11.36,11.5,11.5,9505900
2009-02-11,11.47,11.7,11.31,11.58,11.58,6715700
2009-02-12,11.41,11.72,11.21,11.7,11.7,7297500
2009-02-13,11.53,11.89,11.47,11.62,11.62,7810500
2009-02-17,11.42,11.65,11.2,11.41,11.41,6554100
2009-02-18,11.47,11.55,11.11,11.26,11.26,9036200
2009-02-19,11.34,11.81,11.3,11.56,11.56,7212700
2009-02-20,11.44,11.68,11.27,11.55,11.55,8472600
2009-02-23,11.7,11.86,11.26,11.31,11.31,8616500
2009-02-24,11.35,11.9,11.31,11.8,11.8,6702900
2009-02-25,11.71,11.86,11.36,11.6,11.6,10147100
2009-02-26,11.8,11.88,11.31,11.35,11.35,10913300
2009-02-27,10.39,11.11,10.28,10.79,10.79,16889400
2009-03-02,10.57,10.86,10.28,10.33,10.33,9754200
2009-03-03,10.6,10.6,9.93,10.18,10.18,14416700
2009-03-04,10.37,10.87,10.09,10.66,10.66,9894400
2009-03-05,10.34,10.74,9.96,10.21,10.21,13927500
2009-03-06,10.16,10.26,9.56,9.85,9.85,12444900
2009-03-09,9.72,10.28,9.65,9.9,9.9,9595200
2009-03-10,10.12,10.69,9.98,10.61,10.61,10516900
2009-03-11,10.68,11.23,10.54,10.89,10.89,11524700
2009-03-12,10.9,11.51,10.81,11.47,11.47,9410000
2009-03-13,11.45,12.08,11.33,11.99,11.99,11144400
2009-03-16,12.08,12.32,11.77,11.77,11.77,9757200
2009-03-17,11.77,12.24,11.73,12.21,12.21,7809300
2009-03-18,12.05,12.69,12.03,12.45,12.45,7863700
2009-03-19,12.69,12.7,12.21,12.48,12.48,7401200
2009-03-20,12.65,12.68,11.83,11.98,11.98,8915900
2009-03-23,12.28,12.82,11.86,12.81,12.81,6694800
2009-03-24,12.67,12.97,12.57,12.63,12.63,6796200
2009-03-25,12.55,13.0,11.88,12.3,12.3,9155200
2009-03-26,12.32,13.25,12.32,13.05,13.05,9292000
2009-03-27,12.84,13.35,12.61,13.06,13.06,10996200
2009-03-30,12.87,13.12,12.73,12.97,12.97,9122600
2009-03-31,13.01,13.18,12.39,12.99,12.99,11585800
2009-04-01,12.79,13.77,12.6,13.73,13.73,12773100
2009-04-02,14.0,14.68,13.91,14.43,14.43,18088500
2009-04-03,14.49,15.36,14.37,15.25,15.25,15102700
2009-04-06,15.06,15.06,14.06,14.46,14.46,15520200
2009-04-07,14.38,14.55,13.87,13.98,13.98,11096800
2009-04-08,14.07,14.47,13.79,14.41,14.41,11625400
2009-04-09,14.6,15.1,14.36,15.09,15.09,10920100
2009-04-13,15.0,15.13,14.73,14.98,14.98,8884600
2009-04-14,14.94,14.95,14.41,14.6,14.6,9753600
2009-04-15,14.54,14.77,14.28,14.71,14.71,7204800
