Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,3.24,3.345,3.125,13.18,3.295,3978000
2009-01-05,3.2675,3.3175,3.165,13.06,3.265,3196800
2009-01-06,3.3025,3.38,3.1875,13.49,3.3725,3804000
2009-01-07,3.2925,3.37,3.2625,13.39,3.3475,4788000
2009-01-08,3.3175,3.415,3.1875,13.58,3.395,4637200
2009-01-09,3.3525,3.375,3.15,13.02,3.255,6240000
2009-01-12,3.2425,3.265,3.18,13.05,3.2625,7872000
2009-01-13,3.2175,3.2175,2.96,12.1,3.025,8832000
2009-01-14,2.8825,2.96,2.74,11.35,2.8375,5071600
2009-01-15,2.8425,2.87,2.6125,11.23,2.8075,7533600
2009-01-16,2.855,2.9325,2.7825,11.54,2.885,4165600
2009-01-20,2.8875,2.8975,2.5525,10.23,2.5575,4945200
2009-01-21,2.475,2.515,2.02,9.82,2.455,19246400
2009-01-22,2.3425,2.3925,2.1825,9.14,2.285,7576800
2009-01-23,2.24,2.45,2.155,9.36,2.34,3690800
2009-01-26,2.3875,2.485,2.32,9.4,2.35,4922800
2009-01-27,2.35,2.415,2.29,9.25,2.3125,2661600
2009-01-28,2.3475,2.5425,2.315,9.78,2.445,5854800
2009-01-29,2.6575,2.675,2.3275,9.77,2.4425,13050800
2009-01-30,2.4225,2.4525,2.175,8.99,2.2475,10240800
2009-02-02,2.1975,2.2575,2.105,8.68,2.17,6919200
2009-02-03,2.18,2.2175,2.1375,8.73,2.1825,5493200
2009-02-04,2.19,2.205,2.05,8.4,2.1,4829600
2009-02-05,2.0725,2.13,1.9575,8.05,2.0125,9488800
2009-02-06,2.0375,2.195,2.015,8.6,2.15,11251200
2009-02-09,2.155,2.155,2.04,8.32,2.08,4274400
2009-02-10,2.0575,2.1125,1.96,7.96,1.99,5690000
2009-02-11,1.9925,2.0675,1.985,8.07,2.0175,3907200
2009-02-12,1.9325,1.98,1.8375,7.49,1.8725,9935600
2009-02-13,1.88,2.005,1.8625,7.6,1.9,6858000
2009-02-17,1.8325,1.87,1.81,7.32,1.83,5352000
2009-02-18,1.8425,1.8425,1.7175,6.96,1.74,3446800
2009-02-19,1.76,1.8275,1.745,7.05,1.7625,3807200
