Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,17.25,18.57,16.98,18.4,18.4,3592500
2009-01-05,18.73,19.209999,17.9,18.93,18.93,4268700
2009-01-06,19.559998999999998,20.01,18.82,19.799999,19.799999,4158700
2009-01-07,19.280001000000002,19.35,17.139999,17.35,17.35,7191400
2009-01-08,17.15,17.610001,16.879998999999998,17.58,17.58,3185600
2009-01-09,17.049999,17.440001000000002,15.65,16.0,16.0,7582600
2009-01-12,14.96,15.32,14.0,14.13,14.13,9253900
2009-01-13,14.25,14.54,13.6,13.97,13.97,5898900
2009-01-14,13.81,13.82,12.76,13.43,13.43,6482900
2009-01-15,13.38,14.2,12.8,13.95,13.95,7523700
2009-01-16,14.24,14.37,12.89,13.7,13.7,7985800
2009-01-20,13.54,13.82,11.96,12.02,12.02,8439500
2009-01-21,12.97,13.61,12.1,13.56,13.56,8839100
2009-01-22,13.26,13.37,12.0,12.4,12.4,8477100
2009-01-23,11.0,12.17,10.07,11.5,11.5,16484900
2009-01-26,12.04,12.5,10.9,11.54,11.54,8264200
2009-01-27,11.99,12.35,11.69,12.15,12.15,7210900
2009-01-28,12.59,13.2,12.47,12.9,12.9,8090000
2009-01-29,12.68,13.01,12.14,12.87,12.87,8282300
2009-01-30,12.86,12.86,12.14,12.18,12.18,9358100
2009-02-02,12.08,12.2,11.64,11.86,11.86,6701900
2009-02-03,12.03,14.55,11.91,13.73,13.73,20309300
2009-02-04,13.43,13.58,12.63,12.7,12.7,8536300
2009-02-05,12.66,13.35,12.35,13.08,13.08,6359000
2009-02-06,13.12,14.46,13.12,14.42,14.42,7890000
2009-02-09,14.2,14.74,13.91,14.3,14.3,4827000
2009-02-10,14.21,14.59,12.67,13.14,13.14,7034700
2009-02-11,13.27,13.83,13.02,13.41,13.41,4585200
2009-02-12,13.16,13.17,11.75,12.3,12.3,13583500
2009-02-13,12.22,12.68,12.2,12.3,12.3,6105800
2009-02-17,11.98,12.1,11.6,11.86,11.86,6763800
2009-02-18,11.95,12.17,11.09,11.35,11.35,7704200
2009-02-19,11.75,11.9,10.65,10.77,10.77,6703100
2009-02-20,10.56,11.03,10.15,10.82,10.82,8931000
2009-02-23,11.25,11.25,10.19,10.31,10.31,7524700
2009-02-24,10.4,10.64,9.78,10.49,10.49,8724700
2009-02-25,10.49,10.49,9.86,10.11,10.11,7306500
2009-02-26,10.35,10.85,10.05,10.23,10.23,4676300
2009-02-27,10.08,10.33,9.88,10.1,10.1,8546400
2009-03-02,9.88,10.01,8.98,9.09,9.09,7440000
2009-03-03,9.26,9.61,9.09,9.26,9.26,7897200
2009-03-04,9.68,9.77,8.72,8.9,8.9,8941200
2009-03-05,8.7,8.83,7.99,8.2,8.2,7813700
2009-03-06,8.85,9.19,8.05,8.33,8.33,8562000
2009-03-09,8.33,8.63,8.14,8.42,8.42,4836600
2009-03-10,8.65,10.06,8.56,10.01,10.01,8856800
2009-03-11,10.14,10.61,9.88,10.1,10.1,6662400
2009-03-12,10.11,10.9,9.75,10.82,10.82,4175400
2009-03-13,11.05,11.75,10.34,10.74,10.74,3455100
2009-03-16,11.1,11.87,10.99,11.16,11.16,6785000
2009-03-17,11.24,11.55,10.86,11.42,11.42,4305100
2009-03-18,11.32,13.95,11.2,13.76,13.76,10224200
2009-03-19,13.85,14.71,13.25,13.32,13.32,8242100
2009-03-20,13.35,13.5,12.48,12.7,12.7,5325600
2009-03-23,13.16,14.16,12.71,14.16,14.16,7799600
2009-03-24,14.0,14.0,13.4,13.46,13.46,6282900
2009-03-25,13.75,14.9,13.44,14.11,14.11,5443700
2009-03-26,14.45,15.5,14.13,15.37,15.37,6811700
2009-03-27,15.07,15.2,14.37,14.46,14.46,4208400
2009-03-30,13.96,13.96,13.15,13.42,13.42,3913800
2009-03-31,13.69,13.8,13.14,13.39,13.39,4016600
2009-04-01,12.99,13.86,12.9,13.79,13.79,3875200
2009-04-02,14.2,16.59,14.2,15.72,15.72,9184600
2009-04-03,15.75,16.59,15.4,16.559998999999998,16.559998999999998,5048700
2009-04-06,16.48,17.200001,16.040001,17.1,17.1,5923200
2009-04-07,16.959999,16.969998999999998,15.58,16.1,16.1,6724700
2009-04-08,16.219998999999998,16.68,15.78,16.26,16.26,3357700
2009-04-09,16.83,18.030001000000002,16.309998999999998,18.02,18.02,5738300
2009-04-13,17.84,18.34,17.450001,18.059998999999998,18.059998999999998,6793800
2009-04-14,17.860001,18.82,17.4,17.77,17.77,5376600
2009-04-15,17.59,17.77,16.780001000000002,17.129998999999998,17.129998999999998,8099600
2009-04-16,18.700001,19.58,17.85,18.110001,18.110001,17460400
2009-04-17,18.209999,19.120001000000002,17.799999,18.92,18.92,7932600
2009-04-20,18.110001,18.459999,17.35,17.6,17.6,5541000
2009-04-21,17.67,18.23,17.02,18.200001,18.200001,5620300
2009-04-22,17.93,19.57,17.57,19.129998999999998,19.129998999999998,6737300
2009-04-23,19.209999,19.610001,18.370001000000002,19.200001,19.200001,4479700
2009-04-24,19.49,20.719998999999998,19.0,20.440001000000002,20.440001000000002,5991800
2009-04-27,19.940001000000002,20.299999,19.07,19.450001,19.450001,4654700
2009-04-28,19.059998999999998,20.1,18.860001,19.59,19.59,5293800
2009-04-29,19.870001000000002,21.450001,19.5,21.09,21.09,6451000
2009-04-30,21.74,22.74,21.469998999999998,22.16,22.16,8547800
2009-05-01,22.0,22.34,21.35,21.52,21.52,4953700
