Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,16.441999,17.0,15.918,84.57,16.914,6737500
2009-01-05,16.084,16.200001,14.532,73.0,14.6,18936500
2009-01-06,14.19,14.204,12.21,62.589996,12.518,48907500
2009-01-07,12.244,13.18,11.908,64.08000200000001,12.816,21984500
2009-01-08,12.646,13.148,12.504,64.800003,12.96,12389000
2009-01-09,12.95,13.004,12.582,63.880001,12.776,10757000
2009-01-12,12.702,12.778,12.104,61.25,12.25,9842500
2009-01-13,12.1,12.594,11.826,61.830002,12.366,8553500
2009-01-14,11.964,12.196,11.36,58.990002000000004,11.798,15478000
2009-01-15,11.828,12.062,10.96,57.410004,11.482,18640000
2009-01-16,11.85,12.194,11.338,57.659996,11.532,15870500
2009-01-20,11.526,11.526,10.184,50.919998,10.184,18818000
2009-01-21,10.402,11.136,10.212,55.440002,11.088,17094000
2009-01-22,10.74,11.092,10.26,53.130001,10.626,11396500
2009-01-23,10.4,11.398,10.02,56.630001,11.326,14073500
2009-01-26,11.46,11.794,10.844,55.779999,11.156,9071000
2009-01-27,11.3,11.77,11.05,58.16,11.632,10503500
2009-01-28,12.14,12.49,11.812,61.82,12.364,14078500
2009-01-29,12.012,12.13,11.434,57.959998999999996,11.592,12938000
2009-01-30,11.81,11.966,11.222,56.93,11.386,11841500
2009-02-02,11.114,11.166,10.668,54.949996999999996,10.99,11137000
2009-02-03,11.114,11.996,11.108,58.909996,11.782,13012500
2009-02-04,11.898,12.216,11.662,59.18,11.836,8135500
2009-02-05,11.63,12.53,11.584,61.420002000000004,12.284,9065500
2009-02-06,12.372,13.156,12.226,63.470001,12.694,11964500
2009-02-09,12.582,12.894,12.206,62.259997999999996,12.452,14696000
2009-02-10,11.922,13.402,11.908,61.440002,12.288,20452500
2009-02-11,12.52,12.74,12.108,62.859997,12.572,13045000
2009-02-12,12.186,12.476,11.8,61.98,12.396,10831000
2009-02-13,12.232,12.918,12.21,63.119999,12.624,9647500
2009-02-17,12.072,12.104,11.608,58.330002,11.666,10785500
2009-02-18,11.88,12.016,11.286,58.139998999999996,11.628,7872000
2009-02-19,11.832,11.976,11.234,56.47999599999999,11.296,10651500
2009-02-20,11.044,11.766,10.85,58.040001000000004,11.608,12311000
2009-02-23,11.862,11.862,10.756,53.779999,10.756,8469000
2009-02-24,10.882,11.4,10.518,56.66,11.332,9590500
2009-02-25,11.256,12.238,11.052,58.810001,11.762,11668500
2009-02-26,12.04,12.354,11.6,59.0,11.8,10021500
2009-02-27,11.554,12.0,11.304,56.77,11.354,8365000
2009-03-02,11.198,11.432,10.548,52.810001,10.562,9288500
2009-03-03,10.792,11.28,10.654,54.610001000000004,10.922,8697000
2009-03-04,11.252,11.716,11.06,57.369999,11.474,9574000
2009-03-05,11.704,12.044,11.308,58.010002,11.602,12178500
2009-03-06,11.774,12.09,11.26,60.389998999999996,12.078,11904500
2009-03-09,12.064,12.776,12.01,61.079997999999996,12.216,11336500
2009-03-10,12.626,12.626,11.908,60.52,12.104,15455500
2009-03-11,12.262,12.804,11.812,62.690002,12.538,10643500
2009-03-12,12.476,13.446,12.24,66.739998,13.348,11076000
2009-03-13,13.348,13.78,13.002,68.43,13.686,12845500
2009-03-16,13.922,14.302,13.656,68.699997,13.74,13521000
2009-03-17,13.75,14.442,13.444,72.199997,14.44,10456000
2009-03-18,14.204,15.676,14.046,77.760002,15.552,19800500
2009-03-19,15.832,15.9,14.73,73.949997,14.79,15626500
2009-03-20,14.908,15.072,14.326,71.650002,14.33,9088000
2009-03-23,14.904,15.91,14.812,79.550003,15.91,11715000
2009-03-24,15.362,15.914,15.202,76.620003,15.324,11129000
2009-03-25,15.166,15.838,14.474,76.339996,15.268,12261500
2009-03-26,15.476,16.290001,15.208,80.900002,16.18,11798000
2009-03-27,15.852,16.146,15.64,78.610001,15.722,6839500
2009-03-30,15.082,15.222,14.576,73.07,14.614,11057500
2009-03-31,14.866,15.082,14.556,74.470001,14.894,10030000
2009-04-01,14.6,15.044,14.412,73.64999399999999,14.73,10690000
2009-04-02,15.024,15.994,15.024,78.200005,15.64,14355000
2009-04-03,16.058001,17.054001,15.952,85.270004,17.054001,19024000
2009-04-06,16.59,16.712,16.304001,82.41999799999999,16.483999,11798000
2009-04-07,16.318001000000002,17.718,16.26,84.469994,16.893998999999997,18270000
2009-04-08,17.073999,17.534,16.618,87.229996,17.445999,12478000
2009-04-09,17.502001,17.823999,17.202,89.11999499999999,17.823999,12283000
2009-04-13,17.747999,18.285999,17.375999,91.16999799999999,18.233999,8718500
2009-04-14,18.0,18.056,17.128,85.82,17.164,10895000
2009-04-15,17.208,17.462,16.860001,86.800003,17.360001,10408500
2009-04-16,17.542,17.544001,16.52,85.16999799999999,17.034,11542000
2009-04-17,16.952,17.548,16.601999,86.59000400000001,17.318001000000002,9942500
2009-04-20,16.99,17.6,16.516001,84.16999799999999,16.834,12900500
2009-04-21,16.798,17.799999,16.632,88.739998,17.747999,10096000
2009-04-22,17.41,17.955999,16.370001000000002,82.709999,16.542,13586000
2009-04-23,16.903999,16.997999,16.252001,84.66999799999999,16.934,14518500
2009-04-24,16.809998999999998,17.063999,16.459999,84.389999,16.878,9196500
2009-04-27,16.860001,17.854,16.639999,87.700005,17.540001,11508500
2009-04-28,17.101999,17.6,16.76,83.800003,16.76,9866000
2009-04-29,16.98,17.549999,16.827999,87.110001,17.422001,8402500
2009-04-30,17.674,18.046,17.382,87.60000600000001,17.52,7540000
2009-05-01,17.436001,17.784,16.912001,85.150002,17.030001000000002,6900500
2009-05-04,17.497999,18.110001,17.403999,90.43,18.086,14629500
2009-05-05,17.864,20.92,17.864,102.0,20.4,27748500
2009-05-06,20.209999,20.327999,18.952,97.779999,19.556,18224500
2009-05-07,19.6,19.700001,18.879998999999998,95.15999599999999,19.032,12228500
2009-05-08,19.346001,19.677999,19.1,97.279999,19.455999,10481000
2009-05-11,19.0,19.254,18.4,92.279999,18.455999,8181000
2009-05-12,18.674,19.594,18.336,96.5,19.299999,14219000
2009-05-13,18.914,20.299999,18.643998999999997,96.59000400000001,19.318001000000002,26784000
2009-05-14,19.67,20.664,19.642,100.760002,20.152,22728000
2009-05-15,19.889999,20.0,19.316,96.920006,19.384001,11348500
2009-05-18,19.559998999999998,20.798,19.427999,103.610001,20.722,11591000
2009-05-19,20.497999,21.738001,20.062,104.08000200000001,20.816,17313500
2009-05-20,20.902,21.202,19.549999,98.310005,19.662001,16511000
2009-05-21,19.674,20.18,19.219998999999998,98.660004,19.732,11219000
2009-05-22,20.450001,20.450001,19.732,99.5,19.9,8835500
2009-05-26,19.964001,20.538,19.634001,102.08000200000001,20.416,11102000
2009-05-27,20.584,21.194,20.274,102.480003,20.496,10868000
2009-05-28,20.59,21.622,20.58,107.700005,21.540001,9470500
2009-05-29,21.604,21.676001,20.98,107.790001,21.558001,8171000
2009-06-01,21.6,22.427999,21.534,110.029999,22.006001,9842000
2009-06-02,22.110001,23.316,21.903999,115.150002,23.030001000000002,13389000
2009-06-03,22.889999,22.948,22.326,112.5,22.5,7946500
2009-06-04,22.790001,24.0,22.450001,119.739998,23.948,12216500
2009-06-05,24.386,24.386,22.752001,114.860001,22.972,12831500
2009-06-08,22.794001,23.878,22.299999,118.110001,23.622,9625000
2009-06-09,23.952,24.33,23.445999,117.84000400000001,23.568001000000002,11164000
2009-06-10,24.049999,24.068001000000002,22.511999,114.739998,22.948,10701000
2009-06-11,23.02,23.648001,22.642,116.610001,23.322001,7093500
2009-06-12,22.864,23.275999,22.58,116.099998,23.219998999999998,5458000
2009-06-15,22.959999,22.997999,22.216,113.079994,22.615999,5827500
2009-06-16,22.794001,22.898001,22.040001,111.59000400000001,22.318001000000002,7408000
2009-06-17,22.336,22.708,21.768,108.99000500000001,21.798,9256500
2009-06-18,21.761999,22.700001,21.65,112.910004,22.582001,7288500
2009-06-19,22.9,23.195999,22.365999,115.270004,23.054001,7624000
2009-06-22,22.614,22.752001,21.205999,106.029999,21.205999,9425000
2009-06-23,21.268,21.492001000000002,20.796,107.16999799999999,21.434,7712000
2009-06-24,21.799999,22.698,21.618,112.529999,22.506001,7898500
2009-06-25,22.497999,22.888,22.048,113.769997,22.754,6532000
2009-06-26,22.681998999999998,23.506001,22.594,116.020004,23.204,7961500
2009-06-29,23.068001000000002,23.674,22.848,118.360001,23.672001,5704500
2009-06-30,23.440001000000002,23.65,22.794001,114.239998,22.848,6355000
2009-07-01,22.934,23.052,22.302,111.720001,22.344,6248000
2009-07-02,22.01,22.548,21.827999,109.139999,21.827999,7724500
2009-07-06,21.704,22.327999,21.58,110.08000200000001,22.016001,7022000
2009-07-07,21.926001,22.112,19.348,98.030006,19.606001000000003,21396000
2009-07-08,18.934,19.0,16.743999,85.200005,17.040001,54318500
2009-07-09,17.674,17.966,17.112,85.83000200000001,17.166,28042500
2009-07-10,17.214001,17.406,16.6,84.700005,16.940001000000002,15261000
2009-07-13,17.27,17.879998999999998,16.66,89.020004,17.804001,15243500
2009-07-14,17.84,17.84,16.747999,85.270004,17.054001,12155500
2009-07-15,17.534,18.722,17.360001,91.300003,18.26,23605000
2009-07-16,18.16,18.468,17.653999,90.029999,18.006001,12575000
2009-07-17,17.988001,18.360001,17.700001,91.0,18.200001,8057500
2009-07-20,18.280001000000002,18.844,17.91,92.639999,18.528,9020000
2009-07-21,18.68,18.799999,17.964001,90.74000500000001,18.148001,6931000
2009-07-22,18.0,18.375999,17.771998999999997,89.709999,17.941999,6412500
2009-07-23,18.01,18.874001,17.622,93.629997,18.726,10638000
2009-07-24,18.51,18.639999,18.153999,93.120003,18.624001,5783000
2009-07-27,18.507998999999998,18.955999,18.316,93.5,18.700001,8119000
2009-07-28,18.084,18.4,17.632,91.08000200000001,18.216,11807000
2009-07-29,18.024,18.799999,18.0,93.0,18.6,8890000
2009-07-30,18.809998999999998,19.562,18.756001,95.940002,19.188,9854500
2009-07-31,19.104,19.271998999999997,18.6,94.059998,18.812,9115000
2009-08-03,19.072001,19.348,18.6,96.07000699999999,19.214001,12552000
2009-08-04,18.902,19.639999,18.072001,91.540001,18.308001,17270000
2009-08-05,18.761999,18.9,18.504,93.540001,18.708,7649000
2009-08-06,18.893998999999997,18.912001,18.062,92.139999,18.427999,7877000
2009-08-07,18.714001,19.106001000000003,18.164,93.599998,18.719998999999998,8507500
2009-08-10,18.614,18.9,18.441999,93.68,18.736,6507000
2009-08-11,18.799999,18.924,18.011999,90.299995,18.059998999999998,9101500
2009-08-12,18.190001000000002,18.474001,18.021998999999997,91.14999399999999,18.23,5995500
2009-08-13,18.4,18.454,17.92,91.07000699999999,18.214001,5375000
2009-08-14,18.122,18.292,17.875999,90.489998,18.098,4128000
2009-08-17,17.608,17.856001000000003,17.016001,87.040009,17.408001000000002,7067000
2009-08-18,17.51,17.889999,17.275999,89.11999499999999,17.823999,7149000
2009-08-19,17.431998999999998,18.106001000000003,17.379998999999998,89.849998,17.969998999999998,8585500
2009-08-20,18.0,19.011999,17.968,95.0,19.0,9674000
2009-08-21,19.200001,19.243999,18.788,95.940002,19.188,9447000
2009-08-24,19.348,19.716,18.822001,94.280006,18.856001000000003,9882500
2009-08-25,18.968,19.257998999999998,18.445999,93.36999499999999,18.674,8374000
2009-08-26,18.601999,18.618,18.280001000000002,92.980003,18.596001,7241000
2009-08-27,18.577999,18.698,18.202,91.300003,18.26,7236000
2009-08-28,18.417999,18.733999,18.271998999999997,93.40999599999999,18.681998999999998,6828000
