Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,18.120001000000002,18.379998999999998,17.620001000000002,36.59,18.295,771200
2009-01-05,18.25,18.334999,17.290001,34.790001000000004,17.395,1241000
2009-01-06,15.9,16.684998999999998,15.54,32.990002000000004,16.495001000000002,2865000
2009-01-07,16.535,16.655001000000002,15.895,32.240002000000004,16.120001000000002,1752800
2009-01-08,16.25,16.43,15.55,31.5,15.75,1582000
2009-01-09,15.79,15.845,15.27,30.700001,15.35,1216800
2009-01-12,15.245,15.46,14.83,30.049999,15.025,1693200
2009-01-13,15.045,15.485,14.855,30.700001,15.35,1598000
2009-01-14,15.115,15.17,14.805,29.959999,14.98,1750600
2009-01-15,15.0,15.58,14.875,30.950001,15.475,1908800
2009-01-16,15.5,15.86,15.225,31.49,15.745,1428600
2009-01-20,15.68,16.115,15.655,31.379998999999998,15.69,2778000
2009-01-21,15.835,16.16,15.75,32.18,16.09,1905200
2009-01-22,15.96,16.045,15.55,31.530001000000002,15.765,1340000
2009-01-23,15.585,15.76,15.295,31.200001,15.6,956000
2009-01-26,15.595,16.264999,15.55,31.25,15.625,1507600
2009-01-27,15.75,15.945,15.54,31.52,15.76,1369200
2009-01-28,16.045,16.225,15.935,32.119999,16.059998999999998,1248200
2009-01-29,15.925,16.075001,15.59,31.34,15.67,1810000
2009-01-30,15.945,16.75,15.7,32.799999,16.4,4220800
2009-02-02,16.24,16.344998999999998,16.075001,32.57,16.285,1939200
2009-02-03,16.275,16.360001,16.055,32.59,16.295,1817400
2009-02-04,16.275,16.625,16.135,32.810001,16.405001000000002,1232200
2009-02-05,16.334999,16.815001000000002,16.264999,33.240002000000004,16.620001000000002,1024200
2009-02-06,16.709999,17.48,16.67,34.700001,17.35,2007800
2009-02-09,17.235001,17.530001000000002,17.235001,34.59,17.295,1303000
2009-02-10,17.264999,17.459999,16.74,33.560001,16.780001000000002,921200
2009-02-11,16.93,17.115,16.75,34.0,17.0,647200
2009-02-12,16.83,17.33,16.594998999999998,34.59,17.295,925200
2009-02-13,17.375,17.459999,17.129998999999998,34.369999,17.184998999999998,953600
2009-02-17,16.785,16.875,16.405001000000002,33.23,16.615,1424200
2009-02-18,16.785,16.875,16.424999,33.0,16.5,914000
2009-02-19,16.620001000000002,16.715,16.26,32.57,16.285,838800
2009-02-20,16.23,16.389999,16.0,32.360001000000004,16.18,1347200
2009-02-23,16.245001000000002,16.325001,15.105,30.41,15.205,1900200
2009-02-24,15.375,16.07,15.36,31.85,15.925,1121600
2009-02-25,15.795,15.93,15.45,31.35,15.675,961400
2009-02-26,15.865,15.895,15.24,30.620001000000002,15.31,1328400
2009-02-27,15.145,15.42,14.845,30.1,15.05,1405800
2009-03-02,14.94,15.115,13.86,27.85,13.925,1465000
2009-03-03,13.97,14.49,13.84,28.719998999999998,14.36,2029800
2009-03-04,14.465,15.06,14.27,29.790001,14.895,1502000
2009-03-05,14.625,14.92,14.375,29.08,14.54,1072200
2009-03-06,14.585,14.71,14.26,29.23,14.615,1471400
2009-03-09,14.445,14.855,14.15,28.59,14.295,1181000
2009-03-10,14.54,15.045,14.305,30.049999,15.025,1345200
2009-03-11,15.02,15.32,14.725,29.66,14.83,834800
2009-03-12,14.87,15.785,14.635,31.370001000000002,15.685,945000
2009-03-13,15.685,15.925,15.56,31.700001,15.85,626000
2009-03-16,15.96,16.33,15.835,31.76,15.88,671000
2009-03-17,15.92,16.545,15.785,33.09,16.545,730800
2009-03-18,16.450001,17.205,16.385,33.959998999999996,16.98,618400
2009-03-19,17.035,17.174999,16.405001000000002,33.450001,16.725,688400
2009-03-20,16.77,17.025,16.115,32.560001,16.280001000000002,914200
2009-03-23,16.33,17.190001000000002,16.309998999999998,34.25,17.125,695400
2009-03-24,16.85,17.754998999999998,16.655001000000002,35.049999,17.525,1060400
2009-03-25,17.5,18.299999,17.5,36.189999,18.094998999999998,1347200
2009-03-26,17.905001000000002,18.445,17.715,36.040001000000004,18.02,1760000
2009-03-27,17.905001000000002,18.045,17.620001000000002,35.470001,17.735001,783200
2009-03-30,17.674999,17.674999,17.045,34.630001,17.315001000000002,1584400
2009-03-31,17.535,18.305,17.23,34.580002,17.290001,1408000
2009-04-01,17.094998999999998,17.545,16.535,34.709998999999996,17.355,1635200
2009-04-02,17.485001,17.77,17.485001,35.16,17.58,2310800
2009-04-03,17.629998999999998,18.125,17.24,36.240002000000004,18.120001000000002,1200600
2009-04-06,18.035,18.690001000000002,18.035,36.68,18.34,644200
2009-04-07,18.014999,18.35,17.825001,36.259997999999996,18.129998999999998,656600
2009-04-08,18.475,18.475,18.115,36.59,18.295,797800
2009-04-09,18.655001000000002,19.004998999999998,18.620001000000002,37.93,18.965,525600
2009-04-13,18.74,19.0,18.58,37.619999,18.809998999999998,763600
2009-04-14,18.684998999999998,18.985001,18.66,37.630001,18.815001000000002,880600
2009-04-15,18.844998999999998,18.945,18.33,37.290001000000004,18.645,1282400
2009-04-16,18.844998999999998,19.424999,18.844998999999998,38.669998,19.334999,960800
2009-04-17,19.395,19.575001,19.110001,38.77,19.385,1253600
2009-04-20,19.125,19.34,18.959999,37.93,18.965,1010800
2009-04-21,18.959999,19.205,18.629998999999998,37.509997999999996,18.754998999999998,798200
2009-04-22,18.565001000000002,19.395,18.52,38.459998999999996,19.23,1103800
2009-04-23,19.375,19.395,18.59,38.25,19.125,1387400
2009-04-24,19.014999,20.32,19.014999,39.82,19.91,3172200
2009-04-27,19.674999,20.245001000000002,19.674999,39.59,19.795,1168600
2009-04-28,19.625,20.145,19.615,39.490002000000004,19.745001000000002,1255600
2009-04-29,19.950001,20.1,19.68,39.759997999999996,19.879998999999998,1111200
2009-04-30,20.049999,20.235001,19.645,39.299999,19.65,1188600
2009-05-01,19.690001000000002,20.040001,19.075001,39.400002,19.700001,1131800
2009-05-04,19.674999,19.934998999999998,19.555,39.869999,19.934998999999998,851400
2009-05-05,19.75,20.5,19.745001000000002,40.939999,20.469998999999998,895400
2009-05-06,20.6,20.764999,20.15,41.330002,20.665001,1046800
2009-05-07,20.715,21.674999,20.715,42.889998999999996,21.445,1722200
2009-05-08,21.745001000000002,22.055,21.629998999999998,43.779999,21.889999,1070000
2009-05-11,21.549999,21.84,21.065001000000002,42.25,21.125,1123600
2009-05-12,21.735001,21.735001,21.190001000000002,42.740002000000004,21.370001000000002,765600
2009-05-13,21.184998999999998,21.190001000000002,20.334999,40.849998,20.424999,1079400
2009-05-14,20.540001,20.67,20.08,41.009997999999996,20.504998999999998,886400
2009-05-15,20.485001,20.719998999999998,20.254998999999998,40.799999,20.4,915400
2009-05-18,20.49,20.684998999999998,20.245001000000002,41.139998999999996,20.57,778200
2009-05-19,20.605,20.975,20.455,41.759997999999996,20.879998999999998,744200
2009-05-20,20.915001,21.245001000000002,20.735001,41.529999,20.764999,486000
2009-05-21,20.764999,20.815001000000002,19.985001,40.220001,20.110001,919400
2009-05-22,20.264999,20.48,20.110001,40.34,20.17,309000
2009-05-26,20.0,20.969998999999998,20.0,41.919998,20.959999,761600
2009-05-27,20.84,21.485001,20.715,41.990002000000004,20.995001000000002,703000
2009-05-28,21.110001,21.475,21.035,42.299999,21.15,870400
2009-05-29,21.055,21.115,20.764999,42.0,21.0,2207200
2009-06-01,21.17,22.07,21.17,43.810001,21.905001000000002,966000
2009-06-02,21.68,23.25,21.68,46.060001,23.030001000000002,1385200
2009-06-03,22.684998999999998,23.450001,22.684998999999998,46.849998,23.424999,1193800
2009-06-04,23.24,23.41,22.469998999999998,45.25,22.625,990200
2009-06-05,22.76,23.094998999999998,22.290001,45.07,22.535,630000
2009-06-08,22.295,22.555,22.094998999999998,44.459998999999996,22.23,827000
2009-06-09,22.315001000000002,22.59,22.15,44.799999,22.4,608400
2009-06-10,22.469998999999998,22.594998999999998,22.174999,44.580002,22.290001,820400
2009-06-11,22.305,22.91,22.305,45.619999,22.809998999999998,376800
2009-06-12,22.639999,23.405001000000002,22.629998999999998,46.509997999999996,23.254998999999998,615000
2009-06-15,22.67,22.834999,21.610001,45.310001,22.655001000000002,1031400
2009-06-16,22.745001000000002,23.014999,22.26,44.57,22.285,691200
2009-06-17,22.33,22.865,22.33,45.09,22.545,469200
2009-06-18,22.49,22.76,22.455,45.310001,22.655001000000002,379800
2009-06-19,22.92,22.92,22.34,44.869999,22.434998999999998,821600
2009-06-22,22.325001,22.465,21.879998999999998,43.939999,21.969998999999998,884600
2009-06-23,21.83,21.98,21.690001000000002,43.639998999999996,21.82,531400
2009-06-24,21.950001,22.135,21.645,44.09,22.045,457400
2009-06-25,21.885,23.094998999999998,21.860001,46.09,23.045,916800
2009-06-26,23.004998999999998,23.225,22.605,46.119999,23.059998999999998,718800
2009-06-29,23.059998999999998,23.225,22.780001000000002,46.130001,23.065001000000002,271800
2009-06-30,23.15,23.305,22.934998999999998,46.200001,23.1,727800
2009-07-01,23.275,23.375,22.825001,45.790001000000004,22.895,611000
2009-07-02,22.725,23.055,22.16,44.790001000000004,22.395,632600
2009-07-06,22.200001,22.709999,22.200001,45.0,22.5,592800
2009-07-07,22.275,23.129998999999998,22.275,45.880001,22.940001000000002,1503800
2009-07-08,23.02,23.645,22.76,45.98,22.99,1310200
2009-07-09,23.0,23.129998999999998,22.344998999999998,44.919998,22.459999,374200
2009-07-10,22.424999,22.68,21.995001000000002,44.169998,22.084999,755400
2009-07-13,22.165001,22.445,21.735001,44.310001,22.155001000000002,642000
2009-07-14,22.209999,22.375,21.940001000000002,44.080002,22.040001,596600
2009-07-15,22.355,22.639999,22.094998999999998,44.990002000000004,22.495001000000002,607200
2009-07-16,22.370001000000002,23.035,22.370001000000002,45.939999,22.969998999999998,574200
2009-07-17,22.965,23.18,22.59,45.91,22.955,869200
2009-07-20,22.959999,23.1,22.705,46.049999,23.025,500200
2009-07-21,23.08,23.325001,23.035,46.360001000000004,23.18,875000
2009-07-22,23.030001000000002,23.48,22.610001,45.439999,22.719998999999998,914200
2009-07-23,22.77,24.0,22.76,47.990002000000004,23.995001000000002,1479400
2009-07-24,22.799999,25.205,22.799999,50.299999,25.15,2171800
2009-07-27,25.09,25.395,24.629998999999998,49.990002000000004,24.995001000000002,687400
2009-07-28,24.684998999999998,25.25,24.465,49.189999,24.594998999999998,647200
2009-07-29,24.395,25.035,24.285,49.799999,24.9,714000
2009-07-30,24.9,25.264999,24.645,50.290001000000004,25.145,787200
2009-07-31,25.0,25.455,24.815001000000002,49.82,24.91,680200
2009-08-03,25.190001000000002,25.190001000000002,24.5,49.580002,24.790001,914000
2009-08-04,24.75,25.4,24.75,50.790001000000004,25.395,474200
2009-08-05,25.360001,25.719998999999998,24.934998999999998,50.75,25.375,696400
2009-08-06,25.379998999999998,25.495001000000002,24.959999,50.200001,25.1,443600
2009-08-07,25.469998999999998,25.75,25.035,50.970001,25.485001,273400
2009-08-10,25.290001,25.615,25.209999,50.950001,25.475,295600
2009-08-11,25.23,25.445,25.0,50.380001,25.190001000000002,376400
2009-08-12,25.190001000000002,25.700001,25.004998999999998,50.439999,25.219998999999998,738400
2009-08-13,25.395,25.415001,25.15,50.700001,25.35,334400
2009-08-14,25.195,25.594998999999998,24.82,50.43,25.215,361400
2009-08-17,25.014999,25.385,24.775,49.709998999999996,24.855,367600
2009-08-18,25.02,25.17,24.65,49.93,24.965,493800
2009-08-19,24.815001000000002,25.254998999999998,24.75,50.450001,25.225,294600
2009-08-20,25.07,25.370001000000002,24.9,50.580002,25.290001,341000
2009-08-21,25.535,25.719998999999998,25.295,50.73,25.365,487200
2009-08-24,25.360001,25.49,25.280001000000002,50.849998,25.424999,511400
2009-08-25,25.465,26.0,25.299999,51.16,25.58,798800
2009-08-26,25.629998999999998,26.0,25.459999,51.060001,25.530001000000002,491800
2009-08-27,25.395,25.969998999999998,25.254998999999998,51.439999,25.719998999999998,351000
2009-08-28,25.945,25.99,25.26,51.0,25.5,333800
2009-08-31,25.469998999999998,25.65,25.09,50.759997999999996,25.379998999999998,423800
2009-09-01,25.190001000000002,25.754998999999998,24.67,49.41,24.705,780800
2009-09-02,24.605,25.01,24.605,49.349998,24.674999,405000
2009-09-03,24.709999,24.825001,24.344998999999998,49.419998,24.709999,374600
2009-09-04,24.709999,25.145,24.549999,50.09,25.045,153400
2009-09-08,25.02,25.18,24.684998999999998,50.119999,25.059998999999998,229800
2009-09-09,24.98,25.995001000000002,24.98,51.310001,25.655001000000002,284400
2009-09-10,25.719998999999998,25.915001,25.455,51.799999,25.9,222200
2009-09-11,25.865,26.235001,25.795,52.16,26.08,240000
2009-09-14,25.790001,26.495001000000002,25.76,52.869999,26.434998999999998,297000
2009-09-15,26.355,26.58,26.225,53.0,26.5,230200
2009-09-16,26.504998999999998,27.025,26.495001000000002,54.049999,27.025,276800
2009-09-17,26.915001,27.17,26.594998999999998,53.849998,26.924999,282600
2009-09-18,26.975,27.105,26.844998999999998,53.799999,26.9,758400
2009-09-21,26.754998999999998,27.559998999999998,26.67,54.950001,27.475,421200
2009-09-22,27.450001,27.450001,26.635,53.41,26.705,478000
2009-09-23,26.834999,26.834999,25.885,51.77,25.885,480200
2009-09-24,25.924999,26.02,25.110001,50.5,25.25,539000
2009-09-25,25.174999,25.245001000000002,24.934998999999998,50.040001000000004,25.02,288600
2009-09-28,25.17,25.889999,25.129998999999998,51.599998,25.799999,357600
2009-09-29,25.905001000000002,25.975,25.4,51.400002,25.700001,471400
2009-09-30,25.594998999999998,25.709999,24.84,50.0,25.0,672800
2009-10-01,24.834999,24.99,24.065001000000002,48.32,24.16,685000
2009-10-02,24.08,24.465,23.9,48.040001000000004,24.02,366200
2009-10-05,24.165001,24.549999,23.76,48.57,24.285,488600
2009-10-06,24.365,24.879998999999998,24.075001,49.619999,24.809998999999998,240400
2009-10-07,24.684998999999998,25.040001,24.405001000000002,50.029999,25.014999,348200
2009-10-08,25.040001,25.26,24.58,50.389998999999996,25.195,467000
2009-10-09,25.08,25.27,25.08,50.490002000000004,25.245001000000002,159200
2009-10-12,25.299999,25.360001,24.875,50.0,25.0,217200
2009-10-13,24.895,25.025,24.645,49.540001000000004,24.77,406200
2009-10-14,24.924999,25.334999,24.709999,50.400002,25.200001,689200
2009-10-15,25.075001,25.475,25.004998999999998,50.849998,25.424999,419600
2009-10-16,25.32,25.705,25.219998999999998,51.150002,25.575001,348400
2009-10-19,25.68,26.16,25.605,52.07,26.035,480400
2009-10-20,25.985001,26.145,25.795,51.799999,25.9,492800
2009-10-21,25.780001000000002,26.309998999999998,25.780001000000002,51.59,25.795,507600
2009-10-22,25.709999,26.5,25.485001,52.599998,26.299999,491600
2009-10-23,27.375,27.375,25.98,54.380001,27.190001000000002,1526000
2009-10-26,27.155001000000002,27.844998999999998,26.76,54.150002,27.075001,1284200
2009-10-27,27.059998999999998,27.4,26.77,53.970001,26.985001,565200
2009-10-28,27.059998999999998,27.084999,26.68,53.619999,26.809998999999998,729000
2009-10-29,26.860001,26.860001,26.379998999999998,52.779999,26.389999,595400
2009-10-30,26.32,26.434998999999998,25.559998999999998,51.119999,25.559998999999998,557000
2009-11-02,25.73,25.73,25.125,50.900002,25.450001,663800
2009-11-03,25.395,25.67,25.24,50.950001,25.475,578200
2009-11-04,25.625,25.83,25.299999,50.639998999999996,25.32,353400
2009-11-05,25.605,25.825001,25.475,51.650002,25.825001,442600
2009-11-06,25.719998999999998,26.0,25.459999,51.799999,25.9,203000
2009-11-09,26.004998999999998,26.360001,26.004998999999998,52.330002,26.165001,294800
2009-11-10,25.98,26.665001,25.745001000000002,52.810001,26.405001000000002,593000
2009-11-11,26.424999,26.525,26.02,52.48,26.24,314200
2009-11-12,26.184998999999998,26.215,25.65,51.610001000000004,25.805,295800
2009-11-13,25.959999,26.360001,25.75,52.25,26.125,184400
2009-11-16,26.055,26.735001,25.940001000000002,53.150002,26.575001,273600
2009-11-17,26.33,26.66,26.195,53.32,26.66,253600
2009-11-18,26.58,26.665001,26.219998999999998,52.849998,26.424999,291600
2009-11-19,26.190001000000002,26.32,25.290001,51.5,25.75,469600
2009-11-20,25.51,25.584999,25.155001000000002,50.73,25.365,271600
2009-11-23,25.545,26.094998999999998,25.459999,51.240002000000004,25.620001000000002,360000
2009-11-24,25.674999,25.915001,25.285,50.580002,25.290001,731600
2009-11-25,25.325001,25.5,25.135,50.91,25.455,957600
2009-11-27,25.035,25.475,24.629998999999998,50.919998,25.459999,522600
