Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,4.05,4.29,3.93,4.28,4.28,2830200
2009-01-05,4.19,4.35,3.91,3.94,3.94,7180100
2009-01-06,4.11,4.48,4.07,4.33,4.33,7019300
2009-01-07,4.24,4.43,4.03,4.22,4.22,7376500
2009-01-08,4.14,4.5,4.01,4.32,4.32,9236000
2009-01-09,4.32,4.4,4.02,4.08,4.08,4816000
2009-01-12,4.07,4.08,3.8,3.86,3.86,4855500
2009-01-13,3.86,4.03,3.69,3.71,3.71,6283500
2009-01-14,3.64,3.76,3.53,3.68,3.68,7615200
2009-01-15,3.6,3.77,3.4,3.63,3.63,8953000
2009-01-16,3.68,3.84,3.59,3.83,3.83,7084100
2009-01-20,3.81,3.81,3.42,3.45,3.45,6604600
2009-01-21,3.46,3.6,3.29,3.55,3.55,9442600
2009-01-22,3.61,3.64,3.3,3.37,3.37,10245200
2009-01-23,3.23,3.62,3.18,3.5,3.5,6917100
2009-01-26,3.52,3.56,3.33,3.37,3.37,6516700
2009-01-27,3.37,3.61,3.37,3.39,3.39,6233800
2009-01-28,3.44,3.86,3.41,3.79,3.79,9093500
2009-01-29,3.75,3.81,3.55,3.58,3.58,6770500
2009-01-30,3.65,3.69,3.31,3.33,3.33,8345300
2009-02-02,3.26,3.4,3.1,3.29,3.29,8253300
2009-02-03,3.19,3.44,3.08,3.2,3.2,10073200
2009-02-04,3.22,3.52,3.19,3.31,3.31,13330200
2009-02-05,3.29,3.55,3.2,3.41,3.41,8033600
2009-02-06,3.41,3.61,3.33,3.59,3.59,6345700
2009-02-09,3.55,3.79,3.27,3.58,3.58,6852700
2009-02-10,3.53,3.71,3.31,3.32,3.32,7035400
2009-02-11,3.33,3.7,3.33,3.66,3.66,9403600
2009-02-12,3.61,3.82,3.51,3.78,3.78,7201700
2009-02-13,3.78,3.8,3.58,3.68,3.68,6227200
2009-02-17,3.43,3.58,3.41,3.51,3.51,6266900
2009-02-18,3.54,3.58,3.33,3.39,3.39,4620900
2009-02-19,3.36,3.47,3.32,3.36,3.36,5321800
2009-02-20,3.35,3.38,3.15,3.23,3.23,10210900
2009-02-23,3.26,3.28,3.13,3.23,3.23,6411600
2009-02-24,3.27,3.56,3.23,3.51,3.51,7828600
2009-02-25,3.43,3.53,3.3,3.4,3.4,5614700
2009-02-26,3.43,3.9,3.35,3.56,3.56,10561500
2009-02-27,3.75,4.02,3.62,3.81,3.81,13806500
2009-03-02,3.67,4.01,3.57,3.62,3.62,10289900
2009-03-03,3.68,3.93,3.62,3.75,3.75,8823600
2009-03-04,3.78,4.18,3.78,4.06,4.06,10187400
2009-03-05,4.05,4.08,3.71,3.79,3.79,7650600
2009-03-06,3.77,3.99,3.6,3.77,3.77,8503200
2009-03-09,3.78,3.95,3.64,3.75,3.75,5057600
2009-03-10,3.85,3.96,3.74,3.95,3.95,8015600
2009-03-11,4.1,4.1,3.84,3.93,3.93,5802000
2009-03-12,3.92,4.24,3.81,4.13,4.13,8151500
2009-03-13,4.2,4.23,3.97,4.01,4.01,7945800
2009-03-16,4.06,4.13,3.89,3.92,3.92,6026600
2009-03-17,3.92,4.01,3.8,4.01,4.01,6184700
2009-03-18,4.0,4.24,3.9,4.21,4.21,7946000
2009-03-19,4.33,4.33,4.03,4.03,4.03,5349600
2009-03-20,4.12,4.13,3.9,3.98,3.98,4732500
2009-03-23,4.06,4.53,4.05,4.53,4.53,10336100
2009-03-24,4.4,4.53,4.35,4.42,4.42,7535800
2009-03-25,4.43,4.52,4.19,4.48,4.48,8362200
2009-03-26,4.5,4.55,4.34,4.5,4.5,4685600
2009-03-27,4.4,4.41,4.16,4.26,4.26,3816600
2009-03-30,4.1,4.21,4.05,4.17,4.17,5145300
2009-03-31,4.21,4.25,4.03,4.12,4.12,4011500
2009-04-01,4.11,4.45,4.05,4.45,4.45,4969200
2009-04-02,4.56,4.99,4.52,4.87,4.87,8515300
2009-04-03,4.87,4.94,4.74,4.84,4.84,5447500
2009-04-06,4.8,4.86,4.6,4.81,4.81,4655800
2009-04-07,4.7,5.0,4.63,4.84,4.84,5807600
2009-04-08,4.84,5.02,4.82,5.0,5.0,6417900
2009-04-09,5.19,5.41,5.01,5.2,5.2,5957000
2009-04-13,5.13,5.22,4.97,5.16,5.16,5755400
2009-04-14,5.09,5.3,5.09,5.19,5.19,11893200
2009-04-15,5.16,5.19,4.94,5.0,5.0,8691900
2009-04-16,5.02,5.39,4.95,5.35,5.35,12524300
2009-04-17,5.41,5.74,5.4,5.66,5.66,8921500
2009-04-20,5.53,5.59,5.25,5.29,5.29,3641000
2009-04-21,5.25,5.61,5.24,5.41,5.41,7127700
2009-04-22,5.35,5.5,5.23,5.26,5.26,9968600
2009-04-23,5.26,5.38,5.1,5.22,5.22,7800900
2009-04-24,5.24,5.64,5.24,5.54,5.54,5814100
2009-04-27,5.53,5.67,5.41,5.54,5.54,9104100
2009-04-28,6.05,6.05,5.68,5.88,5.88,10084500
2009-04-29,5.94,6.22,5.86,6.06,6.06,9457800
2009-04-30,6.06,6.41,6.04,6.26,6.26,10177300
2009-05-01,6.27,6.39,6.22,6.32,6.32,5805400
2009-05-04,6.3,6.41,6.0,6.12,6.12,9978300
2009-05-05,6.12,6.25,5.85,5.9,5.9,10216700
2009-05-06,6.08,6.14,5.85,6.11,6.11,4795300
2009-05-07,6.19,6.29,5.7,5.78,5.78,7062600
2009-05-08,5.9,5.98,5.59,5.83,5.83,6590700
2009-05-11,5.62,5.75,5.52,5.58,5.58,5050500
2009-05-12,5.65,5.71,5.24,5.42,5.42,6934900
2009-05-13,5.38,5.38,5.06,5.09,5.09,5869100
2009-05-14,5.04,5.28,5.02,5.18,5.18,6075400
2009-05-15,5.15,5.24,5.02,5.09,5.09,5392400
2009-05-18,5.16,5.26,5.07,5.26,5.26,4518400
2009-05-19,5.32,5.56,5.25,5.33,5.33,6256600
2009-05-20,5.38,5.44,4.86,5.07,5.07,7248100
2009-05-21,4.99,5.22,4.85,5.16,5.16,9666800
2009-05-22,5.18,5.23,4.97,5.04,5.04,4985600
2009-05-26,4.98,5.12,4.95,5.06,5.06,7374000
2009-05-27,5.07,5.32,5.02,5.08,5.08,7423200
2009-05-28,5.14,5.17,4.94,5.06,5.06,10212400
2009-05-29,5.09,5.24,5.03,5.24,5.24,4511500
2009-06-01,5.32,5.58,5.25,5.52,5.52,5625500
2009-06-02,5.52,5.55,5.37,5.44,5.44,4679400
2009-06-03,5.37,5.37,5.25,5.33,5.33,4734800
2009-06-04,5.33,5.41,5.22,5.4,5.4,4797500
2009-06-05,5.47,5.93,5.44,5.7,5.7,10711000
2009-06-08,5.48,5.79,5.44,5.74,5.74,5400600
2009-06-09,5.76,5.93,5.68,5.85,5.85,6765100
2009-06-10,5.9,5.92,5.73,5.8,5.8,4458000
2009-06-11,5.81,6.02,5.69,5.97,5.97,6064800
2009-06-12,5.92,6.0,5.83,6.0,6.0,2966300
2009-06-15,5.89,5.89,5.54,5.65,5.65,5792700
2009-06-16,5.67,5.7,5.46,5.5,5.5,8281700
2009-06-17,5.5,6.08,5.32,5.42,5.42,8157400
2009-06-18,5.37,5.47,5.22,5.36,5.36,3633200
2009-06-19,5.43,5.69,5.39,5.56,5.56,8684300
2009-06-22,5.44,5.5,5.02,5.1,5.1,9821500
2009-06-23,5.13,5.15,4.93,5.06,5.06,7778100
2009-06-24,5.09,5.16,5.0,5.02,5.02,4207700
2009-06-25,4.88,5.28,4.66,5.24,5.24,7813900
2009-06-26,5.24,5.25,5.04,5.1,5.1,11825100
2009-06-29,5.08,5.21,4.94,5.02,5.02,7510400
2009-06-30,5.04,5.07,4.81,5.05,5.05,9879600
2009-07-01,5.09,5.11,5.01,5.08,5.08,8456500
2009-07-02,4.95,5.06,4.85,4.86,4.86,4081600
2009-07-06,4.82,5.02,4.77,4.85,4.85,6395300
2009-07-07,4.8,4.9,4.71,4.85,4.85,10800500
2009-07-08,4.87,4.88,4.69,4.71,4.71,8472800
2009-07-09,4.76,4.95,4.57,4.79,4.79,6690200
2009-07-10,4.75,4.89,4.62,4.8,4.8,4357900
2009-07-13,4.76,4.86,4.69,4.81,4.81,3753700
2009-07-14,4.78,5.14,4.78,5.09,5.09,6215800
2009-07-15,5.17,5.43,4.77,5.22,5.22,9914600
2009-07-16,5.22,5.5,5.21,5.43,5.43,4912000
2009-07-17,5.46,5.48,5.25,5.44,5.44,3828200
2009-07-20,5.4,5.52,5.26,5.46,5.46,7513900
2009-07-21,5.51,5.73,5.47,5.73,5.73,8603100
2009-07-22,5.6,5.88,5.6,5.79,5.79,4266700
2009-07-23,5.79,6.34,5.67,6.27,6.27,13673700
2009-07-24,6.24,6.32,6.0,6.3,6.3,6434400
2009-07-27,6.3,6.3,6.01,6.19,6.19,11151600
2009-07-28,5.48,5.59,5.29,5.41,5.41,20133000
2009-07-29,5.19,5.25,5.03,5.17,5.17,16136100
2009-07-30,5.23,5.44,5.07,5.21,5.21,13174200
2009-07-31,5.2,5.33,5.09,5.21,5.21,10173000
2009-08-03,5.31,5.79,5.2,5.68,5.68,11973300
2009-08-04,5.6,5.79,5.45,5.76,5.76,11931900
2009-08-05,5.77,5.77,5.53,5.69,5.69,6247400
2009-08-06,5.73,5.78,5.44,5.49,5.49,7195200
2009-08-07,5.64,6.12,5.56,6.06,6.06,13251100
2009-08-10,5.95,6.08,5.78,5.87,5.87,6640900
2009-08-11,5.81,6.08,5.76,6.01,6.01,10762400
2009-08-12,5.96,6.11,5.92,5.99,5.99,9516100
2009-08-13,6.16,6.67,6.16,6.4,6.4,15867400
2009-08-14,6.39,6.46,6.16,6.26,6.26,6289400
2009-08-17,6.1,6.15,5.87,5.93,5.93,5061500
2009-08-18,5.91,5.98,5.87,5.92,5.92,5395100
2009-08-19,5.91,5.99,5.8,5.9,5.9,4498000
2009-08-20,5.9,6.18,5.9,6.1,6.1,8020800
2009-08-21,6.16,6.72,6.16,6.47,6.47,7945100
2009-08-24,6.48,6.58,6.38,6.44,6.44,6423700
2009-08-25,6.49,6.61,6.36,6.56,6.56,4604300
2009-08-26,6.57,6.6,6.29,6.4,6.4,6822500
2009-08-27,6.43,6.54,6.16,6.52,6.52,5296000
2009-08-28,6.6,6.64,6.29,6.42,6.42,5449000
2009-08-31,6.31,6.42,6.18,6.29,6.29,4511400
2009-09-01,6.23,6.54,6.14,6.15,6.15,7359500
2009-09-02,6.22,6.22,5.87,6.01,6.01,7694000
2009-09-03,6.04,6.08,5.94,5.99,5.99,5339400
2009-09-04,6.01,6.19,6.01,6.18,6.18,4881200
2009-09-08,6.29,6.41,6.12,6.4,6.4,6770800
2009-09-09,6.42,6.68,6.27,6.66,6.66,7132700
2009-09-10,6.68,6.84,6.55,6.82,6.82,4746000
2009-09-11,6.76,6.87,6.65,6.75,6.75,4239400
2009-09-14,6.68,6.78,6.53,6.59,6.59,5653000
2009-09-15,6.7,7.29,6.48,7.18,7.18,13399100
2009-09-16,7.24,7.37,7.04,7.36,7.36,8923700
2009-09-17,7.32,7.39,7.12,7.28,7.28,6614300
2009-09-18,7.35,7.56,7.35,7.47,7.47,6077500
2009-09-21,7.4,7.49,7.13,7.4,7.4,6290800
2009-09-22,7.18,7.45,7.16,7.2,7.2,5146400
2009-09-23,7.23,7.49,7.21,7.26,7.26,7170900
2009-09-24,7.29,7.32,6.9,7.04,7.04,6901000
2009-09-25,7.01,7.19,6.95,7.02,7.02,3963400
2009-09-28,6.99,7.32,6.98,7.3,7.3,3031800
2009-09-29,7.4,7.63,7.35,7.59,7.59,8261700
2009-09-30,7.59,7.77,7.45,7.52,7.52,11721500
2009-10-01,7.45,7.5,7.03,7.06,7.06,6309600
2009-10-02,6.95,7.06,6.79,6.84,6.84,8368300
2009-10-05,6.82,7.03,6.75,6.92,6.92,6282600
2009-10-06,6.95,7.21,6.92,7.11,7.11,5238800
2009-10-07,7.14,7.15,6.8,6.88,6.88,6768400
2009-10-08,6.94,7.13,6.9,7.09,7.09,6731300
2009-10-09,7.1,7.15,7.0,7.07,7.07,3190400
2009-10-12,7.09,7.19,6.93,6.96,6.96,3296500
2009-10-13,6.98,7.11,6.94,7.04,7.04,3711700
2009-10-14,7.14,7.15,6.91,7.01,7.01,9704400
2009-10-15,6.97,7.22,6.64,6.87,6.87,6364500
2009-10-16,6.78,6.85,6.47,6.79,6.79,10216700
2009-10-19,6.82,6.82,6.67,6.72,6.72,7682900
2009-10-20,6.72,6.8,6.44,6.49,6.49,9422000
2009-10-21,6.41,6.54,6.17,6.17,6.17,11528300
2009-10-22,6.2,6.37,6.13,6.34,6.34,7089200
2009-10-23,6.39,6.41,6.07,6.12,6.12,6243400
2009-10-26,6.14,6.31,6.02,6.06,6.06,8486700
2009-10-27,6.05,6.2,5.92,6.11,6.11,9603200
2009-10-28,6.24,6.47,5.89,5.96,5.96,17728400
2009-10-29,6.21,6.44,6.21,6.37,6.37,10326500
