Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,17.35,18.469998999999998,17.35,18.389999,18.389999,5909400
2009-01-05,18.33,18.65,18.1,18.49,18.49,6350800
2009-01-06,18.540001,18.84,18.18,18.77,18.77,11441400
2009-01-07,18.639999,18.83,17.629998999999998,17.82,17.82,10060800
2009-01-08,17.780001000000002,18.280001000000002,17.549999,18.190001000000002,18.190001000000002,9362000
2009-01-09,18.23,18.27,17.129998999999998,17.639999,17.639999,9015400
2009-01-12,17.690001000000002,17.74,16.75,17.07,17.07,5327500
2009-01-13,17.129998999999998,17.5,16.530001000000002,16.889999,16.889999,8527900
2009-01-14,16.58,16.66,16.0,16.1,16.1,8010800
2009-01-15,16.209999,16.559998999999998,15.69,16.35,16.35,13382200
2009-01-16,16.59,16.65,15.9,16.389999,16.389999,8731300
2009-01-20,16.23,16.469998999999998,15.39,15.43,15.43,9352200
2009-01-21,15.84,17.040001,15.79,16.969998999999998,16.969998999999998,16577500
2009-01-22,16.42,17.530001000000002,16.42,17.4,17.4,16773000
2009-01-23,17.139999,17.950001,16.9,17.68,17.68,12690400
2009-01-26,17.74,18.129998999999998,17.35,17.690001000000002,17.690001000000002,9514400
2009-01-27,17.610001,17.93,17.5,17.790001,17.790001,8680100
2009-01-28,18.129998999999998,18.6,18.02,18.34,18.34,11201700
2009-01-29,17.93,17.93,16.73,16.969998999999998,16.969998999999998,20037800
2009-01-30,15.38,15.51,13.75,14.16,14.16,49747900
2009-02-02,13.9,14.66,13.83,14.45,14.45,14489500
2009-02-03,14.59,14.63,14.03,14.31,14.31,16625400
2009-02-04,14.45,14.94,14.25,14.65,14.65,12153700
2009-02-05,14.28,16.440001000000002,14.27,16.0,16.0,31866500
2009-02-06,16.27,16.83,15.9,16.35,16.35,16332400
2009-02-09,15.73,16.129998999999998,15.57,15.88,15.88,14096600
2009-02-10,15.8,16.639999,15.55,15.65,15.65,15524400
2009-02-11,15.79,15.96,15.43,15.55,15.55,8854800
2009-02-12,15.27,15.47,14.98,15.45,15.45,10124300
2009-02-13,15.37,15.66,15.15,15.41,15.41,6532500
2009-02-17,15.0,15.2,14.9,14.9,14.9,8197700
2009-02-18,15.1,15.25,14.6,14.71,14.71,8261700
2009-02-19,15.05,15.08,14.67,14.81,14.81,14044900
2009-02-20,14.72,14.9,14.44,14.68,14.68,10517500
2009-02-23,14.81,14.98,14.32,14.35,14.35,11318600
2009-02-24,14.45,15.24,14.13,14.95,14.95,18735800
2009-02-25,14.74,15.09,14.09,14.71,14.71,14131200
2009-02-26,14.49,15.13,14.15,14.25,14.25,10056200
2009-02-27,14.44,14.65,14.01,14.21,14.21,12327000
2009-03-02,14.19,14.19,13.47,13.49,13.49,11976100
2009-03-03,13.51,13.79,13.2,13.33,13.33,17304800
2009-03-04,13.51,14.05,13.5,13.79,13.79,17145700
2009-03-05,13.62,13.62,13.06,13.43,13.43,17131200
2009-03-06,13.28,13.47,12.43,12.67,12.67,19648300
2009-03-09,12.55,13.43,12.51,12.68,12.68,12222600
2009-03-10,13.16,13.9,13.06,13.76,13.76,17042800
2009-03-11,13.84,14.55,13.56,14.31,14.31,19020600
2009-03-12,14.3,14.78,13.73,14.77,14.77,20492200
2009-03-13,14.77,14.95,14.47,14.74,14.74,14539400
2009-03-16,14.99,15.0,14.6,14.64,14.64,10957700
2009-03-17,14.63,15.39,14.56,15.39,15.39,12377800
2009-03-18,15.15,16.030001000000002,15.1,15.55,15.55,16486300
2009-03-19,15.75,15.97,15.46,15.65,15.65,15941600
2009-03-20,15.41,15.84,14.88,15.09,15.09,19088900
2009-03-23,15.35,16.5,15.31,16.5,16.5,20693800
2009-03-24,16.389999,16.639999,15.93,15.99,15.99,13186700
2009-03-25,16.040001,16.08,15.16,15.65,15.65,16896100
2009-03-26,15.96,16.49,15.82,16.360001,16.360001,18324600
2009-03-27,15.78,16.16,15.52,15.82,15.82,11261500
2009-03-30,15.45,15.47,14.88,15.12,15.12,14737400
2009-03-31,15.32,15.48,14.97,15.05,15.05,21029600
2009-04-01,15.02,15.92,14.75,15.78,15.78,16192900
2009-04-02,15.86,17.27,15.84,16.940001000000002,16.940001000000002,22155200
2009-04-03,17.01,17.190001000000002,16.58,17.030001000000002,17.030001000000002,12687100
2009-04-06,16.360001,16.51,15.89,16.059998999999998,16.059998999999998,19295100
2009-04-07,15.73,16.34,15.6,15.62,15.62,20750000
2009-04-08,17.370001000000002,17.91,16.75,17.51,17.51,30880500
2009-04-09,17.84,18.57,17.73,18.34,18.34,14186000
2009-04-13,18.120001000000002,18.290001,17.799999,18.01,18.01,11225400
2009-04-14,17.790001,18.370001000000002,17.65,18.120001000000002,18.120001000000002,14118100
2009-04-15,17.99,18.66,17.940001000000002,18.370001000000002,18.370001000000002,9119300
2009-04-16,18.57,19.32,18.450001,19.190001000000002,19.190001000000002,13149800
2009-04-17,18.9,18.9,18.23,18.49,18.49,15445500
2009-04-20,18.01,18.139999,17.549999,17.66,17.66,12325600
2009-04-21,17.75,18.370001000000002,17.59,18.309998999999998,18.309998999999998,13422100
2009-04-22,18.15,19.299999,18.0,18.790001,18.790001,14448000
2009-04-23,18.940001000000002,19.35,18.040001,19.26,19.26,20962200
2009-04-24,21.299999,22.43,21.08,22.33,22.33,37061600
2009-04-27,21.709999,22.0,21.299999,21.370001000000002,21.370001000000002,15079300
2009-04-28,20.959999,21.48,20.75,20.879998999999998,20.879998999999998,15168700
2009-04-29,21.1,21.690001000000002,20.690001000000002,21.27,21.27,14338000
2009-04-30,21.43,22.35,21.389999,21.65,21.65,12165800
2009-05-01,21.799999,22.33,21.15,22.16,22.16,10394900
2009-05-04,22.18,22.459999,21.73,22.33,22.33,9541000
2009-05-05,22.43,23.110001,22.299999,23.040001,23.040001,13876400
2009-05-06,23.299999,23.41,22.66,22.99,22.99,18231000
2009-05-07,22.6,22.799999,21.02,21.299999,21.299999,19019500
2009-05-08,21.690001000000002,21.91,21.139999,21.85,21.85,12385300
2009-05-11,21.549999,21.610001,20.950001,21.25,21.25,8810600
2009-05-12,21.299999,21.92,20.98,21.73,21.73,12353400
2009-05-13,21.610001,22.120001000000002,21.120001000000002,21.23,21.23,12701700
2009-05-14,21.32,21.66,21.26,21.540001,21.540001,6248200
2009-05-15,21.309998999999998,21.799999,21.26,21.559998999999998,21.559998999999998,6572200
2009-05-18,21.559998999999998,22.309998999999998,21.370001000000002,22.27,22.27,7339300
2009-05-19,22.1,22.940001000000002,22.040001,22.610001,22.610001,4596000
2009-05-20,22.92,23.52,22.67,22.870001000000002,22.870001000000002,9040200
2009-05-21,23.08,23.84,22.9,23.309998999999998,23.309998999999998,13390400
2009-05-22,23.1,23.5,23.1,23.190001000000002,23.190001000000002,7378000
2009-05-26,22.870001000000002,24.27,22.870001000000002,24.02,24.02,10982500
2009-05-27,24.110001,24.67,23.92,24.139999,24.139999,13783700
2009-05-28,24.25,24.969998999999998,24.23,24.879998999999998,24.879998999999998,11440800
2009-05-29,24.9,25.24,24.379998999999998,24.73,24.73,16601700
2009-06-01,24.66,25.440001000000002,24.4,25.34,25.34,12286700
2009-06-02,24.49,24.76,23.76,23.82,23.82,20225200
2009-06-03,23.49,24.200001,23.4,23.9,23.9,14467600
2009-06-04,23.93,24.35,23.73,24.129998999999998,24.129998999999998,7646100
2009-06-05,24.209999,24.68,24.0,24.1,24.1,8911400
2009-06-08,23.76,23.99,23.18,23.700001,23.700001,10226500
2009-06-09,24.0,24.32,23.790001,24.219998999999998,24.219998999999998,8509100
2009-06-10,24.299999,24.49,23.459999,23.790001,23.790001,11997100
2009-06-11,23.530001000000002,24.190001000000002,23.530001000000002,23.879998999999998,23.879998999999998,9635400
2009-06-12,23.58,23.93,23.43,23.870001000000002,23.870001000000002,6591900
2009-06-15,23.549999,23.790001,23.299999,23.68,23.68,7178900
2009-06-16,23.530001000000002,23.82,23.040001,23.09,23.09,10766600
2009-06-17,22.9,23.17,22.299999,22.870001000000002,22.870001000000002,17801200
2009-06-18,22.870001000000002,23.030001000000002,22.16,22.35,22.35,11966200
2009-06-19,22.49,22.68,22.370001000000002,22.42,22.42,12185400
2009-06-22,22.110001,22.200001,21.469998999999998,21.49,21.49,10382600
2009-06-23,21.379998999999998,22.08,21.23,21.870001000000002,21.870001000000002,15161000
2009-06-24,21.879998999999998,23.09,21.870001000000002,22.67,22.67,19218500
2009-06-25,22.629998999999998,23.200001,22.389999,23.040001,23.040001,11598500
2009-06-26,22.6,23.23,22.6,22.629998999999998,22.629998999999998,10451300
2009-06-29,22.639999,23.790001,22.629998999999998,23.629998999999998,23.629998999999998,15355800
2009-06-30,23.469998999999998,23.93,23.26,23.6,23.6,16162400
2009-07-01,23.85,24.610001,23.799999,24.41,24.41,15701600
2009-07-02,24.049999,24.129998999999998,23.309998999999998,23.549999,23.549999,13207800
2009-07-06,23.440001000000002,23.940001000000002,23.139999,23.68,23.68,14021000
2009-07-07,23.74,24.09,22.91,22.98,22.98,16802800
2009-07-08,23.0,23.4,22.459999,22.98,22.98,14793000
2009-07-09,23.209999,23.51,22.93,23.15,23.15,8863900
2009-07-10,23.280001000000002,23.5,22.799999,23.200001,23.200001,9216800
2009-07-13,23.110001,23.450001,22.85,23.25,23.25,8190100
2009-07-14,23.360001,23.59,23.049999,23.42,23.42,7078700
2009-07-15,23.98,25.23,23.83,25.190001000000002,25.190001000000002,22298200
2009-07-16,25.139999,25.299999,24.780001000000002,25.030001000000002,25.030001000000002,11187700
2009-07-17,25.059998999999998,25.25,24.790001,25.190001000000002,25.190001000000002,9343200
2009-07-20,25.299999,25.780001000000002,25.200001,25.719998999999998,25.719998999999998,9031200
2009-07-21,25.92,26.0,25.280001000000002,25.879998999999998,25.879998999999998,8439800
2009-07-22,25.83,26.02,25.1,25.5,25.5,16589700
2009-07-23,25.35,26.65,25.23,26.549999,26.549999,17498700
2009-07-24,25.48,26.969998999999998,25.0,26.860001,26.860001,20466400
2009-07-27,26.82,26.860001,26.469998999999998,26.639999,26.639999,8216100
2009-07-28,26.41,26.51,25.58,25.969998999999998,25.969998999999998,13601200
2009-07-29,25.799999,25.889999,25.379998999999998,25.700001,25.700001,5326500
2009-07-30,26.0,26.549999,25.83,26.040001,26.040001,6222400
2009-07-31,25.91,26.34,25.780001000000002,26.129998999999998,26.129998999999998,5778300
2009-08-03,26.01,26.4,25.85,26.27,26.27,7539700
2009-08-04,26.01,26.34,25.879998999999998,26.120001000000002,26.120001000000002,6432400
2009-08-05,26.120001000000002,26.23,25.35,25.68,25.68,6469600
2009-08-06,25.85,25.860001,25.01,25.129998999999998,25.129998999999998,7169600
2009-08-07,25.57,25.809998999999998,25.309998999999998,25.4,25.4,4911900
2009-08-10,25.200001,25.530001000000002,24.879998999999998,25.0,25.0,4932100
2009-08-11,24.870001000000002,25.17,24.74,25.030001000000002,25.030001000000002,8005700
2009-08-12,24.99,25.629998999999998,24.889999,25.35,25.35,5749600
2009-08-13,25.26,25.4,24.969998999999998,25.23,25.23,7651500
2009-08-14,24.950001,25.23,24.42,24.620001000000002,24.620001000000002,6539900
2009-08-17,24.1,24.309998999999998,23.459999,23.690001000000002,23.690001000000002,10005500
2009-08-18,23.75,24.09,23.690001000000002,24.02,24.02,7509000
2009-08-19,23.879998999999998,24.059998999999998,23.57,23.68,23.68,8842000
2009-08-20,23.6,24.700001,23.52,24.59,24.59,10753100
2009-08-21,24.91,24.92,24.450001,24.610001,24.610001,9799300
2009-08-24,24.559998999999998,24.65,23.84,23.959999,23.959999,9169300
2009-08-25,24.0,24.120001000000002,23.5,23.629998999999998,23.629998999999998,7677600
2009-08-26,23.620001000000002,23.719998999999998,23.08,23.219998999999998,23.219998999999998,10094100
2009-08-27,23.17,23.719998999999998,22.67,23.690001000000002,23.690001000000002,9992600
2009-08-28,23.969998999999998,24.549999,23.309998999999998,23.58,23.58,7161500
2009-08-31,23.5,23.5,22.98,23.07,23.07,5190400
2009-09-01,23.059998999999998,23.75,22.66,22.690001000000002,22.690001000000002,11164100
2009-09-02,22.65,23.15,22.450001,23.030001000000002,23.030001000000002,8389000
2009-09-03,23.17,23.620001000000002,23.15,23.41,23.41,7180000
2009-09-04,23.5,23.84,23.190001000000002,23.77,23.77,4691100
2009-09-08,23.9,24.5,23.9,24.290001,24.290001,6663300
