Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,8.49,8.93,8.18,8.87,8.87,4548500
2009-01-05,8.64,8.87,8.33,8.48,8.48,5005500
2009-01-06,8.6,8.96,8.41,8.69,8.69,6803900
2009-01-07,8.43,8.52,7.84,7.95,7.95,7882600
2009-01-08,7.9,8.12,7.84,8.03,8.03,4277200
2009-01-09,8.06,8.26,7.52,7.58,7.58,6845000
2009-01-12,7.58,7.73,6.71,6.97,6.97,10309300
2009-01-13,6.93,7.53,6.82,7.4,7.4,9130400
2009-01-14,7.05,7.28,6.8,6.93,6.93,7281900
2009-01-15,6.92,6.92,5.71,6.22,6.22,16782200
2009-01-16,6.7,6.7,5.72,6.31,6.31,12963300
2009-01-20,6.49,6.58,5.81,5.83,5.83,16647600
2009-01-21,6.22,6.72,5.77,6.69,6.69,17947600
2009-01-22,6.51,7.97,6.28,7.04,7.04,22567700
2009-01-23,6.8,7.69,6.5,7.62,7.62,13347700
2009-01-26,7.63,8.0,7.21,7.5,7.5,10631900
2009-01-27,7.72,7.99,7.4,7.87,7.87,9633500
2009-01-28,8.56,8.88,8.25,8.73,8.73,15606300
2009-01-29,8.49,8.57,7.75,7.82,7.82,10453500
2009-01-30,7.65,8.15,7.18,7.28,7.28,9303400
2009-02-02,7.04,7.27,6.82,7.12,7.12,8550400
2009-02-03,7.23,7.24,6.49,6.73,6.73,11389800
2009-02-04,6.82,7.11,6.59,6.93,6.93,12575400
2009-02-05,6.98,7.55,6.25,7.27,7.27,14976100
2009-02-06,7.39,8.74,7.38,8.47,8.47,19724500
2009-02-09,8.56,9.31,8.44,9.03,9.03,12958800
2009-02-10,8.71,9.03,6.57,6.63,6.63,23249800
2009-02-11,6.87,7.34,6.43,7.15,7.15,19228200
2009-02-12,6.8,7.46,6.8,7.42,7.42,13171300
2009-02-13,7.26,7.71,6.9,7.05,7.05,9931600
2009-02-17,6.58,6.71,6.07,6.07,6.07,12573000
2009-02-18,6.39,6.39,5.75,6.18,6.18,10173600
2009-02-19,6.3,6.38,5.34,5.36,5.36,12743600
2009-02-20,5.07,6.29,4.83,6.07,6.07,25181800
2009-02-23,6.21,6.31,5.65,6.14,6.14,17573000
2009-02-24,6.23,7.27,5.9,7.2,7.2,17231000
2009-02-25,6.93,8.15,6.77,7.75,7.75,29416400
2009-02-26,7.95,8.39,7.75,8.05,8.05,20717800
2009-02-27,7.45,7.92,7.0,7.01,7.01,12848100
2009-03-02,6.78,7.17,6.37,6.65,6.65,13241100
2009-03-03,6.95,7.0,6.22,6.46,6.46,10737700
2009-03-04,6.75,6.85,6.01,6.49,6.49,11308500
2009-03-05,6.23,6.32,5.43,5.6,5.6,11406400
2009-03-06,5.71,5.97,5.07,5.36,5.36,13741400
2009-03-09,5.27,6.23,5.26,6.06,6.06,13885400
2009-03-10,6.28,6.91,6.18,6.91,6.91,14617300
2009-03-11,6.98,7.63,6.63,7.03,7.03,12399500
2009-03-12,6.99,8.0,6.86,7.96,7.96,14938300
2009-03-13,8.1,8.19,6.91,7.7,7.7,15166800
2009-03-16,8.03,8.59,7.78,7.89,7.89,18669700
2009-03-17,7.94,8.3,7.52,8.28,8.28,8485200
2009-03-18,8.01,9.2,7.6,8.99,8.99,16273200
2009-03-19,9.1,9.35,8.07,8.19,8.19,14464600
2009-03-20,8.27,8.27,7.45,7.47,7.47,11715400
2009-03-23,8.61,9.17,8.12,9.14,9.14,14552800
2009-03-24,8.56,9.14,8.36,8.6,8.6,11798300
2009-03-25,9.18,9.18,7.85,8.56,8.56,13639100
2009-03-26,8.7,8.83,8.28,8.71,8.71,10194800
2009-03-27,8.45,8.95,8.18,8.32,8.32,8747600
2009-03-30,8.11,8.21,7.2,7.28,7.28,10219300
2009-03-31,7.6,8.06,7.29,7.87,7.87,9482800
2009-04-01,7.54,8.4,7.51,8.35,8.35,12532400
2009-04-02,8.68,8.95,8.35,8.46,8.46,14787500
2009-04-03,8.57,8.57,8.01,8.54,8.54,8853100
2009-04-06,8.38,8.38,7.75,7.94,7.94,10002000
2009-04-07,7.71,7.75,7.43,7.45,7.45,8766900
2009-04-08,7.64,7.64,6.48,6.57,6.57,29760900
2009-04-09,7.5,17.299999,7.26,8.25,8.25,22025300
2009-04-13,8.21,9.27,8.03,9.23,9.23,17944100
2009-04-14,9.01,9.82,8.09,8.2,8.2,20579000
2009-04-15,8.08,8.43,7.74,8.35,8.35,12110600
2009-04-16,8.42,8.94,7.91,8.61,8.61,13755600
2009-04-17,8.55,9.75,8.45,9.05,9.05,17450600
