Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,18.48,19.26,17.629998999999998,18.200001,18.200001,6012500
2009-01-05,18.040001,19.290001,18.01,18.799999,18.799999,7062100
2009-01-06,19.23,20.879998999999998,18.879998999999998,20.450001,20.450001,8402300
2009-01-07,20.139999,20.9,19.4,20.08,20.08,6190000
2009-01-08,19.57,20.15,18.99,19.85,19.85,6925800
2009-01-09,19.719998999999998,19.99,17.75,17.9,17.9,8983900
2009-01-12,18.02,18.02,16.040001,16.360001,16.360001,7530800
2009-01-13,16.059998999999998,17.120001000000002,15.95,16.700001,16.700001,8332200
2009-01-14,16.139999,16.540001,15.41,15.81,15.81,9281100
2009-01-15,15.61,16.92,14.65,16.059998999999998,16.059998999999998,11160900
2009-01-16,16.530001000000002,17.139999,15.7,17.07,17.07,7507700
2009-01-20,16.77,16.77,14.65,14.74,14.74,9629700
2009-01-21,14.89,16.780001000000002,14.11,16.709999,16.709999,9231400
2009-01-22,15.77,16.370001000000002,14.89,15.1,15.1,11079200
2009-01-23,14.57,15.79,14.27,15.61,15.61,5134600
2009-01-26,15.61,16.309998999999998,15.07,15.56,15.56,4866600
2009-01-27,15.87,16.129998999999998,15.29,15.68,15.68,4300600
2009-01-28,16.530001000000002,17.32,16.18,17.24,17.24,8115900
2009-01-29,16.49,16.780001000000002,15.27,15.43,15.43,7687600
2009-01-30,15.86,16.0,14.08,14.38,14.38,7792600
2009-02-02,14.12,14.2,13.18,14.11,14.11,9376500
2009-02-03,14.05,14.22,13.56,13.85,13.85,7993300
2009-02-04,13.94,14.52,13.4,13.45,13.45,7894100
2009-02-05,12.15,13.4,10.85,12.1,12.1,12410500
2009-02-06,12.39,13.64,12.13,13.38,13.38,8674200
2009-02-09,12.96,13.5,12.69,13.45,13.45,5367200
2009-02-10,13.2,13.45,11.37,11.66,11.66,9789700
2009-02-11,11.97,12.23,10.73,11.78,11.78,10036800
2009-02-12,11.61,11.82,10.65,11.7,11.7,10029200
2009-02-13,11.57,11.58,10.37,10.4,10.4,10390800
2009-02-17,10.0,10.34,9.4,9.49,9.49,11063600
2009-02-18,9.72,9.84,9.25,9.79,9.79,8965300
2009-02-19,9.97,10.23,9.06,9.2,9.2,9724000
2009-02-20,8.76,10.02,8.64,10.01,10.01,10953000
2009-02-23,10.13,10.27,8.77,8.79,8.79,10037100
2009-02-24,8.76,9.71,8.6,9.63,9.63,12335700
2009-02-25,9.5,9.89,8.76,9.42,9.42,11065800
2009-02-26,9.47,10.02,8.98,9.05,9.05,8763300
2009-02-27,8.71,9.2,8.71,8.85,8.85,9848600
2009-03-02,8.26,8.72,7.88,8.04,8.04,12016200
2009-03-03,8.09,8.4,7.54,8.06,8.06,9393300
2009-03-04,8.22,8.55,7.89,8.25,8.25,9905900
2009-03-05,7.93,8.03,7.09,7.21,7.21,11619000
2009-03-06,7.29,7.4,6.33,7.01,7.01,14839700
2009-03-09,7.03,7.43,6.64,7.43,7.43,9283300
2009-03-10,7.59,9.05,7.38,9.01,9.01,16258600
2009-03-11,9.02,9.19,8.45,8.6,8.6,11675400
2009-03-12,8.66,9.57,8.26,9.44,9.44,15883900
2009-03-13,9.5,9.56,8.86,9.18,9.18,7353200
2009-03-16,9.6,9.6,7.87,7.91,7.91,10877900
2009-03-17,7.91,8.41,7.27,8.38,8.38,13383100
2009-03-18,8.27,9.26,7.91,9.11,9.11,10995000
2009-03-19,9.34,9.45,8.28,8.39,8.39,10281300
2009-03-20,8.54,8.56,7.08,7.3,7.3,13732500
2009-03-23,7.76,8.75,7.33,8.47,8.47,16513100
2009-03-24,8.28,8.84,7.74,7.94,7.94,10532700
2009-03-25,8.28,8.45,6.93,7.66,7.66,12308400
2009-03-26,7.82,8.18,7.52,8.08,8.08,10978200
2009-03-27,7.91,8.04,7.43,7.65,7.65,7504100
2009-03-30,7.19,7.37,6.96,6.97,6.97,8456200
2009-03-31,6.99,7.94,6.98,7.62,7.62,11896200
2009-04-01,7.64,7.8,7.22,7.22,7.22,9865400
2009-04-02,7.47,7.64,7.03,7.49,7.49,14621300
2009-04-03,8.68,9.45,8.02,9.4,9.4,97657300
2009-04-06,9.06,9.65,8.75,9.33,9.33,23525500
2009-04-07,9.27,9.38,8.52,8.56,8.56,17008600
2009-04-08,8.52,8.99,8.4,8.94,8.94,19263500
2009-04-09,9.16,10.37,8.81,10.28,10.28,21536800
2009-04-13,9.85,10.48,9.7,10.17,10.17,12645700
2009-04-14,10.05,10.53,8.97,9.07,9.07,16371900
2009-04-15,9.38,10.3,9.15,10.21,10.21,16629400
2009-04-16,10.33,11.64,9.7,10.9,10.9,18046400
2009-04-17,10.9,11.67,10.5,11.08,11.08,13676600
2009-04-20,10.81,10.9,9.81,9.9,9.9,14786300
2009-04-21,9.52,11.24,9.28,11.02,11.02,18342300
2009-04-22,10.51,11.12,10.28,10.3,10.3,14355000
2009-04-23,10.45,10.82,10.04,10.77,10.77,11761500
2009-04-24,10.8,12.05,10.55,11.67,11.67,15031800
2009-04-27,11.36,11.56,10.38,10.76,10.76,11731800
2009-04-28,10.49,11.17,10.43,10.8,10.8,9614600
2009-04-29,10.95,11.78,10.81,11.33,11.33,13248000
2009-04-30,11.63,12.36,11.48,12.02,12.02,17683200
2009-05-01,11.95,11.99,10.96,11.15,11.15,11899200
2009-05-04,11.36,12.46,11.35,12.46,12.46,15365600
2009-05-05,12.23,12.35,11.32,11.51,11.51,10868500
2009-05-06,11.81,12.21,11.42,12.09,12.09,12442000
2009-05-07,12.33,12.33,10.73,11.07,11.07,12746500
2009-05-08,11.35,12.28,11.06,12.09,12.09,17454600
2009-05-11,11.53,11.76,11.32,11.4,11.4,11168400
2009-05-12,11.55,11.67,10.85,11.15,11.15,10068300
2009-05-13,10.9,10.9,10.05,10.17,10.17,9882000
2009-05-14,9.99,10.85,9.86,10.67,10.67,11098800
2009-05-15,10.57,10.7,9.86,10.06,10.06,9454300
2009-05-18,10.3,11.5,10.17,11.38,11.38,12496600
2009-05-19,11.21,11.41,10.82,11.05,11.05,9638100
2009-05-20,11.29,11.8,11.12,11.22,11.22,12549300
2009-05-21,11.0,11.5,10.71,11.29,11.29,10621400
2009-05-22,11.33,11.52,10.95,11.0,11.0,7218100
2009-05-26,10.94,12.0,10.75,11.91,11.91,14604300
2009-05-27,11.95,11.95,11.39,11.47,11.47,13394600
2009-05-28,11.65,11.76,11.19,11.57,11.57,10219400
2009-05-29,11.62,11.7,11.17,11.69,11.69,9623900
2009-06-01,11.85,12.77,11.6,12.38,12.38,11742000
2009-06-02,12.14,12.54,12.06,12.16,12.16,9021000
2009-06-03,12.08,12.24,11.94,12.16,12.16,5017200
2009-06-04,12.23,12.7,12.05,12.62,12.62,9994300
2009-06-05,12.76,12.98,12.22,12.4,12.4,7339200
2009-06-08,12.37,12.49,12.04,12.28,12.28,5880700
2009-06-09,12.18,12.33,11.74,11.88,11.88,6557900
2009-06-10,11.99,12.15,11.12,11.44,11.44,9947900
2009-06-11,11.38,11.55,11.0,11.07,11.07,6777100
2009-06-12,11.16,11.42,10.97,11.35,11.35,5985600
2009-06-15,11.26,11.26,10.26,10.39,10.39,9938800
2009-06-16,10.47,10.76,10.15,10.26,10.26,7818100
2009-06-17,10.22,10.37,9.88,9.96,9.96,7171300
2009-06-18,10.08,10.08,9.68,10.0,10.0,6484300
2009-06-19,10.14,10.22,9.96,10.17,10.17,9114800
2009-06-22,9.94,10.02,9.21,9.27,9.27,10426200
2009-06-23,9.33,9.63,9.21,9.44,9.44,7062400
2009-06-24,9.51,9.86,9.34,9.76,9.76,7232400
2009-06-25,9.62,9.96,9.55,9.96,9.96,5744100
2009-06-26,9.93,10.06,9.73,9.97,9.97,7547500
2009-06-29,10.0,10.14,9.65,9.88,9.88,6104000
2009-06-30,9.95,10.06,9.73,10.05,10.05,5220900
2009-07-01,10.11,10.28,9.92,10.2,10.2,4060600
2009-07-02,10.05,10.05,9.34,9.34,9.34,6960900
2009-07-06,9.05,9.72,9.05,9.72,9.72,9126500
2009-07-07,9.78,9.78,9.21,9.26,9.26,8094100
2009-07-08,9.32,9.41,8.58,8.83,8.83,15499500
2009-07-09,9.0,9.06,8.45,8.48,8.48,11605800
2009-07-10,8.45,8.66,8.16,8.61,8.61,8528300
2009-07-13,8.71,8.91,8.44,8.88,8.88,11130600
2009-07-14,8.77,8.91,8.54,8.84,8.84,7877000
2009-07-15,8.95,9.56,8.85,9.35,9.35,11391100
2009-07-16,9.26,9.28,8.96,9.19,9.19,6436200
2009-07-17,9.18,9.19,8.16,8.22,8.22,13245500
2009-07-20,8.28,8.71,8.28,8.65,8.65,10373500
2009-07-21,8.66,8.75,8.37,8.59,8.59,6537300
2009-07-22,8.43,8.84,8.36,8.64,8.64,4659500
2009-07-23,8.82,9.33,8.62,9.15,9.15,12678400
2009-07-24,9.05,9.23,8.7,9.16,9.16,7882900
2009-07-27,9.16,9.51,9.05,9.45,9.45,7435500
2009-07-28,9.35,9.35,9.14,9.19,9.19,5762100
