Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,19.02,20.76,19.0,20.389999,20.389999,1723500
2009-01-05,20.299999,22.07,20.0,21.49,21.49,1955300
2009-01-06,21.700001,23.540001,21.700001,23.01,23.01,2469200
2009-01-07,22.620001000000002,22.66,21.139999,21.4,21.4,1267400
2009-01-08,21.25,21.879998999999998,20.83,21.52,21.52,1602400
2009-01-09,21.540001,21.83,20.41,21.379998999999998,21.379998999999998,1587400
2009-01-12,21.389999,21.389999,19.610001,20.16,20.16,1740100
2009-01-13,19.85,20.57,18.959999,19.26,19.26,1532200
2009-01-14,18.690001000000002,18.92,17.639999,18.129998999999998,18.129998999999998,1571800
2009-01-15,17.940001000000002,18.41,16.85,17.93,17.93,1665800
2009-01-16,18.34,18.68,17.35,17.790001,17.790001,1502900
2009-01-20,17.200001,17.200001,15.56,15.98,15.98,3445600
2009-01-21,16.0,16.809998999999998,15.58,16.48,16.48,2217400
2009-01-22,16.24,17.059998999999998,15.85,16.559998999999998,16.559998999999998,2079500
2009-01-23,16.41,17.379998999999998,15.87,16.9,16.9,1474700
2009-01-26,16.83,17.5,16.0,16.780001000000002,16.780001000000002,1717600
2009-01-27,16.58,17.790001,16.5,17.68,17.68,1539500
2009-01-28,18.059998999999998,18.98,17.9,18.959999,18.959999,1892600
2009-01-29,18.9,18.9,18.08,18.459999,18.459999,1662900
2009-01-30,18.549999,18.84,17.92,18.16,18.16,1588300
2009-02-02,17.870001000000002,18.639999,17.360001,18.51,18.51,1833300
2009-02-03,18.68,20.27,18.58,20.09,20.09,2193200
2009-02-04,20.049999,20.940001000000002,19.440001000000002,19.610001,19.610001,1866800
2009-02-05,19.360001,19.959999,19.07,19.75,19.75,2251500
2009-02-06,20.08,21.67,19.790001,21.459999,21.459999,1612300
2009-02-09,21.389999,21.5,20.66,21.030001000000002,21.030001000000002,1108300
2009-02-10,20.870001000000002,21.280001000000002,19.389999,19.639999,19.639999,1283800
2009-02-11,19.49,20.030001000000002,19.02,19.469998999999998,19.469998999999998,991900
2009-02-12,19.219998999999998,19.68,18.690001000000002,19.620001000000002,19.620001000000002,1773200
2009-02-13,19.59,20.299999,19.5,19.73,19.73,1153600
2009-02-17,18.85,19.219998999999998,18.33,18.77,18.77,1755500
2009-02-18,18.84,19.23,18.379998999999998,19.139999,19.139999,1989400
2009-02-19,19.43,19.690001000000002,18.5,18.700001,18.700001,2036600
2009-02-20,18.549999,19.200001,17.809998999999998,18.799999,18.799999,2549300
2009-02-23,18.73,19.200001,17.370001000000002,17.48,17.48,2523300
2009-02-24,17.73,19.049999,17.5,18.77,18.77,2330300
2009-02-25,18.690001000000002,18.75,17.59,18.23,18.23,2658800
2009-02-26,18.280001000000002,18.620001000000002,17.860001,18.27,18.27,2090200
2009-02-27,17.91,18.34,17.1,17.690001000000002,17.690001000000002,2144400
2009-03-02,17.059998999999998,17.17,15.66,15.92,15.92,3463400
2009-03-03,15.97,16.139999,14.67,14.82,14.82,3613200
2009-03-04,15.04,15.3,14.65,14.91,14.91,3370800
2009-03-05,14.48,14.73,13.15,13.47,13.47,3123200
2009-03-06,13.58,13.99,13.13,13.53,13.53,3067400
2009-03-09,13.3,13.98,13.14,13.41,13.41,1854900
2009-03-10,13.75,14.17,13.57,14.17,14.17,2324800
2009-03-11,14.22,14.27,13.69,13.99,13.99,2479600
2009-03-12,14.01,14.55,13.48,14.45,14.45,2523700
2009-03-13,14.64,14.81,14.21,14.38,14.38,1563100
2009-03-16,14.81,15.59,14.5,14.7,14.7,2938500
2009-03-17,14.64,15.06,14.25,14.92,14.92,2122400
2009-03-18,14.9,15.23,14.41,15.03,15.03,3182200
2009-03-19,15.17,15.22,14.63,14.71,14.71,1945500
2009-03-20,14.77,14.77,13.47,13.52,13.52,2001100
2009-03-23,14.18,14.87,13.91,14.87,14.87,2193000
2009-03-24,14.64,14.64,13.3,13.59,13.59,3084100
2009-03-25,13.77,14.0,12.47,13.06,13.06,2202900
2009-03-26,13.78,14.47,13.51,14.46,14.46,3043300
2009-03-27,14.33,14.38,13.86,13.97,13.97,1533900
2009-03-30,13.5,13.52,12.64,12.76,12.76,1287400
2009-03-31,12.72,13.07,12.5,12.71,12.71,1304300
2009-04-01,12.55,12.71,12.25,12.62,12.62,1740500
2009-04-02,13.01,14.29,12.94,13.8,13.8,2655300
2009-04-03,13.84,14.25,13.84,14.2,14.2,1572200
2009-04-06,14.08,14.09,13.66,14.04,14.04,1413400
2009-04-07,13.75,13.93,13.44,13.52,13.52,1629500
2009-04-08,13.73,14.05,13.43,14.02,14.02,1410400
2009-04-09,14.38,15.48,14.36,15.3,15.3,2114200
2009-04-13,15.08,15.76,14.6,15.48,15.48,1465300
2009-04-14,15.28,15.61,14.9,15.13,15.13,918400
2009-04-15,15.04,16.700001,15.04,16.219998999999998,16.219998999999998,3033700
2009-04-16,16.43,16.73,16.07,16.549999,16.549999,1349400
2009-04-17,16.629998999999998,17.48,16.41,16.85,16.85,1497100
2009-04-20,16.690001000000002,16.690001000000002,15.47,15.49,15.49,1465000
2009-04-21,15.39,16.26,15.32,16.07,16.07,1541300
2009-04-22,15.95,16.52,15.61,15.9,15.9,1843500
2009-04-23,15.91,16.51,15.65,16.25,16.25,1517400
2009-04-24,16.52,16.879998999999998,16.309998999999998,16.700001,16.700001,1515700
2009-04-27,16.27,16.27,15.06,15.31,15.31,2716900
2009-04-28,15.11,15.41,14.78,14.91,14.91,1688000
2009-04-29,15.25,15.45,14.58,14.75,14.75,4599000
2009-04-30,14.98,15.28,14.6,15.25,15.25,3568800
2009-05-01,15.24,15.82,14.71,15.39,15.39,1557100
2009-05-04,15.64,16.85,15.6,16.6,16.6,2335500
2009-05-05,16.65,16.84,15.89,16.26,16.26,1957300
2009-05-06,16.41,16.620001000000002,15.82,16.280001000000002,16.280001000000002,1760800
2009-05-07,16.51,16.9,15.94,16.1,16.1,1903300
2009-05-08,16.389999,17.129998999999998,16.1,17.01,17.01,2331900
2009-05-11,16.59,16.639999,15.66,15.74,15.74,1572500
2009-05-12,15.8,16.110001,15.16,15.57,15.57,1289200
2009-05-13,15.32,15.32,14.3,14.36,14.36,1886800
2009-05-14,14.19,14.88,14.19,14.55,14.55,1835800
2009-05-15,14.44,15.15,14.44,14.79,14.79,1501200
2009-05-18,14.97,15.32,14.57,15.16,15.16,1246600
2009-05-19,15.72,16.85,15.71,16.190001000000002,16.190001000000002,4000600
2009-05-20,16.389999,16.99,16.08,16.110001,16.110001,2066400
2009-05-21,15.92,15.93,15.4,15.66,15.66,2273500
2009-05-22,15.8,16.08,15.5,15.77,15.77,1044800
2009-05-26,15.56,16.540001,15.53,16.33,16.33,1688700
2009-05-27,16.290001,16.5,15.44,15.49,15.49,1843500
2009-05-28,15.72,15.81,15.04,15.65,15.65,1877500
2009-05-29,15.75,16.49,15.67,16.49,16.49,1970200
2009-06-01,16.9,17.18,16.67,16.809998999999998,16.809998999999998,2130200
2009-06-02,16.75,17.08,16.370001000000002,16.559998999999998,16.559998999999998,3260500
2009-06-03,16.34,16.34,15.62,15.88,15.88,1546500
2009-06-04,15.94,16.26,15.66,16.110001,16.110001,2617800
2009-06-05,16.360001,16.450001,15.81,15.97,15.97,1754300
2009-06-08,15.96,16.209999,15.39,15.96,15.96,1779500
2009-06-09,16.110001,16.4,16.0,16.15,16.15,2049000
2009-06-10,16.25,16.42,15.82,16.09,16.09,1655300
2009-06-11,16.15,16.65,16.09,16.6,16.6,2872200
2009-06-12,16.5,17.950001,16.5,17.940001000000002,17.940001000000002,4449300
2009-06-15,17.73,17.73,16.75,16.959999,16.959999,2509200
2009-06-16,17.15,17.98,17.059998999999998,17.5,17.5,3291600
2009-06-17,17.530001000000002,17.530001000000002,16.530001000000002,16.940001000000002,16.940001000000002,2412600
2009-06-18,16.790001,17.040001,16.299999,16.57,16.57,1679000
2009-06-19,16.75,16.959999,16.42,16.6,16.6,1540300
2009-06-22,16.389999,16.450001,15.41,15.44,15.44,2260100
2009-06-23,15.58,15.79,14.84,15.24,15.24,2042800
2009-06-24,15.39,16.299999,15.27,15.77,15.77,2023700
2009-06-25,15.71,16.67,15.7,16.559998999999998,16.559998999999998,1731800
2009-06-26,16.32,16.51,16.15,16.32,16.32,2354500
2009-06-29,16.309998999999998,16.450001,15.94,16.049999,16.049999,1583300
2009-06-30,15.98,16.379998999999998,15.77,16.110001,16.110001,1273400
2009-07-01,16.190001000000002,16.870001000000002,16.190001000000002,16.629998999999998,16.629998999999998,2127100
2009-07-02,16.389999,16.389999,15.83,15.97,15.97,828900
2009-07-06,15.8,15.97,15.2,15.68,15.68,1275200
2009-07-07,15.69,15.73,14.81,14.9,14.9,1522600
2009-07-08,15.0,15.41,14.75,15.14,15.14,2117700
2009-07-09,15.24,15.7,15.08,15.15,15.15,1637400
2009-07-10,14.95,15.58,14.79,15.46,15.46,1162700
2009-07-13,15.44,15.64,14.77,15.63,15.63,1096900
2009-07-14,15.67,16.24,15.63,16.190001000000002,16.190001000000002,1287300
2009-07-15,16.42,17.120001000000002,16.42,16.99,16.99,1584500
