Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,10.14,10.79,10.05,10.73,10.73,3045200
2009-01-05,10.7,11.16,10.4,10.96,10.96,6426100
2009-01-06,11.11,11.2,10.78,10.97,10.97,5706400
2009-01-07,10.79,11.03,10.48,10.7,10.7,6299900
2009-01-08,10.1,10.22,9.64,10.0,10.0,8612600
2009-01-09,9.68,9.76,9.45,9.57,9.57,6930400
2009-01-12,9.77,9.77,8.94,9.04,9.04,3964100
2009-01-13,9.08,9.16,8.57,8.75,8.75,7648400
2009-01-14,8.56,8.67,8.29,8.41,8.41,5255400
2009-01-15,8.36,9.08,8.26,8.63,8.63,7292600
2009-01-16,8.77,9.0,8.54,8.77,8.77,5096500
2009-01-20,8.75,8.83,8.15,8.22,8.22,5786300
2009-01-21,8.42,8.68,8.11,8.59,8.59,4331400
2009-01-22,8.44,8.83,8.23,8.55,8.55,3499200
2009-01-23,8.25,8.77,8.18,8.55,8.55,2820600
2009-01-26,8.54,8.9,8.44,8.62,8.62,4043600
2009-01-27,8.78,8.89,8.51,8.79,8.79,3061900
2009-01-28,9.05,9.36,8.9,9.15,9.15,2885000
2009-01-29,8.92,9.03,8.41,8.44,8.44,3007200
2009-01-30,8.36,8.53,7.8,7.92,7.92,5296100
2009-02-02,7.87,8.21,7.75,7.94,7.94,4902800
2009-02-03,8.1,8.1,7.75,7.98,7.98,4755800
2009-02-04,8.03,8.03,7.75,7.86,7.86,7390200
2009-02-05,8.29,8.61,7.59,8.4,8.4,7281300
2009-02-06,8.49,9.05,8.29,8.85,8.85,6233900
2009-02-09,8.78,8.87,8.56,8.75,8.75,3327000
2009-02-10,8.67,8.83,8.17,8.24,8.24,4054400
2009-02-11,8.31,8.51,8.06,8.32,8.32,4603900
2009-02-12,8.18,8.47,7.92,8.45,8.45,8404000
2009-02-13,8.35,8.53,8.07,8.14,8.14,4210700
2009-02-17,7.8,7.86,7.48,7.7,7.7,6247100
2009-02-18,7.86,7.86,7.46,7.63,7.63,4424400
2009-02-19,7.71,8.0,7.59,7.64,7.64,3455000
2009-02-20,7.5,7.95,7.37,7.84,7.84,5791000
2009-02-23,8.54,8.94,7.93,8.15,8.15,7615200
2009-02-24,8.28,8.89,7.98,8.72,8.72,8624800
2009-02-25,8.6,9.17,8.44,8.92,8.92,8587200
2009-02-26,8.27,8.78,7.59,7.74,7.74,10301300
2009-02-27,7.66,7.97,7.47,7.69,7.69,7616800
2009-03-02,7.62,7.88,7.06,7.1,7.1,6904900
2009-03-03,7.23,7.3,6.4,6.7,6.7,10297700
2009-03-04,6.9,7.19,6.47,7.02,7.02,6527400
2009-03-05,6.63,7.05,6.29,6.4,6.4,6544500
2009-03-06,6.35,6.59,5.98,6.26,6.26,8659800
2009-03-09,6.34,6.6,6.16,6.38,6.38,4618400
2009-03-10,6.54,7.2,6.45,7.16,7.16,5510300
2009-03-11,7.24,7.7,7.13,7.59,7.59,5961200
2009-03-12,7.58,7.87,7.32,7.83,7.83,7240600
2009-03-13,7.9,8.39,7.77,8.23,8.23,5679000
2009-03-16,8.4,8.41,7.96,7.98,7.98,4340000
2009-03-17,7.87,8.38,7.87,8.31,8.31,3830600
2009-03-18,8.39,8.65,8.17,8.55,8.55,7753700
2009-03-19,8.77,8.8,8.34,8.4,8.4,3585900
2009-03-20,8.4,8.58,7.83,8.05,8.05,5056000
2009-03-23,8.25,8.76,8.01,8.76,8.76,3666500
2009-03-24,8.61,9.33,8.46,9.06,9.06,6958500
2009-03-25,9.09,9.58,8.54,8.89,8.89,5997100
2009-03-26,9.02,9.73,9.02,9.6,9.6,5073100
2009-03-27,9.42,9.57,8.97,9.12,9.12,4193100
2009-03-30,8.98,8.98,8.38,8.7,8.7,4330200
2009-03-31,8.72,8.91,8.59,8.7,8.7,5074600
2009-04-01,8.4,9.34,8.34,9.17,9.17,7216800
2009-04-02,9.43,10.1,9.28,9.86,9.86,4883500
2009-04-03,9.9,10.21,9.71,10.19,10.19,3887900
2009-04-06,10.03,10.06,9.48,9.75,9.75,4808100
2009-04-07,9.54,9.74,9.36,9.52,9.52,5580700
2009-04-08,9.58,9.81,9.39,9.59,9.59,5194300
2009-04-09,9.85,10.67,9.71,10.67,10.67,4918800
2009-04-13,9.75,10.43,9.75,10.29,10.29,5134800
2009-04-14,10.22,10.29,9.85,10.04,10.04,3493400
2009-04-15,9.99,10.38,9.81,10.38,10.38,4058100
2009-04-16,10.38,10.89,10.24,10.73,10.73,3943500
2009-04-17,10.57,10.94,10.56,10.82,10.82,3006400
2009-04-20,10.62,10.62,9.86,10.04,10.04,4019200
2009-04-21,10.02,10.79,9.79,10.66,10.66,4295100
2009-04-22,10.01,11.35,9.99,10.73,10.73,5633600
2009-04-23,10.97,10.98,10.12,10.68,10.68,5242400
2009-04-24,10.8,11.26,10.58,11.05,11.05,3554700
2009-04-27,10.87,11.13,10.61,10.79,10.79,2701500
2009-04-28,10.59,11.13,10.51,10.9,10.9,2725900
2009-04-29,10.97,11.65,10.85,11.21,11.21,3984500
2009-04-30,11.12,11.7,11.11,11.42,11.42,3993000
2009-05-01,11.39,11.47,10.9,11.1,11.1,5360100
2009-05-04,11.33,12.25,11.12,12.21,12.21,5159700
2009-05-05,12.17,12.81,11.93,12.7,12.7,5100800
2009-05-06,12.86,13.22,12.49,13.21,13.21,7849600
2009-05-07,13.12,13.29,11.69,12.0,12.0,8095900
2009-05-08,12.24,12.46,11.82,12.38,12.38,6525600
2009-05-11,12.33,12.34,11.42,11.53,11.53,6861600
2009-05-12,11.53,11.86,11.19,11.5,11.5,7694900
2009-05-13,11.28,11.4,10.91,11.07,11.07,6298000
2009-05-14,11.11,11.66,10.68,11.13,11.13,6345000
2009-05-15,10.94,11.67,10.93,11.01,11.01,4901800
2009-05-18,11.12,11.87,11.12,11.83,11.83,3680100
2009-05-19,11.83,12.2,11.68,11.95,11.95,3832800
2009-05-20,12.05,12.58,11.64,11.66,11.66,4740100
2009-05-21,11.51,12.14,11.04,11.76,11.76,6472500
2009-05-22,11.81,12.21,11.55,12.02,12.02,3795900
2009-05-26,11.87,12.6,11.66,12.48,12.48,6323200
