Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,15.29,15.87,15.11,15.68,15.68,2209500
2009-01-05,15.69,15.7,15.18,15.36,15.36,2917800
2009-01-06,15.53,15.69,14.88,15.09,15.09,2655900
2009-01-07,14.84,15.31,14.7,14.97,14.97,1714800
2009-01-08,15.0,15.0,14.52,14.82,14.82,1617700
2009-01-09,14.82,14.82,14.28,14.4,14.4,2497200
2009-01-12,14.35,14.5,14.05,14.27,14.27,2425600
2009-01-13,14.28,14.5,13.97,14.23,14.23,1706600
2009-01-14,14.25,14.25,13.65,13.77,13.77,2736500
2009-01-15,13.77,13.89,13.14,13.61,13.61,3733800
2009-01-16,13.79,13.86,13.3,13.78,13.78,2007200
2009-01-20,13.88,13.94,12.82,12.91,12.91,2492700
2009-01-21,12.95,13.29,12.58,13.25,13.25,3003500
2009-01-22,13.0,13.29,12.75,13.02,13.02,1794000
2009-01-23,12.72,13.28,12.65,13.0,13.0,1597300
2009-01-26,12.98,13.4,12.89,13.15,13.15,1823100
2009-01-27,13.35,13.55,13.06,13.46,13.46,1552300
2009-01-28,13.65,14.12,13.61,13.93,13.93,1510000
2009-01-29,13.83,13.92,13.11,13.17,13.17,1524500
2009-01-30,13.18,13.25,12.39,12.49,12.49,2797700
2009-02-02,12.36,12.59,12.08,12.25,12.25,3573500
2009-02-03,12.13,12.85,12.09,12.71,12.71,3742600
2009-02-04,12.72,12.72,12.29,12.35,12.35,3324200
2009-02-05,12.38,12.94,12.2,12.76,12.76,2888000
2009-02-06,12.91,13.77,12.81,13.55,13.55,3101300
2009-02-09,13.57,13.99,13.25,13.78,13.78,2179100
2009-02-10,13.63,13.86,12.75,12.97,12.97,3062900
2009-02-11,13.12,13.15,12.73,13.0,13.0,2197300
2009-02-12,12.65,12.95,12.42,12.81,12.81,2539300
2009-02-13,12.85,13.03,12.66,12.84,12.84,1750500
2009-02-17,12.51,12.79,12.34,12.57,12.57,2879700
2009-02-18,12.81,12.81,12.35,12.45,12.45,2377600
2009-02-19,12.71,12.88,12.31,12.63,12.63,3766300
2009-02-20,12.37,12.62,11.98,12.26,12.26,3184500
2009-02-23,12.36,12.51,11.7,11.75,11.75,2548200
2009-02-24,11.94,12.39,11.69,12.24,12.24,2531000
2009-02-25,12.16,12.31,11.69,12.0,12.0,2044500
2009-02-26,12.15,12.38,11.71,11.77,11.77,1910400
2009-02-27,11.66,11.84,11.42,11.43,11.43,2629200
2009-03-02,11.2,11.37,10.71,10.78,10.78,3111100
2009-03-03,11.01,11.09,10.67,10.7,10.7,2458800
2009-03-04,10.93,11.18,10.7,10.99,10.99,1689900
2009-03-05,10.9,10.95,10.51,10.6,10.6,2388600
2009-03-06,10.67,10.8,10.03,10.31,10.31,2197100
2009-03-09,10.21,10.46,10.1,10.21,10.21,2022000
2009-03-10,10.35,11.18,10.31,11.14,11.14,2193000
2009-03-11,11.07,11.26,10.88,11.15,11.15,1756800
2009-03-12,11.11,11.9,10.84,11.85,11.85,1752700
2009-03-13,12.04,12.09,11.67,11.98,11.98,1736000
2009-03-16,12.23,12.32,11.91,11.93,11.93,1816600
2009-03-17,11.92,12.14,11.72,11.94,11.94,2463700
2009-03-18,11.84,12.68,11.63,12.39,12.39,3475400
2009-03-19,12.39,12.67,12.22,12.37,12.37,1974400
2009-03-20,12.41,12.52,11.83,11.94,11.94,1861400
2009-03-23,12.21,13.25,12.03,13.23,13.23,2495200
2009-03-24,12.89,13.39,12.89,13.1,13.1,1808800
2009-03-25,13.1,13.99,12.99,13.51,13.51,2399600
2009-03-26,13.5,14.22,13.38,14.04,14.04,2782700
2009-03-27,14.0,14.07,13.62,13.78,13.78,1235100
2009-03-30,13.52,13.56,12.64,12.81,12.81,1986400
2009-03-31,12.9,13.25,12.54,12.99,12.99,1512500
2009-04-01,12.87,13.3,12.58,13.29,13.29,2182300
2009-04-02,13.64,14.33,13.47,14.0,14.0,1815000
2009-04-03,14.04,14.33,13.84,14.3,14.3,1128200
