Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,14.64,14.915,14.425,29.690001000000002,14.845,778600
2009-01-05,14.83,14.945,14.305,29.049999,14.525,2366200
2009-01-06,14.55,14.65,13.975,28.379998999999998,14.19,1871000
2009-01-07,14.055,14.21,14.005,28.17,14.085,1065800
2009-01-08,14.11,14.365,13.955,28.34,14.17,1799600
2009-01-09,14.215,14.32,13.9,28.030001000000002,14.015,1089400
2009-01-12,13.985,14.345,13.97,28.52,14.26,1172800
2009-01-13,14.295,14.295,13.92,28.09,14.045,1481200
2009-01-14,13.9,13.96,13.535,27.440001000000002,13.72,1537000
2009-01-15,13.75,13.75,13.35,27.41,13.705,1294800
2009-01-16,13.86,14.07,13.695,27.870001000000002,13.935,1510800
2009-01-20,13.92,14.125,13.6,27.27,13.635,1082200
2009-01-21,13.73,13.875,13.33,27.690001000000002,13.845,1682000
2009-01-22,13.51,13.915,13.51,27.709999,13.855,1481600
2009-01-23,13.51,13.97,13.51,27.780001000000002,13.89,1033400
2009-01-26,13.955,14.455,13.925,28.629998999999998,14.315,1317000
2009-01-27,14.375,14.77,14.3,29.35,14.675,2032200
2009-01-28,14.805,14.98,14.555,29.42,14.71,1762000
2009-01-29,14.56,14.945,14.465,29.290001,14.645,1317800
2009-01-30,14.7,14.86,14.325,28.83,14.415,1524600
2009-02-02,14.28,14.63,14.17,29.139999,14.57,1061800
2009-02-03,14.62,14.85,14.445,29.450001,14.725,1512400
2009-02-04,14.845,15.25,14.66,29.5,14.75,5139800
2009-02-05,14.625,15.225,14.445,29.73,14.865,4599000
2009-02-06,14.83,14.845,14.01,29.09,14.545,4127800
2009-02-09,14.55,14.55,14.17,28.85,14.425,3011800
2009-02-10,14.22,14.345,13.63,27.459999,13.73,3019400
2009-02-11,13.765,13.95,13.535,27.709999,13.855,2983200
2009-02-12,13.685,13.8,13.32,27.290001,13.645,2308000
2009-02-13,13.725,13.815,13.53,27.27,13.635,2303200
2009-02-17,13.425,13.44,12.92,25.870001000000002,12.935,2861200
2009-02-18,13.02,13.02,12.45,25.24,12.62,3778400
2009-02-19,12.82,12.82,12.5,25.1,12.55,2573800
2009-02-20,12.395,12.425,11.935,24.200001,12.1,2042800
2009-02-23,12.285,12.29,11.51,23.049999,11.525,2839400
2009-02-24,11.58,11.755,11.465,23.23,11.615,2726600
2009-02-25,11.59,11.89,11.445,23.6,11.8,3002800
2009-02-26,11.815,11.95,11.72,23.5,11.75,2980800
2009-02-27,11.52,11.76,11.26,23.129998999999998,11.565,2689000
2009-03-02,11.41,11.605,11.135,22.290001,11.145,2272800
2009-03-03,11.245,11.25,10.66,21.32,10.66,2482000
2009-03-04,10.855,11.02,10.545,21.709999,10.855,1606000
2009-03-05,10.6,10.695,10.215,20.559998999999998,10.28,2339600
2009-03-06,10.33,10.715,10.215,20.940001000000002,10.47,2512000
2009-03-09,10.36,10.535,10.155,20.459999,10.23,2685400
2009-03-10,10.395,10.56,10.335,20.93,10.465,2649000
2009-03-11,10.525,10.71,10.485,21.25,10.625,2268200
2009-03-12,10.54,10.84,10.52,21.41,10.705,2599600
2009-03-13,10.74,10.925,10.725,21.65,10.825,2208600
2009-03-16,10.92,11.325,10.88,22.17,11.085,4185000
2009-03-17,11.17,11.375,10.985,22.75,11.375,2142800
2009-03-18,11.32,11.885,11.205,23.58,11.79,2450200
2009-03-19,11.81,11.96,11.61,23.620001000000002,11.81,1713600
2009-03-20,11.775,11.915,11.595,23.24,11.62,2213600
2009-03-23,11.81,12.245,11.7,24.450001,12.225,1981200
2009-03-24,12.07,12.31,11.965,24.32,12.16,2313000
2009-03-25,12.21,12.425,11.91,24.26,12.13,1620800
2009-03-26,12.2,12.46,12.09,24.860001,12.43,1799800
2009-03-27,12.335,12.37,12.185,24.52,12.26,1369200
2009-03-30,11.98,12.15,11.885,24.07,12.035,1193600
2009-03-31,12.1,12.59,12.1,24.690001000000002,12.345,2119000
2009-04-01,12.185,12.41,12.12,24.68,12.34,1347800
2009-04-02,12.53,12.605,12.235,24.74,12.37,1446800
2009-04-03,12.405,12.475,12.205,24.690001000000002,12.345,1335200
2009-04-06,12.3,12.625,12.205,24.59,12.295,1428200
2009-04-07,12.19,12.45,12.115,24.370001000000002,12.185,1493000
2009-04-08,12.255,12.4,12.25,24.799999,12.4,1860800
2009-04-09,12.625,12.7,12.405,25.09,12.545,1981400
2009-04-13,12.48,12.525,12.215,24.52,12.26,1575200
2009-04-14,12.16,12.23,12.015,24.120001000000002,12.06,1124200
2009-04-15,12.055,12.215,11.905,24.07,12.035,1965400
2009-04-16,12.145,12.28,12.015,24.15,12.075,1869400
2009-04-17,12.12,12.225,12.08,24.280001000000002,12.14,1726600
2009-04-20,11.995,12.11,11.89,23.84,11.92,1560200
2009-04-21,12.005,12.01,11.665,23.41,11.705,2039200
2009-04-22,11.615,11.66,11.51,23.030001000000002,11.515,2022000
2009-04-23,11.58,11.645,11.45,23.030001000000002,11.515,1758600
2009-04-24,11.605,11.665,11.45,23.110001,11.555,1292600
2009-04-27,11.43,11.81,11.39,23.25,11.625,1459400
2009-04-28,11.405,11.785,11.31,22.68,11.34,2253600
2009-04-29,11.44,11.44,11.215,22.459999,11.23,2597200
