Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,0.69,0.73,0.69,0.048,0.72,4098100
2009-01-05,0.72,0.83,0.7,0.05533300000000001,0.83,9316200
2009-01-06,0.85,0.95,0.84,0.061333000000000006,0.92,16324600
2009-01-07,0.9,1.02,0.89,0.064,0.96,19087600
2009-01-08,0.98,1.42,0.94,0.088,1.32,53600900
2009-01-09,1.17,1.65,1.13,0.099333,1.49,60575900
2009-01-12,1.45,1.53,1.13,0.080667,1.21,27675100
2009-01-13,1.16,1.27,1.15,0.082,1.23,11385800
2009-01-14,1.18,1.24,1.02,0.072,1.08,16706900
2009-01-15,1.05,1.19,1.01,0.076,1.14,11100200
2009-01-16,1.21,1.22,1.11,0.078667,1.18,6270400
2009-01-20,1.16,1.18,1.07,0.072,1.08,9179800
2009-01-21,1.1,1.17,1.06,0.072,1.08,13196800
2009-01-22,1.06,1.07,1.0,0.069333,1.04,6962900
2009-01-23,1.0,1.07,0.99,0.07,1.05,5003100
2009-01-26,1.07,1.19,1.06,0.076,1.14,8744800
2009-01-27,1.14,1.16,1.08,0.074667,1.12,4821100
2009-01-28,1.14,1.17,1.13,0.077333,1.16,4683900
2009-01-29,1.13,1.18,1.1,0.078667,1.18,6451600
2009-01-30,1.17,1.17,1.0,0.06666699999999999,1.0,12586700
2009-02-02,1.01,1.03,0.97,0.065333,0.98,5891600
2009-02-03,1.0,1.02,0.96,0.06666699999999999,1.0,4682300
2009-02-04,1.0,1.03,0.95,0.064,0.96,6372500
2009-02-05,0.98,0.98,0.9,0.061333000000000006,0.92,5081200
2009-02-06,0.92,0.99,0.92,0.066,0.99,4132700
2009-02-09,0.98,1.0,0.94,0.064667,0.97,4591000
2009-02-10,1.0,1.03,0.99,0.06666699999999999,1.0,8015400
2009-02-11,1.09,1.2,0.82,0.056666999999999995,0.85,40279100
2009-02-12,0.83,0.97,0.75,0.060667,0.91,14724100
2009-02-13,0.92,0.96,0.87,0.06,0.9,5733600
2009-02-17,0.94,0.94,0.85,0.060667,0.91,5050800
2009-02-18,0.96,0.96,0.8,0.053333000000000005,0.8,11419500
2009-02-19,0.82,0.85,0.71,0.049333,0.74,8172600
2009-02-20,0.72,0.74,0.68,0.048667,0.73,8205500
2009-02-23,0.75,0.77,0.68,0.045333,0.68,5406200
2009-02-24,0.7,0.76,0.66,0.048667,0.73,6294700
2009-02-25,0.74,0.75,0.69,0.047333,0.71,3820600
2009-02-26,0.71,0.75,0.7,0.05,0.75,3049200
2009-02-27,0.75,0.8,0.69,0.053333000000000005,0.8,5753100
2009-03-02,0.76,0.77,0.69,0.05,0.75,4882800
2009-03-03,0.73,0.75,0.69,0.047333,0.71,3661300
