Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,14.41,15.07,14.273,149.779999,14.978,22311000
2009-01-05,14.955,15.684,14.903,153.26001000000002,15.326,24719000
2009-01-06,15.626,16.5,15.529,162.01998899999998,16.202,43357000
2009-01-07,15.81,16.061001,14.911,152.06999199999998,15.207,39537000
2009-01-08,15.096,15.296,14.836,152.779999,15.278,22841000
2009-01-09,15.35,15.365,14.729,150.03999299999998,15.004,20036000
2009-01-12,14.773,15.162,14.589,148.03999299999998,14.804,20687000
2009-01-13,14.638,15.131,14.55,150.440002,15.044,19307000
2009-01-14,14.757,14.85,13.907,145.300003,14.53,48442000
2009-01-15,14.402,14.475,12.856,130.300003,13.03,80426000
2009-01-16,12.995,13.1,12.016,128.220001,12.822,71298000
2009-01-20,12.619,12.74,11.706,119.18,11.918,55609000
2009-01-21,12.1,13.238,12.1,132.100006,13.21,53002000
2009-01-22,12.804,13.15,12.543,128.850006,12.885,22486000
2009-01-23,12.189,12.755,12.014,125.449997,12.545,34383000
2009-01-26,12.444,12.867,12.156,123.120003,12.312,23856000
2009-01-27,12.601,12.949,12.546,126.75999499999999,12.676,21768000
2009-01-28,13.256,13.505,13.133,133.66000400000001,13.366,27342000
2009-01-29,13.078,13.213,12.85,129.08999599999999,12.909,17777000
2009-01-30,13.236,13.955,13.213,135.779999,13.578,37337000
2009-02-02,13.361,13.857,13.027,136.979996,13.698,19962000
2009-02-03,13.801,14.166,13.66,139.699997,13.97,28901000
2009-02-04,14.149,14.348,13.9,140.150009,14.015,29432000
2009-02-05,14.719,16.039,14.573,159.83999599999999,15.984,94885000
2009-02-06,16.056,16.462999,15.657,162.5,16.25,64285000
2009-02-09,16.224001,16.326,15.75,162.01998899999998,16.202,33238000
2009-02-10,16.15,16.577,15.715,157.970001,15.797,27107000
2009-02-11,15.999,16.4,15.673,163.98001100000002,16.398001,27056000
2009-02-12,16.122,16.215,15.515,161.800003,16.18,39540000
2009-02-13,16.349001,16.888,16.186001,161.900009,16.190001000000002,44516000
2009-02-17,15.8,15.946,15.266,155.08999599999999,15.509,46498000
2009-02-18,15.704,16.049999,15.37,159.040009,15.904,31373000
2009-02-19,16.075001,16.200001,15.423,154.550003,15.455,29852000
2009-02-20,15.136,15.938,15.043,158.009995,15.801,33074000
2009-02-23,16.049999,16.240999,15.122,152.580002,15.258,29356000
2009-02-24,15.3,16.174999,15.143,161.270004,16.127001,45905000
2009-02-25,15.975,16.596001,15.743,162.570007,16.257,52819000
2009-02-26,16.450001,16.450001,15.5,155.699997,15.57,46944000
2009-02-27,15.238,16.253,15.176,158.029999,15.803,45445000
2009-03-02,15.477,15.87,14.91,150.630005,15.063,41411000
2009-03-03,15.28,15.497,14.779,151.009995,15.101,37274000
2009-03-04,15.41,15.58,14.64,150.48001100000002,15.048,39553000
2009-03-05,14.777,15.414,14.518,146.919998,14.692,38804000
2009-03-06,14.8,14.829,13.916,142.440002,14.244,37595000
2009-03-09,14.025,14.6,13.956,142.440002,14.244,22719000
2009-03-10,14.41,14.904,14.351,148.479996,14.848,39087000
2009-03-11,15.023,15.023,14.282,147.83999599999999,14.784,24505000
2009-03-12,14.791,15.796,14.543,157.06999199999998,15.707,33673000
2009-03-13,15.8,16.023001,15.45,158.309998,15.831,29335000
2009-03-16,16.0,16.181998999999998,15.332,153.690002,15.369,22055000
2009-03-17,15.339,16.247,15.251,162.380005,16.238001,29737000
2009-03-18,15.998,16.117001000000002,15.759,159.75,15.975,28081000
2009-03-19,16.347,16.528,15.329,154.100006,15.41,33658000
2009-03-20,15.531,15.699,15.284,155.529999,15.553,24708000
2009-03-23,15.85,16.294001,15.571,162.889999,16.289,23535000
2009-03-24,16.014,16.759001,15.911,162.880005,16.288,31564000
2009-03-25,16.183001,16.5,15.981,164.529999,16.452999,31788000
2009-03-26,16.695,17.141001,16.493,169.880005,16.988001,36507000
2009-03-27,16.539,16.988001,16.457001,167.470001,16.747,18360000
2009-03-30,16.434,16.719,16.207001,163.050003,16.305,22330000
2009-03-31,16.4,16.836,16.305,167.479996,16.747999,31897000
2009-04-01,16.339001,16.375,15.715,160.07998700000002,16.007998999999998,50889000
2009-04-02,16.299999,16.756001,16.211,165.66000400000001,16.566,39610000
2009-04-03,16.5,17.405001000000002,16.4,174.050003,17.405001000000002,36303000
2009-04-06,17.16,17.745001000000002,16.827,171.529999,17.153,43605000
2009-04-07,16.958,17.098,16.576,165.76001000000002,16.576,26152000
2009-04-08,16.795,16.795,16.379998999999998,167.330002,16.733,17512000
2009-04-09,17.087999,17.261,16.778999,172.46000700000002,17.246,27688000
2009-04-13,17.01,17.662001,16.896,176.060013,17.606001000000003,26997000
2009-04-14,17.5,17.5,16.6,166.100006,16.610001,33818000
2009-04-15,16.719,16.719998999999998,16.098,165.459991,16.546,34967000
