Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,18.219998999999998,19.25,18.190001000000002,18.41,18.41,2408500
2009-01-05,18.18,20.02,17.860001,18.290001,18.290001,3190800
2009-01-06,18.43,20.450001,18.43,19.85,19.85,4154600
2009-01-07,19.629998999999998,20.209999,18.59,19.02,19.02,2073400
2009-01-08,18.969998999999998,19.35,18.18,19.0,19.0,2320800
2009-01-09,18.98,18.98,17.01,17.26,17.26,2970900
2009-01-12,16.91,17.059998999999998,14.82,15.16,15.16,3333200
2009-01-13,15.9,16.52,15.59,16.370001000000002,16.370001000000002,3624500
2009-01-14,15.56,15.77,14.43,14.8,14.8,3701300
2009-01-15,14.84,15.45,13.48,15.24,15.24,3754100
2009-01-16,15.73,16.959999,15.12,16.77,16.77,3282200
2009-01-20,16.450001,16.559998999999998,14.4,14.54,14.54,4328400
2009-01-21,14.83,16.9,14.71,16.790001,16.790001,3724100
2009-01-22,16.700001,17.200001,15.56,15.91,15.91,4424200
2009-01-23,15.34,16.459999,14.99,16.07,16.07,2329300
2009-01-26,15.98,16.9,15.52,16.07,16.07,2020200
2009-01-27,16.33,16.790001,15.49,16.129998999999998,16.129998999999998,1509100
2009-01-28,16.549999,18.25,16.549999,18.030001000000002,18.030001000000002,2993600
2009-01-29,17.66,17.889999,15.7,15.85,15.85,2872900
2009-01-30,15.98,16.799999,14.39,14.74,14.74,4796400
2009-02-02,14.59,14.87,13.78,14.6,14.6,2911300
2009-02-03,14.71,15.5,13.8,14.11,14.11,2994100
2009-02-04,14.12,14.67,13.67,13.86,13.86,2977400
2009-02-05,13.6,14.79,13.39,13.99,13.99,2830700
2009-02-06,14.04,15.7,13.85,15.09,15.09,4711900
2009-02-09,15.19,16.620001000000002,15.09,16.43,16.43,3019300
2009-02-10,16.24,17.139999,15.35,15.49,15.49,4568200
2009-02-11,16.16,16.879998999999998,14.32,15.42,15.42,5644800
2009-02-12,14.94,15.39,13.56,14.88,14.88,4759800
2009-02-13,14.19,14.71,13.51,13.54,13.54,3011800
2009-02-17,13.42,13.42,12.01,12.06,12.06,3767600
2009-02-18,11.76,11.8,10.5,10.79,10.79,3368600
2009-02-19,11.02,11.69,10.59,10.77,10.77,3405800
2009-02-20,9.9,11.62,9.9,11.2,11.2,4171000
2009-02-23,11.39,11.77,10.16,10.26,10.26,3159700
2009-02-24,10.39,11.36,9.91,11.16,11.16,3472400
2009-02-25,11.59,12.51,10.79,12.0,12.0,4037800
2009-02-26,12.68,12.68,11.48,11.54,11.54,2836700
2009-02-27,11.15,11.98,10.97,11.42,11.42,2444600
2009-03-02,11.2,11.31,8.91,9.3,9.3,3436400
2009-03-03,9.6,10.28,8.7,8.93,8.93,3539300
2009-03-04,9.21,9.98,8.8,9.46,9.46,3147400
2009-03-05,8.91,9.38,7.9,8.12,8.12,4099700
2009-03-06,8.18,8.45,6.0,7.17,7.17,6223600
2009-03-09,7.1,7.35,6.75,7.27,7.27,3714700
2009-03-10,7.77,9.94,7.41,9.58,9.58,5301800
2009-03-11,9.65,9.71,8.56,8.8,8.8,4035600
2009-03-12,8.81,9.46,8.27,9.3,9.3,4652200
2009-03-13,9.58,9.83,8.28,8.54,8.54,2673600
2009-03-16,8.74,8.74,7.63,7.67,7.67,3358800
2009-03-17,7.68,8.61,7.3,8.6,8.6,3041200
2009-03-18,8.56,9.18,7.8,9.01,9.01,4202200
2009-03-19,9.27,9.41,8.17,8.27,8.27,3891600
2009-03-20,8.16,8.17,6.19,6.19,6.19,6014100
2009-03-23,6.8,7.61,6.55,7.33,7.33,7151600
2009-03-24,7.2,7.72,6.76,6.93,6.93,4719700
2009-03-25,7.38,7.44,5.8,6.38,6.38,6125300
2009-03-26,6.93,6.94,5.98,6.29,6.29,6694300
2009-03-27,6.05,6.18,5.64,5.8,5.8,5762500
2009-03-30,5.89,6.3,5.45,5.82,5.82,5382700
2009-03-31,5.92,6.49,5.87,6.26,6.26,6065900
2009-04-01,5.95,7.55,5.95,7.31,7.31,7519600
2009-04-02,7.77,8.75,7.64,8.04,8.04,7016700
2009-04-03,8.11,11.02,8.05,9.84,9.84,10764300
2009-04-06,9.9,10.3,8.88,9.8,9.8,4370500
2009-04-07,9.53,9.78,8.95,8.95,8.95,3322000
2009-04-08,9.12,10.07,8.98,9.75,9.75,4036600
2009-04-09,10.23,12.38,10.16,12.08,12.08,6010200
2009-04-13,11.53,13.5,11.2,13.2,13.2,4251500
2009-04-14,13.0,14.19,11.56,11.9,11.9,7006600
2009-04-15,11.89,13.1,11.08,13.1,13.1,5085700
2009-04-16,13.1,14.9,11.86,13.69,13.69,6883900
2009-04-17,13.69,16.809998999999998,13.19,15.36,15.36,6638000
2009-04-20,14.94,14.94,11.89,12.38,12.38,5949600
2009-04-21,11.87,14.64,11.51,14.55,14.55,5978400
2009-04-22,14.42,16.49,13.84,15.08,15.08,4891500
2009-04-23,15.18,15.77,14.44,15.59,15.59,3973300
2009-04-24,15.87,16.57,15.18,16.280001000000002,16.280001000000002,4733200
2009-04-27,16.18,16.18,14.31,14.69,14.69,3426800
2009-04-28,14.52,15.94,14.35,15.17,15.17,3542600
2009-04-29,15.77,16.9,15.21,16.68,16.68,3432600
2009-04-30,17.49,18.18,16.790001,17.530001000000002,17.530001000000002,3327000
2009-05-01,17.51,17.83,16.309998999999998,16.67,16.67,3849500
2009-05-04,17.0,19.17,16.450001,19.17,19.17,5997500
2009-05-05,19.25,19.549999,16.18,16.950001,16.950001,5456400
2009-05-06,17.35,18.75,16.02,18.67,18.67,5906000
2009-05-07,18.959999,19.25,16.639999,17.82,17.82,5817000
2009-05-08,18.59,19.690001000000002,17.389999,19.299999,19.299999,3736000
2009-05-11,18.549999,20.4,18.299999,19.65,19.65,3686200
2009-05-12,19.940001000000002,20.66,18.1,19.120001000000002,19.120001000000002,3956400
2009-05-13,17.99,18.1,15.59,16.049999,16.049999,5086000
2009-05-14,15.99,16.700001,15.11,15.95,15.95,3911600
2009-05-15,16.18,16.26,14.88,15.02,15.02,2862900
2009-05-18,15.82,17.549999,15.59,17.25,17.25,4473200
2009-05-19,16.73,17.74,16.299999,17.07,17.07,3050200
2009-05-20,17.34,18.49,17.200001,17.440001000000002,17.440001000000002,3257000
2009-05-21,17.24,17.25,16.17,16.85,16.85,2815500
2009-05-22,16.940001000000002,17.18,15.88,15.96,15.96,1807000
2009-05-26,15.86,17.42,15.51,16.82,16.82,3356700
2009-05-27,16.9,17.07,15.9,16.120001000000002,16.120001000000002,3073700
2009-05-28,16.5,16.93,15.79,16.82,16.82,2471900
2009-05-29,17.0,17.059998999999998,16.200001,16.879998999999998,16.879998999999998,3804200
2009-06-01,17.290001,18.610001,17.01,17.799999,17.799999,4020600
2009-06-02,17.809998999999998,18.16,17.08,17.360001,17.360001,2798200
2009-06-03,17.129998999999998,17.98,16.75,17.84,17.84,2938100
2009-06-04,18.049999,21.780001000000002,18.0,21.17,21.17,8431200
2009-06-05,21.33,21.809998999999998,20.559998999999998,20.709999,20.709999,3478200
2009-06-08,20.34,21.120001000000002,20.040001,20.73,20.73,2473000
2009-06-09,20.77,20.98,20.42,20.530001000000002,20.530001000000002,1760200
2009-06-10,20.790001,21.57,19.66,20.219998999999998,20.219998999999998,3038800
2009-06-11,20.379998999999998,20.610001,19.389999,19.639999,19.639999,1879200
2009-06-12,19.57,19.860001,19.32,19.620001000000002,19.620001000000002,2696300
2009-06-15,19.200001,19.290001,17.959999,18.129998999999998,18.129998999999998,2985400
2009-06-16,18.219998999999998,18.91,17.799999,17.950001,17.950001,2318000
