Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,12.7375,13.4,12.5775,53.060001,13.265,12028800
2009-01-05,13.155,13.4425,13.075,53.439999,13.36,12913200
2009-01-06,13.45,13.5,12.95,52.360001000000004,13.09,15290400
2009-01-07,12.9025,13.0,12.575,50.459998999999996,12.615,20164400
2009-01-08,12.5725,12.85,12.43,51.389998999999996,12.8475,15730000
2009-01-09,12.8625,12.945,12.3425,49.610001000000004,12.4025,13246400
2009-01-12,12.35,12.6175,12.24,50.119999,12.53,13730400
2009-01-13,12.4525,12.7375,12.2775,49.5,12.375,15579200
2009-01-14,12.055,12.115,11.5425,46.650002,11.6625,27404000
2009-01-15,11.6625,11.8425,11.43,46.959998999999996,11.74,16433600
2009-01-16,11.845,11.85,11.4675,46.799999,11.7,14116800
2009-01-20,11.5325,11.735,11.0,44.139998999999996,11.035,14745600
2009-01-21,11.1725,11.435,10.885,45.66,11.415,13943600
2009-01-22,11.2575,11.715,11.045,45.630001,11.4075,14369600
2009-01-23,11.1925,11.5675,11.01,45.68,11.42,11378800
2009-01-26,11.4475,11.77,11.25,45.669998,11.4175,8005200
2009-01-27,11.48,11.54,11.2125,45.509997999999996,11.3775,9689200
2009-01-28,11.58,12.0875,11.575,47.599998,11.9,11910800
2009-01-29,11.7825,11.92,11.455,45.990002000000004,11.4975,8737600
2009-01-30,11.5725,11.6225,11.235,45.25,11.3125,10670000
2009-02-02,11.1425,11.325,10.955,44.43,11.1075,10016400
2009-02-03,11.17,11.6225,11.0275,46.299999,11.575,11098400
2009-02-04,11.605,11.6075,11.315,45.779999,11.445,15054800
2009-02-05,11.445,11.8575,11.3325,47.200001,11.8,14454000
2009-02-06,11.83,12.28,11.7,48.68,12.17,13866800
2009-02-09,12.185,12.185,11.785,47.77,11.9425,11381200
2009-02-10,11.8175,11.9425,11.19,45.049999,11.2625,18016400
2009-02-11,11.345,11.3475,10.8425,44.310001,11.0775,23980000
2009-02-12,10.9225,11.1525,10.735,44.459998999999996,11.115,14872800
2009-02-13,11.0575,11.2575,10.8025,43.43,10.8575,12082400
2009-02-17,10.68,10.68,10.3425,41.939999,10.485,22278000
2009-02-18,10.58,10.985,10.4875,43.52,10.88,23450400
2009-02-19,10.985,11.095,10.585,42.810001,10.7025,13044400
2009-02-20,10.58,10.84,10.48,42.93,10.7325,12084000
2009-02-23,10.8625,10.975,10.3525,41.610001000000004,10.4025,12916800
2009-02-24,10.41,10.78,10.1225,42.939999,10.735,13858000
2009-02-25,10.66,10.79,10.39,42.150002,10.5375,15884800
2009-02-26,10.625,10.6325,10.25,41.029999,10.2575,12648800
2009-02-27,10.0575,10.545,10.02,41.529999,10.3825,18738400
2009-03-02,10.2075,10.3225,9.9075,39.759997999999996,9.94,17423200
2009-03-03,10.0925,10.3125,10.005,40.049999,10.0125,17107600
2009-03-04,10.185,10.83,10.185,42.549999,10.6375,16695200
2009-03-05,10.3425,10.485,9.86,39.939999,9.985,23676800
2009-03-06,10.0625,10.2275,9.75,39.939999,9.985,23967200
2009-03-09,9.8375,10.02,9.56,38.57,9.6425,20695200
2009-03-10,9.7425,10.5,9.7425,41.610001000000004,10.4025,22955600
2009-03-11,10.495,10.985,10.4375,43.43,10.8575,19248000
2009-03-12,10.8575,11.21,10.6025,44.59,11.1475,18112400
2009-03-13,11.19,11.205,10.8175,44.669998,11.1675,19899600
2009-03-16,11.25,11.27,10.9025,43.91,10.9775,16622800
2009-03-17,10.9625,11.4125,10.885,45.41,11.3525,21866400
2009-03-18,11.4875,11.6325,11.235,45.919998,11.48,23451600
2009-03-19,10.945,11.75,10.8125,46.5,11.625,32281600
2009-03-20,11.7425,11.965,11.0775,45.02,11.255,24951200
2009-03-23,11.4925,11.9275,11.2175,47.619999,11.905,14384800
2009-03-24,11.685,11.8025,11.3425,45.599998,11.4,12832000
2009-03-25,11.53,11.8125,11.2875,46.369999,11.5925,13444000
2009-03-26,11.67,12.0725,11.635,47.599998,11.9,14117600
2009-03-27,11.855,11.9125,11.645,46.84,11.71,7961600
2009-03-30,11.5,11.61,11.255,46.259997999999996,11.565,13288800
2009-03-31,11.685,11.91,11.45,46.889998999999996,11.7225,17907600
2009-04-01,11.545,11.8,11.41,47.0,11.75,13006800
2009-04-02,11.9025,12.835,11.9025,50.490002000000004,12.6225,23882000
2009-04-03,12.565,12.9725,12.55,51.869999,12.9675,14375600
2009-04-06,12.82,12.875,12.615,51.27,12.8175,11080000
2009-04-07,12.5925,12.595,12.3775,49.860001000000004,12.465,11580000
2009-04-08,12.49,12.655,12.3625,50.240002000000004,12.56,13103200
2009-04-09,12.8125,13.375,12.645,53.27,13.3175,18044400
2009-04-13,13.1825,13.3675,12.8975,53.119999,13.28,13202000
2009-04-14,13.15,13.15,12.545,51.400002,12.85,16975600
2009-04-15,12.85,13.05,12.7625,52.110001000000004,13.0275,11099600
2009-04-16,13.05,13.5225,12.9825,53.77,13.4425,11566000
2009-04-17,13.5075,13.75,13.305,54.610001000000004,13.6525,13864000
2009-04-20,13.47,13.47,13.005,52.360001000000004,13.09,9961200
2009-04-21,13.0775,13.4125,13.0075,53.27,13.3175,10292400
2009-04-22,13.2275,13.9975,13.0625,55.0,13.75,14134400
2009-04-23,13.75,13.8575,13.315,54.389998999999996,13.5975,12211600
2009-04-24,13.6825,13.81,13.5075,54.73,13.6825,8396000
2009-04-27,13.5025,13.82,13.3925,54.130001,13.5325,9206400
2009-04-28,13.355,14.075,13.35,55.59,13.8975,9880400
2009-04-29,13.9,13.9375,13.125,52.959998999999996,13.24,21858000
2009-04-30,13.385,13.755,13.045,52.470001,13.1175,19326400
2009-05-01,13.2175,13.3425,13.125,52.919998,13.23,13902000
2009-05-04,13.2275,13.8175,13.2175,55.27,13.8175,14549600
2009-05-05,13.605,13.795,13.5875,55.0,13.75,13247600
2009-05-06,13.8625,13.945,13.56,54.610001000000004,13.6525,14808400
2009-05-07,13.83,13.9175,13.1075,53.080002,13.27,18546400
2009-05-08,13.44,13.715,13.0,54.419998,13.605,11371600
2009-05-11,13.4,13.4525,13.1975,53.139998999999996,13.285,15055600
2009-05-12,13.125,13.2125,12.56,50.98,12.745,24275200
2009-05-13,12.6,12.6,12.19,49.52,12.38,18298800
2009-05-14,12.35,12.8425,12.35,50.950001,12.7375,16698000
2009-05-15,12.5225,12.9,12.41,49.75,12.4375,14714800
2009-05-18,12.53,12.82,12.5,51.200001,12.8,10860000
2009-05-19,12.875,13.15,12.6325,52.040001000000004,13.01,14625600
2009-05-20,13.0825,13.135,12.635,50.689999,12.6725,14862800
2009-05-21,12.59,12.8575,12.5175,51.349998,12.8375,15340800
2009-05-22,12.8375,13.2225,12.7975,52.41,13.1025,14839200
2009-05-26,12.9925,13.6425,12.9925,54.169998,13.5425,16771200
2009-05-27,13.5425,13.8225,13.46,54.41,13.6025,15127200
2009-05-28,13.6125,13.84,13.4025,55.110001000000004,13.7775,15040400
2009-05-29,13.815,14.285,13.675,57.049999,14.2625,16568800
2009-06-01,14.465,14.9875,14.39,59.259997999999996,14.815,17614400
2009-06-02,14.7475,14.83,14.4375,57.830002,14.4575,18942400
2009-06-03,14.3475,14.555,14.2,58.169998,14.5425,14018400
2009-06-04,14.535,14.535,14.1575,57.540001000000004,14.385,13098000
2009-06-05,14.65,14.78,14.4875,58.290001000000004,14.5725,16451200
2009-06-08,14.53,14.655,14.3175,58.0,14.5,10683200
2009-06-09,14.4975,14.7375,14.41,58.66,14.665,9716400
2009-06-10,14.7175,14.765,14.0625,57.049999,14.2625,23840000
2009-06-11,14.29,14.4725,14.1425,56.619999,14.155,15452000
2009-06-12,14.105,14.2475,13.9125,56.610001000000004,14.1525,15486400
2009-06-15,14.0975,14.1175,13.8525,55.939999,13.985,12912800
2009-06-16,13.9875,14.1875,13.785,55.330002,13.8325,9774000
2009-06-17,13.7875,13.8825,13.5975,54.630001,13.6575,13586400
2009-06-18,13.8,14.3575,13.675,56.299999,14.075,17699600
2009-06-19,14.2075,14.49,14.1325,56.700001,14.175,15353200
2009-06-22,14.05,14.05,13.7775,55.259997999999996,13.815,12300000
2009-06-23,13.8025,13.815,13.3375,53.540001000000004,13.385,16074000
2009-06-24,13.4875,13.59,13.19,53.02,13.255,20202000
2009-06-25,12.6625,12.8925,12.54,51.279999,12.82,59606800
2009-06-26,12.685,12.8425,12.6275,50.84,12.71,21366800
2009-06-29,12.7875,13.04,12.7,51.75,12.9375,13824800
2009-06-30,12.965,13.12,12.82,51.779999,12.945,11700400
2009-07-01,13.035,13.2475,12.8375,52.419998,13.105,12364800
2009-07-02,12.9425,12.9575,12.765,51.060001,12.765,15326400
2009-07-06,12.685,13.075,12.685,51.91,12.9775,14878800
2009-07-07,12.925,12.9625,12.7225,51.209998999999996,12.8025,12185600
2009-07-08,12.7475,12.9275,12.6875,51.509997999999996,12.8775,10413600
2009-07-09,12.965,12.965,12.6925,51.060001,12.765,8537600
2009-07-10,12.6675,12.9475,12.655,51.299999,12.825,9436000
2009-07-13,12.865,12.9775,12.7025,51.540001000000004,12.885,12468800
2009-07-14,12.8725,13.0725,12.8025,51.900002,12.975,8017200
2009-07-15,13.0875,13.2475,12.83,52.93,13.2325,15544400
2009-07-16,13.195,13.37,13.0,53.189999,13.2975,13356000
2009-07-17,13.2875,13.2875,12.995,52.439999,13.11,13101200
2009-07-20,13.1475,13.31,13.0225,52.830002,13.2075,10645600
2009-07-21,13.3575,13.36,12.92,52.07,13.0175,11007200
2009-07-22,13.0,13.1075,12.855,51.529999,12.8825,14300800
2009-07-23,12.875,13.02,12.75,51.139998999999996,12.785,21532800
2009-07-24,12.7775,13.105,12.6475,52.169998,13.0425,14730800
2009-07-27,13.0525,13.1,12.91,52.369999,13.0925,6276400
2009-07-28,12.995,13.235,12.8575,52.91,13.2275,10552800
2009-07-29,13.125,13.625,13.09,54.369999,13.5925,21214800
2009-07-30,13.7325,14.1325,13.645,56.09,14.0225,20059600
2009-07-31,13.9175,14.4425,13.89,56.639998999999996,14.16,21796800
2009-08-03,14.245,14.27,14.06,56.619999,14.155,13509600
2009-08-04,14.115,14.3925,14.0375,57.540001000000004,14.385,14842800
2009-08-05,14.385,14.5425,14.1825,57.02,14.255,16333200
2009-08-06,14.3125,14.45,14.205,57.619999,14.405,14561200
2009-08-07,14.49,14.5675,14.2825,58.07,14.5175,11448000
2009-08-10,14.4675,14.4675,14.1775,57.139998999999996,14.285,9543600
2009-08-11,14.23,14.2725,14.005,56.790001000000004,14.1975,7614400
2009-08-12,14.15,14.475,14.105,57.52,14.38,12197200
2009-08-13,14.345,14.4575,14.245,57.810001,14.4525,8377600
2009-08-14,14.415,14.5,14.075,56.860001000000004,14.215,9124800
2009-08-17,14.0175,14.115,13.7925,55.439999,13.86,10980800
2009-08-18,13.88,13.9625,13.7975,55.610001000000004,13.9025,13312400
2009-08-19,13.7725,14.23,13.7725,56.77,14.1925,11306000
2009-08-20,14.2,14.285,14.05,57.0,14.25,11903600
2009-08-21,13.9975,14.125,13.81,55.650002,13.9125,22557200
2009-08-24,13.925,14.0625,13.89,56.0,14.0,15237600
2009-08-25,14.0725,14.1175,13.775,55.16,13.79,18324800
2009-08-26,13.82,14.0,13.7325,55.450001,13.8625,13399200
2009-08-27,13.885,14.2825,13.7,56.830002,14.2075,19081600
2009-08-28,14.2625,14.345,13.9525,56.18,14.045,8578000
2009-08-31,13.98,14.0,13.7875,55.389998999999996,13.8475,7354400
2009-09-01,13.725,13.88,13.5275,54.360001000000004,13.59,20162000
2009-09-02,13.53,13.5825,13.305,53.310001,13.3275,17540800
2009-09-03,13.3725,13.475,13.3275,53.73,13.4325,14086000
2009-09-04,13.4675,13.595,13.355,54.23,13.5575,9705600
2009-09-08,13.6575,13.815,13.5525,55.240002000000004,13.81,11600800
2009-09-09,13.7325,13.87,13.6325,55.349998,13.8375,15984000
2009-09-10,13.8375,13.95,13.7175,55.419998,13.855,18652800
2009-09-11,13.89,13.9725,13.69,54.990002000000004,13.7475,17368000
2009-09-14,13.62,13.805,13.38,54.91,13.7275,14298800
2009-09-15,13.69,13.75,13.4925,54.689999,13.6725,14818400
2009-09-16,13.69,14.3625,13.6025,57.18,14.295,24346400
2009-09-17,14.25,14.7025,14.2175,58.09,14.5225,14762000
2009-09-18,14.5625,14.72,14.4875,58.59,14.6475,11525200
2009-09-21,14.5125,14.8425,14.415,58.549999,14.6375,9472400
2009-09-22,14.7425,14.875,14.61,58.57,14.6425,12374000
2009-09-23,14.7,14.8125,14.5575,58.299999,14.575,43572000
2009-09-24,14.5775,14.685,14.4575,58.169998,14.5425,26221200
2009-09-25,14.5825,14.9625,14.575,58.639998999999996,14.66,17494400
2009-09-28,14.6825,14.8275,14.615,59.0,14.75,10106400
2009-09-29,14.8075,15.0475,14.78,60.09,15.0225,34763200
2009-09-30,16.002501000000002,16.237499,16.002501000000002,64.699997,16.174999,67174800
2009-10-01,16.0,16.1,15.625,62.5,15.625,33036000
2009-10-02,15.3825,15.5975,15.27,62.02,15.505,22568000
2009-10-05,15.47,15.73,15.4375,62.779999,15.695,11873200
2009-10-06,15.7275,16.105,15.71,63.09,15.7725,14605600
2009-10-07,15.735,15.93,15.7,63.419998,15.855,8762400
2009-10-08,15.9275,16.09,15.8875,64.019997,16.004998999999998,9364800
2009-10-09,16.030001000000002,16.047501,15.75,63.59,15.8975,8869600
2009-10-12,15.9625,16.0,15.8075,63.25,15.8125,6200000
2009-10-13,15.815,15.9625,15.7525,63.68,15.92,7062000
2009-10-14,16.02,16.307501000000002,15.9775,64.900002,16.225,14631600
2009-10-15,16.182501000000002,16.252501000000002,16.032498999999998,64.959999,16.24,14647200
2009-10-16,16.084999,16.299999,16.065001000000002,65.099998,16.275,14616800
2009-10-19,16.26,16.5875,16.102501,66.089996,16.522499,18513200
2009-10-20,16.3825,16.4475,16.1625,65.089996,16.272499,13559600
2009-10-21,16.275,16.450001,16.174999,64.75,16.1875,13313200
2009-10-22,16.205,16.424999,16.1,65.190002,16.297501,9990800
2009-10-23,16.262501,16.290001,15.8875,64.16999799999999,16.0425,12698000
2009-10-26,16.02,16.24,15.8975,63.75,15.9375,11814000
2009-10-27,15.9125,16.172501,15.625,64.089996,16.022499,15711600
2009-10-28,15.9075,16.065001000000002,15.57,62.57,15.6425,14820400
2009-10-29,15.75,16.0275,15.65,63.709998999999996,15.9275,10848800
2009-10-30,15.8375,15.9475,15.505,62.18,15.545,14672000
2009-11-02,15.585,15.905,15.4575,62.5,15.625,11526400
2009-11-03,15.5625,15.7625,15.45,62.66,15.665,10989200
2009-11-04,15.705,15.95,15.4925,62.73,15.6825,8674800
2009-11-05,15.8725,16.1975,15.7675,64.760002,16.190001000000002,10578000
2009-11-06,16.1625,16.205,15.97,64.559998,16.139999,7635200
2009-11-09,16.125,16.3325,16.09,65.32,16.33,9146800
2009-11-10,16.334999,16.422501,16.0,64.470001,16.1175,9898000
2009-11-11,16.1525,16.3925,16.1425,64.93,16.2325,6680400
2009-11-12,16.235001,16.3475,15.9525,64.089996,16.022499,6617200
2009-11-13,16.067498999999998,16.24,15.93,64.41999799999999,16.105,7310800
2009-11-16,16.165001,16.584999,16.129998999999998,66.099998,16.525,10380000
2009-11-17,16.4725,16.5,16.1075,64.959999,16.24,7854000
2009-11-18,16.1975,16.1975,15.9475,64.41999799999999,16.105,8098000
2009-11-19,15.9825,16.075001,15.72,63.560001,15.89,9852800
2009-11-20,15.835,16.02,15.675,63.919998,15.98,12614400
2009-11-23,16.205,16.3825,16.01,64.489998,16.122498999999998,9432000
2009-11-24,16.17,16.275,16.08,64.519997,16.129998999999998,6448800
2009-11-25,16.1325,16.467501000000002,16.1325,65.699997,16.424999,7986000
2009-11-27,16.129998999999998,16.360001,16.0,65.050003,16.262501,4698800
2009-11-30,16.200001,16.385,16.0975,64.889999,16.2225,9260800
2009-12-01,16.317498999999998,16.522499,16.184998999999998,65.400002,16.35,7950400
2009-12-02,16.1325,16.532498999999998,16.1325,65.349998,16.3375,5936800
2009-12-03,16.315001000000002,16.397499,16.135,64.66999799999999,16.1675,11034800
2009-12-04,16.32,16.4625,15.955,64.300003,16.075001,10180000
2009-12-07,16.075001,16.247498999999998,16.075001,64.540001,16.135,8948000
2009-12-08,16.0,16.0975,15.845,63.529999,15.8825,14510800
2009-12-09,15.8775,15.8775,15.4375,61.950001,15.4875,23438000
2009-12-10,15.55,15.85,15.55,62.700001,15.675,11972400
2009-12-11,15.79,16.047501,15.7725,63.860001000000004,15.965,10860000
2009-12-14,16.002501000000002,16.08,15.78,64.160004,16.040001,9257600
2009-12-15,15.9825,16.272499,15.905,64.349998,16.0875,9604800
2009-12-16,16.17,16.17,15.9075,64.050003,16.012501,7639600
2009-12-17,15.8925,16.012501,15.7675,63.25,15.8125,11679600
2009-12-18,16.1,16.3375,16.012501,64.41999799999999,16.105,20323200
2009-12-21,16.129998999999998,16.317498999999998,16.112499,64.879997,16.219998999999998,7399200
2009-12-22,16.219998999999998,16.3325,16.045,65.099998,16.275,8238800
2009-12-23,16.2675,16.3825,16.2225,65.440002,16.360001,6148400
2009-12-24,16.360001,16.389999,16.25,65.25,16.3125,2302000
2009-12-28,16.3125,16.387501,16.195,65.5,16.375,5648000
2009-12-29,16.375,16.6075,16.305,66.209999,16.5525,8083200
2009-12-30,16.4625,16.559998999999998,16.4275,66.139999,16.535,6932000
2009-12-31,16.5525,16.655001000000002,16.512501,66.07,16.5175,6347600
2010-01-04,16.514999,16.5175,16.280001000000002,65.349998,16.3375,11972400
2010-01-05,16.285,16.4475,16.174999,65.610001,16.4025,6275200
2010-01-06,16.35,16.422501,16.235001,65.209999,16.3025,13399200
2010-01-07,16.280001000000002,16.5,16.262501,65.849998,16.4625,7187600
2010-01-08,16.4475,16.4625,16.235001,65.720001,16.43,7249600
2010-01-11,16.48,16.4825,16.1625,64.910004,16.227501,10678000
2010-01-12,16.15,16.275,16.07,64.82,16.205,11485600
2010-01-13,16.2775,16.4175,16.195,65.400002,16.35,5648800
2010-01-14,16.372498999999998,16.4575,16.1875,64.989998,16.247498999999998,7311600
2010-01-15,16.195,16.252501000000002,15.9875,64.389999,16.0975,11293200
2010-01-19,16.049999,16.200001,15.99,64.709999,16.1775,7453200
2010-01-20,16.0525,16.102501,15.8925,64.18,16.045,8008400
2010-01-21,16.077499,16.084999,15.7575,63.639998999999996,15.91,13983200
2010-01-22,15.8775,16.059998999999998,15.7375,62.98,15.745,13320000
2010-01-25,15.8425,16.01,15.8275,63.669998,15.9175,10749600
2010-01-26,15.8325,16.0275,15.7625,63.740002000000004,15.935,6711200
2010-01-27,15.9175,16.0425,15.8125,64.0,16.0,13560400
2010-01-28,16.0625,16.25,15.8425,63.52,15.88,7158000
2010-01-29,15.91,16.1625,15.8875,63.75,15.9375,10402400
2010-02-01,15.9925,16.112499,15.8775,64.099998,16.025,6407600
2010-02-02,16.0725,16.0725,15.9025,63.93,15.9825,9539200
2010-02-03,15.9225,16.025,15.83,64.0,16.0,7889200
2010-02-04,15.8825,15.9375,15.5125,62.09,15.5225,17924800
2010-02-05,15.505,15.5575,15.2225,61.700001,15.425,13110800
2010-02-08,15.405,15.53,15.3075,61.299999,15.325,8177200
2010-02-09,15.445,15.775,15.4175,62.509997999999996,15.6275,9438000
2010-02-10,15.6275,15.7375,15.5625,62.639998999999996,15.66,7698400
2010-02-11,15.6075,15.7925,15.53,62.950001,15.7375,7010000
2010-02-12,15.63,15.6375,15.43,62.490002000000004,15.6225,11152000
2010-02-16,15.705,15.9125,15.5825,63.650002,15.9125,9628000
2010-02-17,15.9675,16.172501,15.905,64.480003,16.120001000000002,10640400
2010-02-18,16.122498999999998,16.147499,15.9775,64.440002,16.110001,6468000
2010-02-19,16.035,16.15,16.002501000000002,64.349998,16.0875,9498000
2010-02-22,16.1425,16.192498999999998,16.0075,64.309998,16.077499,6864800
2010-02-23,16.075001,16.137501,15.9025,64.129997,16.032498999999998,7738800
2010-02-24,16.0,16.254998999999998,16.0,64.93,16.2325,11618000
2010-02-25,16.252501000000002,16.57,16.002501000000002,66.160004,16.540001,15967600
2010-02-26,16.557501000000002,16.9625,16.557501000000002,67.599998,16.9,19633200
2010-03-01,16.977501,17.1775,16.9025,68.239998,17.059998999999998,10674000
2010-03-02,17.014999,17.0825,16.92,68.029999,17.0075,9844800
2010-03-03,16.924999,16.9925,16.815001000000002,67.639999,16.91,8670400
2010-03-04,17.004998999999998,17.014999,16.860001,67.629997,16.907498999999998,6306400
2010-03-05,16.9575,17.127501000000002,16.9575,68.32,17.08,7460000
2010-03-08,16.9925,17.24,16.9925,68.82,17.205,7084000
2010-03-09,17.190001000000002,17.295,17.1325,68.93,17.2325,6042400
2010-03-10,17.227501,17.3125,17.102501,69.120003,17.280001000000002,5592800
2010-03-11,17.275,17.4625,17.1775,69.75,17.4375,6960000
2010-03-12,17.355,17.497498999999998,17.352501,69.900002,17.475,7208400
2010-03-15,17.4375,17.682501000000002,17.43,70.389999,17.5975,9514000
2010-03-16,17.5825,17.762501,17.525,70.379997,17.594998999999998,10107200
2010-03-17,17.5975,17.8325,17.57,70.879997,17.719998999999998,14751600
2010-03-18,18.3375,18.8375,18.325001,74.660004,18.665001,43696000
2010-03-19,18.565001000000002,18.58,18.280001000000002,73.519997,18.379998999999998,18789600
2010-03-22,18.2225,18.540001,18.205,73.879997,18.469998999999998,11696000
2010-03-23,18.6,18.647499,18.4925,74.489998,18.622498999999998,8986000
2010-03-24,18.5875,18.5975,18.252501000000002,73.379997,18.344998999999998,11069200
2010-03-25,18.5425,18.695,18.3825,73.57,18.3925,11321600
2010-03-26,18.450001,18.6875,18.342501000000002,73.889999,18.4725,8661600
2010-03-29,18.540001,18.5825,18.395,73.970001,18.4925,6522400
2010-03-30,18.502501000000002,18.6,18.387501,73.809998,18.452499,6461200
2010-03-31,18.372498999999998,18.525,18.32,73.5,18.375,7916000
2010-04-01,18.49,18.5975,18.4375,74.010002,18.502501000000002,8376400
2010-04-05,18.547501,18.705,18.405001000000002,74.110001,18.5275,7081600
2010-04-06,18.385,18.5375,18.375,73.910004,18.477501,8428000
2010-04-07,18.4925,18.547501,18.325001,73.589996,18.397499,8851200
2010-04-08,18.365,18.57,18.264999,73.989998,18.497498999999998,10410400
2010-04-09,18.545,18.82,18.4125,75.18,18.795,12502000
2010-04-12,18.8225,18.987499,18.799999,75.529999,18.8825,8867200
2010-04-13,18.8575,18.9825,18.6875,75.510002,18.877501000000002,7025200
2010-04-14,18.9025,18.965,18.75,75.800003,18.950001,6804400
2010-04-15,18.8925,18.955,18.7425,75.639999,18.91,7014400
2010-04-16,18.897499,19.0,18.745001000000002,75.16999799999999,18.7925,13739200
2010-04-19,18.737499,18.950001,18.5625,75.58000200000001,18.895,8790400
2010-04-20,19.004998999999998,19.145,18.975,76.360001,19.09,9584400
2010-04-21,19.1,19.285,19.0425,76.720001,19.18,10800800
2010-04-22,19.0725,19.6325,19.0525,78.230003,19.557501000000002,13848800
2010-04-23,19.455,19.610001,19.325001,77.900002,19.475,10151200
2010-04-26,19.477501,19.6175,19.445,78.019997,19.504998999999998,6050400
2010-04-27,19.4175,19.622498999999998,19.1525,76.739998,19.184998999999998,11016800
2010-04-28,19.235001,19.5075,19.035,76.440002,19.110001,10812000
2010-04-29,19.275,19.422501,19.18,77.57,19.3925,9083600
2010-04-30,19.362499,19.469998999999998,18.9725,75.910004,18.977501,9869600
2010-05-03,19.002501000000002,19.5975,18.977501,77.769997,19.442498999999998,8428400
2010-05-04,19.504998999999998,19.637501,19.275,77.349998,19.3375,14530400
2010-05-05,19.217501000000002,19.325001,18.674999,75.209999,18.8025,17310400
2010-05-06,18.637501,18.997498999999998,16.747498999999998,72.300003,18.075001,26330000
2010-05-07,17.8375,18.110001,17.445,70.610001,17.6525,21502400
2010-05-10,18.4725,19.192498999999998,18.434998999999998,76.650002,19.1625,26477600
