Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,39.529999,40.689999,38.580002,40.419998,40.419998,616800
2009-01-05,40.400002,40.599998,39.279999,40.099998,40.099998,594700
2009-01-06,40.509998,41.240002,40.099998,40.810001,40.810001,954600
2009-01-07,39.980000,40.119999,38.230000,38.689999,38.689999,1356000
2009-01-08,38.759998,39.180000,38.020000,38.709999,38.709999,370100
2009-01-09,39.070000,39.209999,37.279999,38.200001,38.200001,950600
2009-01-12,38.060001,38.119999,35.849998,36.410000,36.410000,728700
2009-01-13,36.119999,37.020000,35.110001,35.830002,35.830002,900600
2009-01-14,35.299999,35.759998,33.669998,34.029999,34.029999,813000
2009-01-15,34.139999,35.680000,33.000000,35.150002,35.150002,996500
2009-01-16,35.860001,35.970001,33.349998,34.750000,34.750000,885200
2009-01-20,34.520000,35.099998,31.900000,32.250000,32.250000,1070500
2009-01-21,32.639999,34.070000,32.130001,33.970001,33.970001,1109200
2009-01-22,33.570000,33.950001,32.259998,33.150002,33.150002,760800
2009-01-23,31.950001,33.529999,31.950001,32.910000,32.910000,643100
2009-01-26,32.919998,33.950001,32.799999,33.570000,33.570000,1014600
2009-01-27,33.650002,34.619999,33.150002,34.500000,34.500000,851500
2009-01-28,35.139999,37.349998,35.139999,36.709999,36.709999,1420800
2009-01-29,36.270000,36.570000,34.950001,35.130001,35.130001,1070900
2009-01-30,35.730000,35.730000,33.380001,33.779999,33.779999,1314200
2009-02-02,33.279999,33.650002,32.330002,33.240002,33.240002,1245200
2009-02-03,33.540001,35.090000,33.470001,34.529999,34.529999,1738800
2009-02-04,31.309999,33.950001,29.780001,30.000000,30.000000,3340400
2009-02-05,30.010000,31.680000,29.070000,31.410000,31.410000,2032400
2009-02-06,31.760000,34.209999,31.209999,34.040001,34.040001,1863600
2009-02-09,33.779999,34.599998,32.849998,33.779999,33.779999,1437000
2009-02-10,33.419998,33.779999,30.580000,31.000000,31.000000,1480000
2009-02-11,31.230000,32.380001,30.830000,31.590000,31.590000,1291100
2009-02-12,30.969999,31.680000,30.250000,31.570000,31.570000,1342500
2009-02-13,31.340000,31.540001,30.379999,30.440001,30.440001,942200
2009-02-17,29.389999,30.000000,28.080000,28.309999,28.309999,2061000
2009-02-18,28.219999,28.270000,26.410000,26.959999,26.959999,2404000
2009-02-19,27.230000,28.430000,26.049999,26.200001,26.200001,1713600
2009-02-20,25.059999,26.420000,24.950001,26.100000,26.100000,2102400
2009-02-23,26.299999,26.540001,24.990000,25.100000,25.100000,1186100
2009-02-24,25.280001,26.430000,23.950001,26.190001,26.190001,1723800
2009-02-25,26.230000,26.230000,24.030001,24.490000,24.490000,1733400
2009-02-26,24.830000,24.910000,22.870001,22.940001,22.940001,2180900
2009-02-27,22.700001,23.510000,22.020000,22.860001,22.860001,1465500
2009-03-02,22.480000,22.559999,20.910000,21.000000,21.000000,1450900
2009-03-03,21.260000,21.330000,20.240000,20.750000,20.750000,1390900
2009-03-04,21.389999,22.870001,21.000000,22.360001,22.360001,1967500
2009-03-05,21.889999,22.000000,20.129999,20.370001,20.370001,1380700
2009-03-06,20.549999,20.959999,19.000000,19.410000,19.410000,1634100
2009-03-09,19.230000,20.379999,19.090000,19.270000,19.270000,1432400
2009-03-10,19.490000,21.660000,19.490000,21.629999,21.629999,2100100
2009-03-11,21.770000,23.490000,21.440001,23.080000,23.080000,2796100
2009-03-12,23.120001,23.360001,21.980000,23.000000,23.000000,1946800
2009-03-13,23.500000,23.930000,22.770000,23.639999,23.639999,1004300
2009-03-16,23.889999,26.719999,23.750000,24.799999,24.799999,1773900
2009-03-17,24.750000,25.629999,24.540001,25.610001,25.610001,1194400
2009-03-18,25.590000,27.340000,25.059999,27.170000,27.170000,1484600
2009-03-19,27.540001,27.680000,26.830000,27.160000,27.160000,1654100
2009-03-20,27.360001,27.430000,24.969999,25.200001,25.200001,1319100
2009-03-23,25.820000,28.150000,25.129999,28.100000,28.100000,1131400
2009-03-24,27.110001,27.680000,26.469999,26.549999,26.549999,1377800
2009-03-25,26.709999,28.000000,26.030001,27.299999,27.299999,2063000
2009-03-26,27.639999,30.219999,27.280001,29.860001,29.860001,1321200
2009-03-27,29.490000,29.490000,28.139999,28.360001,28.360001,1151400
2009-03-30,27.900000,27.900000,26.400000,26.930000,26.930000,1170300
2009-03-31,27.200001,29.020000,26.760000,28.309999,28.309999,1312800
2009-04-01,28.260000,29.590000,27.770000,29.180000,29.180000,1804000
2009-04-02,30.160000,32.889999,29.260000,31.660000,31.660000,2124900
2009-04-03,30.990000,31.830000,30.559999,31.490000,31.490000,1711300
2009-04-06,31.150000,31.299999,29.910000,30.959999,30.959999,1593300
2009-04-07,30.320000,30.480000,29.450001,29.559999,29.559999,1152300
2009-04-08,26.900000,26.969999,23.620001,24.250000,24.250000,5485500
2009-04-09,25.000000,26.030001,24.709999,25.430000,25.430000,2668300
2009-04-13,25.129999,25.299999,23.900000,24.090000,24.090000,2227600
2009-04-14,24.150000,25.299999,23.870001,24.270000,24.270000,2009700
2009-04-15,24.230000,24.969999,24.000000,24.520000,24.520000,1261400
2009-04-16,24.580000,25.260000,24.250000,25.030001,25.030001,1408100
2009-04-17,25.420000,25.570000,24.709999,25.299999,25.299999,1233900
2009-04-20,24.900000,24.959999,23.709999,23.820000,23.820000,1764200
2009-04-21,23.830000,24.750000,23.469999,24.290001,24.290001,1825800
2009-04-22,24.280001,27.400000,24.250000,25.639999,25.639999,3039500
2009-04-23,25.370001,26.049999,24.580000,25.719999,25.719999,1879400
2009-04-24,25.790001,27.480000,25.790001,26.889999,26.889999,2520200
2009-04-27,26.580000,26.580000,25.250000,25.760000,25.760000,1408500
2009-04-28,25.190001,26.250000,25.100000,25.340000,25.340000,1488200
2009-04-29,25.340000,26.809999,24.850000,26.290001,26.290001,1534500
2009-04-30,26.620001,28.830000,26.620001,27.690001,27.690001,1892100
2009-05-01,27.629999,29.090000,26.920000,28.700001,28.700001,2227200
