Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,13.93,15.18,13.88,14.96,14.96,1590900
2009-01-05,14.15,15.5,14.07,15.18,15.18,2532100
2009-01-06,15.08,15.28,14.65,14.8,14.8,4758900
2009-01-07,14.2,14.49,12.91,13.41,13.41,4295500
2009-01-08,13.16,13.22,12.01,12.35,12.35,4301000
2009-01-09,12.8,12.91,12.02,12.13,12.13,2797300
2009-01-12,12.34,12.35,11.22,11.36,11.36,2133800
2009-01-13,11.38,11.89,11.11,11.81,11.81,2728500
2009-01-14,11.48,11.48,10.38,10.51,10.51,4191400
2009-01-15,10.26,10.37,9.09,9.86,9.86,6804600
2009-01-16,10.27,10.37,9.39,9.85,9.85,2828700
2009-01-20,9.92,10.05,8.72,8.83,8.83,3033100
2009-01-21,9.54,9.58,8.87,9.51,9.51,3318700
2009-01-22,9.47,9.72,9.16,9.34,9.34,3717900
2009-01-23,8.84,9.74,8.69,9.43,9.43,3296900
2009-01-26,9.66,10.5,9.65,10.03,10.03,4745800
2009-01-27,10.38,10.63,10.13,10.4,10.4,2524900
2009-01-28,10.44,10.45,8.6,9.06,9.06,14383600
2009-01-29,8.98,9.0,6.64,7.85,7.85,21648600
2009-01-30,7.42,7.46,6.35,6.49,6.49,10816800
2009-02-02,6.45,6.54,6.08,6.41,6.41,8259100
2009-02-03,6.71,6.89,6.23,6.74,6.74,8000700
2009-02-04,6.99,7.28,6.73,6.73,6.73,5055000
2009-02-05,6.76,6.82,6.45,6.59,6.59,6210800
2009-02-06,6.82,7.75,6.77,7.34,7.34,7653500
2009-02-09,7.79,7.8,7.15,7.36,7.36,4827400
2009-02-10,7.45,7.89,6.64,6.83,6.83,6593400
2009-02-11,7.12,7.25,6.5,6.83,6.83,7354100
2009-02-12,6.64,6.87,6.33,6.85,6.85,4974100
2009-02-13,6.94,7.06,6.6,6.92,6.92,3887900
2009-02-17,6.54,6.54,6.14,6.22,6.22,3512400
2009-02-18,6.4,6.47,6.05,6.4,6.4,4414500
2009-02-19,6.56,6.62,5.91,5.95,5.95,6171700
2009-02-20,5.7,6.13,5.53,5.94,5.94,5180000
2009-02-23,6.02,6.1,5.5,5.64,5.64,3414900
2009-02-24,6.03,7.35,6.0,6.84,6.84,9201700
2009-02-25,6.78,7.01,6.44,6.77,6.77,5296400
2009-02-26,7.01,7.27,6.67,6.7,6.7,4801300
2009-02-27,6.46,6.64,5.92,6.0,6.0,5881200
2009-03-02,5.8,6.08,5.43,5.5,5.5,4544400
2009-03-03,5.78,5.95,5.4,5.69,5.69,3388700
2009-03-04,6.06,6.43,5.77,6.17,6.17,4666200
2009-03-05,6.0,6.38,5.53,5.65,5.65,3893800
2009-03-06,5.94,6.14,5.61,5.93,5.93,4592200
2009-03-09,5.74,6.13,5.69,5.81,5.81,2377800
2009-03-10,6.16,7.09,6.15,7.0,7.0,5229100
2009-03-11,7.06,7.34,6.6,6.85,6.85,4431900
2009-03-12,6.92,8.19,6.72,8.0,8.0,6149000
2009-03-13,7.89,8.17,7.15,7.37,7.37,3970900
2009-03-16,7.68,8.08,7.58,7.71,7.71,3230000
2009-03-17,7.83,8.12,7.61,8.07,8.07,2999700
2009-03-18,7.92,8.6,7.75,8.28,8.28,4042300
2009-03-19,8.62,8.97,8.39,8.48,8.48,4303400
2009-03-20,8.62,8.72,7.55,7.88,7.88,2874200
2009-03-23,8.18,8.88,8.01,8.87,8.87,4911800
2009-03-24,8.57,9.49,8.33,8.43,8.43,6316600
2009-03-25,8.66,9.09,8.3,8.79,8.79,4563900
2009-03-26,8.99,9.44,8.91,9.31,9.31,3457900
2009-03-27,8.95,9.0,8.55,8.81,8.81,3079700
2009-03-30,8.42,8.42,7.55,7.77,7.77,2599500
2009-03-31,7.92,8.27,7.83,8.01,8.01,3129200
2009-04-01,7.81,8.83,7.75,8.69,8.69,3950200
2009-04-02,9.01,9.93,8.92,9.4,9.4,6752600
2009-04-03,9.59,10.38,9.37,10.09,10.09,4748100
2009-04-06,9.87,10.0,9.41,9.98,9.98,4799200
2009-04-07,9.47,9.59,9.12,9.33,9.33,2719900
