Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,13.06,14.07,13.06,13.99,13.99,1498900
2009-01-05,13.97,14.3,13.72,14.14,14.14,1735100
2009-01-06,14.16,16.129998999999998,14.16,15.69,15.69,3193700
2009-01-07,15.54,15.54,14.75,14.92,14.92,2773800
2009-01-08,14.69,14.87,14.4,14.66,14.66,1581800
2009-01-09,14.61,15.57,14.14,15.46,15.46,3331500
2009-01-12,15.3,15.97,15.3,15.5,15.5,3641300
2009-01-13,15.5,15.81,15.03,15.54,15.54,3690800
2009-01-14,15.11,15.41,14.32,14.66,14.66,3554200
2009-01-15,14.52,14.8,13.9,14.75,14.75,3855300
2009-01-16,15.0,15.0,14.09,14.82,14.82,3272700
2009-01-20,14.78,14.78,13.52,13.52,13.52,2373200
2009-01-21,13.81,14.03,13.53,13.95,13.95,2783100
2009-01-22,13.8,14.22,13.44,14.0,14.0,2563000
2009-01-23,13.82,14.35,13.41,14.28,14.28,2466200
2009-01-26,14.3,14.78,14.3,14.62,14.62,2531000
2009-01-27,14.79,15.11,14.66,14.9,14.9,3022800
2009-01-28,15.07,15.64,14.85,15.31,15.31,2372800
2009-01-29,15.18,15.21,14.68,14.75,14.75,1521700
2009-01-30,14.77,15.08,14.5,14.65,14.65,1885200
2009-02-02,14.26,14.94,14.2,14.87,14.87,1958100
2009-02-03,14.87,15.42,14.63,15.37,15.37,3683800
2009-02-04,15.32,15.65,15.2,15.34,15.34,3239200
2009-02-05,15.21,15.84,15.1,15.66,15.66,1959500
2009-02-06,15.62,16.299999,15.49,16.190001000000002,16.190001000000002,1876900
2009-02-09,16.040001,16.450001,15.83,15.9,15.9,2575000
2009-02-10,15.6,16.25,15.59,15.8,15.8,2741100
2009-02-11,16.1,16.1,15.28,15.31,15.31,2890000
2009-02-12,15.36,15.56,14.69,15.47,15.47,2269300
2009-02-13,15.47,15.74,15.23,15.29,15.29,1513400
2009-02-17,15.05,15.05,14.36,14.42,14.42,1999100
2009-02-18,14.41,14.57,13.99,14.04,14.04,2232400
2009-02-19,14.41,14.41,13.97,14.08,14.08,2309600
2009-02-20,13.9,14.41,13.72,14.33,14.33,3313800
2009-02-23,14.31,14.54,13.89,13.95,13.95,2079000
2009-02-24,13.97,14.69,13.7,14.54,14.54,2455000
2009-02-25,14.66,14.66,13.98,14.19,14.19,2600100
2009-02-26,14.44,14.5,13.92,13.95,13.95,2383200
2009-02-27,13.77,14.18,13.35,13.69,13.69,3433600
2009-03-02,13.5,13.84,13.29,13.53,13.53,2890800
2009-03-03,13.61,14.04,13.41,13.74,13.74,3079000
2009-03-04,13.92,14.63,13.81,14.42,14.42,2795300
2009-03-05,14.24,14.45,13.67,13.69,13.69,1956000
2009-03-06,13.75,13.98,12.98,13.43,13.43,2558000
2009-03-09,13.28,13.76,13.1,13.2,13.2,1551600
2009-03-10,13.34,14.31,13.29,14.29,14.29,2173100
2009-03-11,14.35,15.1,14.27,14.92,14.92,2158800
2009-03-12,14.76,15.57,14.61,15.21,15.21,2397400
2009-03-13,15.34,15.48,14.85,15.07,15.07,2539800
2009-03-16,15.12,15.38,14.74,14.79,14.79,1583200
2009-03-17,14.85,15.64,14.76,15.64,15.64,1434300
2009-03-18,15.63,15.99,15.26,15.76,15.76,2744000
2009-03-19,15.88,15.99,15.59,15.65,15.65,1120500
2009-03-20,15.51,15.65,14.89,14.89,14.89,1373000
2009-03-23,15.29,17.73,14.96,16.370001000000002,16.370001000000002,9783500
2009-03-24,16.25,16.25,15.14,15.27,15.27,5127500
2009-03-25,15.31,15.69,14.43,15.0,15.0,5395000
2009-03-26,16.73,17.799999,16.4,17.6,17.6,10206600
2009-03-27,17.18,17.700001,16.950001,16.99,16.99,4094100
2009-03-30,16.9,17.83,16.469998999999998,17.809998999999998,17.809998999999998,4473300
2009-03-31,17.98,18.43,17.549999,17.84,17.84,4749700
2009-04-01,17.76,18.07,17.440001000000002,17.68,17.68,5339000
2009-04-02,17.93,18.200001,17.780001000000002,17.879998999999998,17.879998999999998,4887200
2009-04-03,17.799999,18.780001000000002,17.799999,18.620001000000002,18.620001000000002,2922700
2009-04-06,18.469998999999998,18.549999,17.780001000000002,18.41,18.41,3230300
2009-04-07,17.93,18.4,17.809998999999998,18.120001000000002,18.120001000000002,1836500
2009-04-08,18.15,18.6,17.99,18.5,18.5,1538500
2009-04-09,18.780001000000002,19.02,18.42,19.0,19.0,1817100
2009-04-13,18.99,19.16,18.35,18.82,18.82,1605400
2009-04-14,18.690001000000002,18.799999,18.129998999999998,18.219998999999998,18.219998999999998,1580000
2009-04-15,18.200001,18.299999,17.540001,17.82,17.82,1968200
2009-04-16,17.85,18.450001,17.85,18.280001000000002,18.280001000000002,2470100
2009-04-17,18.190001000000002,18.48,18.059998999999998,18.32,18.32,1251900
2009-04-20,17.879998999999998,17.91,17.17,17.33,17.33,2413100
2009-04-21,17.219998999999998,17.58,17.110001,17.57,17.57,1714100
2009-04-22,17.379998999999998,18.9,17.059998999999998,18.370001000000002,18.370001000000002,5092800
2009-04-23,18.4,18.709999,17.549999,17.959999,17.959999,3335600
2009-04-24,18.139999,18.33,17.73,18.16,18.16,2918800
2009-04-27,17.98,18.25,17.709999,17.9,17.9,2055500
2009-04-28,17.6,17.75,17.26,17.35,17.35,1834300
2009-04-29,17.469998999999998,17.879998999999998,17.389999,17.77,17.77,1876300
2009-04-30,18.02,18.049999,17.059998999999998,17.27,17.27,2938200
2009-05-01,17.309998999999998,17.32,16.65,17.120001000000002,17.120001000000002,2866900
2009-05-04,18.0,18.299999,17.6,17.940001000000002,17.940001000000002,2778700
2009-05-05,17.799999,18.200001,17.5,18.16,18.16,1880200
2009-05-06,18.299999,18.299999,17.540001,18.07,18.07,2022200
2009-05-07,18.08,18.1,17.360001,17.57,17.57,1658500
2009-05-08,17.639999,17.93,17.280001000000002,17.6,17.6,1561500
2009-05-11,17.32,18.290001,17.1,18.07,18.07,2089700
2009-05-12,18.139999,18.219998999999998,17.42,17.940001000000002,17.940001000000002,1954000
2009-05-13,17.540001,17.84,17.440001000000002,17.610001,17.610001,2289200
2009-05-14,17.540001,18.25,17.540001,18.120001000000002,18.120001000000002,2271700
2009-05-15,18.290001,20.1,18.280001000000002,19.860001,19.860001,6436000
2009-05-18,20.040001,20.040001,18.85,19.620001000000002,19.620001000000002,3567600
2009-05-19,19.549999,19.950001,19.27,19.360001,19.360001,3635500
2009-05-20,19.360001,19.6,18.75,18.93,18.93,3166400
2009-05-21,18.82,19.379998999999998,18.610001,18.99,18.99,3835900
2009-05-22,19.200001,19.549999,18.690001000000002,19.41,19.41,1833300
2009-05-26,19.25,19.99,19.01,19.73,19.73,3311500
2009-05-27,19.9,20.389999,19.65,19.74,19.74,2751600
2009-05-28,19.67,20.18,19.51,19.98,19.98,2904200
2009-05-29,19.83,20.110001,19.4,19.950001,19.950001,6557000
2009-06-01,20.110001,20.84,19.780001000000002,20.77,20.77,2807000
2009-06-02,20.73,20.99,20.469998999999998,20.559998999999998,20.559998999999998,2604900
2009-06-03,20.49,20.59,19.629998999999998,19.879998999999998,19.879998999999998,3058900
2009-06-04,19.84,20.200001,19.719998999999998,20.030001000000002,20.030001000000002,1845000
2009-06-05,20.4,20.620001000000002,19.75,19.92,19.92,2696700
2009-06-08,19.799999,20.030001000000002,19.309998999999998,19.84,19.84,1826100
2009-06-09,19.860001,20.65,19.85,20.5,20.5,2475700
2009-06-10,20.49,20.73,19.940001000000002,20.26,20.26,1501900
2009-06-11,20.190001000000002,20.65,20.129998999999998,20.52,20.52,1490400
2009-06-12,20.99,20.99,20.219998999999998,20.790001,20.790001,1672400
2009-06-15,20.58,20.84,20.120001000000002,20.59,20.59,2511600
2009-06-16,21.09,21.09,20.139999,20.17,20.17,2573400
2009-06-17,20.209999,20.41,19.6,20.129998999999998,20.129998999999998,2177200
2009-06-18,20.190001000000002,20.299999,19.879998999999998,20.23,20.23,1853000
2009-06-19,20.23,20.42,19.68,19.99,19.99,2858300
2009-06-22,19.790001,19.790001,18.77,18.83,18.83,2274900
2009-06-23,18.84,19.639999,18.51,19.629998999999998,19.629998999999998,3649900
2009-06-24,19.709999,20.25,19.49,20.129998999999998,20.129998999999998,3525700
2009-06-25,18.15,19.32,18.110001,19.290001,19.290001,8126900
2009-06-26,19.0,20.059998999999998,18.85,19.870001000000002,19.870001000000002,2779000
2009-06-29,20.059998999999998,20.43,19.66,19.99,19.99,3137000
