Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,7.4425,7.725,7.3875,30.809998999999998,7.7025,5103600
2009-01-05,7.6275,7.68,7.4675,30.27,7.5675,6297600
2009-01-06,7.6225,7.65,7.4,30.02,7.505,7348800
2009-01-07,7.3825,7.6525,7.3125,30.42,7.605,8435600
2009-01-08,7.7675,7.9825,7.485,31.58,7.895,12400000
2009-01-09,7.92,7.975,7.4375,30.0,7.5,8755600
2009-01-12,7.4575,7.56,7.3175,29.51,7.3775,9018800
2009-01-13,7.375,7.5425,7.3125,29.65,7.4125,8463600
2009-01-14,7.405,7.4675,7.2575,29.26,7.315,11192400
2009-01-15,7.2825,7.7875,7.255,30.49,7.6225,8920400
2009-01-16,7.7225,7.7825,7.5075,30.84,7.71,10109600
2009-01-20,7.675,7.6925,7.355,29.530001000000002,7.3825,7933600
2009-01-21,7.5,7.7825,7.4025,31.030001000000002,7.7575,11492000
2009-01-22,7.6375,7.9525,7.5575,31.290001,7.8225,10238000
2009-01-23,7.695,7.9175,7.665,31.209999,7.8025,8564000
2009-01-26,7.8175,7.985,7.76,31.639999,7.91,9280000
2009-01-27,7.9425,7.98,7.73,30.969998999999998,7.7425,7673600
2009-01-28,7.865,7.9325,7.66,31.01,7.7525,14224400
2009-01-29,7.7125,7.7475,7.4825,30.120001000000002,7.53,10141200
2009-01-30,7.59,7.59,7.255,29.42,7.355,13464000
2009-02-02,7.36,7.505,7.15,29.23,7.3075,10907200
2009-02-03,7.315,7.4475,7.22,29.49,7.3725,9295600
2009-02-04,7.28,7.425,7.02,28.25,7.0625,11548000
2009-02-05,7.125,7.7175,7.125,30.629998999999998,7.6575,21232000
2009-02-06,7.6375,8.2175,7.5775,32.580002,8.145,16061200
2009-02-09,8.155,8.1925,7.95,32.290001000000004,8.0725,8856000
2009-02-10,7.9825,8.1675,7.8325,31.48,7.87,10264800
2009-02-11,7.9275,7.945,7.675,31.209999,7.8025,7188000
2009-02-12,7.685,7.935,7.6275,31.74,7.935,7373600
2009-02-13,7.92,8.0075,7.675,30.700001,7.675,8521200
2009-02-17,7.53,7.7025,7.415,30.299999,7.575,10216000
2009-02-18,7.66,7.6725,7.4475,30.16,7.54,6561600
2009-02-19,7.5825,7.75,7.54,30.41,7.6025,7205600
2009-02-20,7.54,7.81,7.5,30.790001,7.6975,11164000
2009-02-23,7.6875,7.75,7.385,29.66,7.415,8443600
2009-02-24,7.4325,7.655,7.4325,30.48,7.62,8466400
2009-02-25,7.565,7.735,7.4475,30.290001,7.5725,10109200
2009-02-26,7.6175,7.62,7.255,29.1,7.275,9084400
2009-02-27,7.16,7.5725,7.125,29.52,7.38,8840400
2009-03-02,7.26,7.595,7.2525,29.129998999999998,7.2825,13865200
2009-03-03,7.34,7.3925,7.165,28.950001,7.2375,17373600
2009-03-04,7.2125,7.695,7.2125,30.34,7.585,13851200
2009-03-05,7.625,7.895,7.5475,30.32,7.58,17547600
2009-03-06,7.6425,7.6975,7.1875,29.450001,7.3625,13434800
2009-03-09,7.3025,7.545,7.2725,29.309998999999998,7.3275,11654000
2009-03-10,7.5175,7.88,7.4975,31.290001,7.8225,13339200
2009-03-11,7.85,8.0225,7.75,31.84,7.96,12054400
2009-03-12,7.91,8.285,7.855,33.060001,8.265,12521200
2009-03-13,8.245,8.31,8.065,33.009997999999996,8.2525,9778400
2009-03-16,8.255,8.3025,8.0575,32.23,8.0575,9148800
2009-03-17,8.105,8.375,8.0675,33.369999,8.3425,11023200
