Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,18.24,18.9,17.67,18.790001,18.790001,6945700
2009-01-05,18.549999,18.75,18.450001,18.530001000000002,18.530001000000002,7818500
2009-01-06,18.6,18.93,18.41,18.68,18.68,10035500
2009-01-07,18.209999,18.49,17.84,18.049999,18.049999,8928500
2009-01-08,18.1,18.51,17.540001,18.48,18.48,9279900
2009-01-09,18.450001,18.57,18.120001000000002,18.299999,18.299999,11018800
2009-01-12,18.370001000000002,18.700001,18.15,18.51,18.51,12265900
2009-01-13,18.389999,18.74,17.85,18.040001,18.040001,18573800
2009-01-14,17.780001000000002,17.799999,17.02,17.129998999999998,17.129998999999998,13140600
2009-01-15,17.18,17.700001,16.65,17.440001000000002,17.440001000000002,11017800
2009-01-16,17.5,17.559998999999998,16.950001,17.450001,17.450001,10386500
2009-01-20,17.65,17.65,16.360001,16.43,16.43,9223900
2009-01-21,16.700001,16.85,15.96,16.48,16.48,9825500
2009-01-22,16.33,16.969998999999998,16.040001,16.690001000000002,16.690001000000002,9508100
2009-01-23,16.42,17.02,15.93,16.58,16.58,14620600
2009-01-26,16.41,17.42,16.4,17.280001000000002,17.280001000000002,13400900
2009-01-27,17.209999,17.620001000000002,17.0,17.190001000000002,17.190001000000002,10599500
2009-01-28,17.35,18.0,17.35,17.879998999999998,17.879998999999998,13566700
2009-01-29,17.799999,17.9,16.43,16.540001,16.540001,13792300
2009-01-30,16.690001000000002,16.73,15.8,15.94,15.94,11636900
2009-02-02,15.8,15.8,15.33,15.69,15.69,13848000
2009-02-03,15.31,16.25,15.27,16.23,16.23,8609200
2009-02-04,16.200001,16.379998999999998,15.64,15.86,15.86,9186200
2009-02-05,15.75,16.389999,15.66,16.379998999999998,16.379998999999998,11649300
2009-02-06,16.370001000000002,16.91,16.120001000000002,16.77,16.77,14098000
2009-02-09,16.98,16.98,15.98,16.639999,16.639999,12335600
2009-02-10,16.370001000000002,16.639999,15.26,15.55,15.55,21832700
2009-02-11,15.62,16.18,15.6,15.94,15.94,10622300
2009-02-12,15.66,16.0,15.28,15.94,15.94,10743900
2009-02-13,15.85,16.219998999999998,15.67,15.74,15.74,7031100
2009-02-17,15.03,15.38,14.86,15.1,15.1,11187500
2009-02-18,15.25,15.69,15.04,15.46,15.46,10260400
2009-02-19,15.62,15.66,14.96,15.35,15.35,10677700
2009-02-20,15.39,15.98,15.18,15.75,15.75,15655400
2009-02-23,15.63,15.96,15.27,15.33,15.33,11557800
2009-02-24,15.59,16.030001000000002,15.4,15.94,15.94,14089600
2009-02-25,15.85,16.0,15.46,15.68,15.68,15671400
2009-02-26,15.9,16.01,15.52,15.61,15.61,8775300
2009-02-27,15.1,16.27,15.1,15.95,15.95,14565600
2009-03-02,15.51,15.91,15.22,15.29,15.29,8635100
2009-03-03,15.39,15.64,14.9,15.1,15.1,14076600
2009-03-04,15.41,15.67,14.82,15.51,15.51,9342000
2009-03-05,15.1,15.42,14.6,14.72,14.72,10543800
2009-03-06,14.76,15.09,14.35,14.81,14.81,10660400
2009-03-09,14.67,14.98,14.38,14.63,14.63,12906700
2009-03-10,15.12,15.78,14.47,15.74,15.74,15889300
2009-03-11,15.13,16.07,15.09,15.47,15.47,27636700
2009-03-12,15.45,16.379998999999998,15.0,16.32,16.32,13416100
2009-03-13,16.209999,16.6,15.8,16.200001,16.200001,10077100
2009-03-16,16.450001,16.459999,15.76,15.81,15.81,7957100
2009-03-17,15.52,16.459999,15.52,16.450001,16.450001,9542000
2009-03-18,16.33,17.15,16.129998999999998,16.959999,16.959999,13988100
2009-03-19,16.280001000000002,17.4,16.280001000000002,17.17,17.17,11047000
2009-03-20,17.299999,17.459999,16.83,17.01,17.01,11937200
2009-03-23,17.34,18.049999,17.190001000000002,18.040001,18.040001,11685200
2009-03-24,17.18,18.17,17.18,17.73,17.73,9576100
2009-03-25,18.66,19.040001,17.66,18.25,18.25,17529800
2009-03-26,18.74,19.610001,18.49,18.98,18.98,18435300
2009-03-27,19.08,19.139999,18.4,18.57,18.57,10263900
2009-03-30,18.219998999999998,18.26,17.709999,18.18,18.18,10280500
2009-03-31,18.190001000000002,18.5,17.690001000000002,18.110001,18.110001,11095000
2009-04-01,17.809998999999998,18.5,17.719998999999998,18.41,18.41,8813300
2009-04-02,18.790001,20.16,18.52,19.66,19.66,13488200
2009-04-03,19.719998999999998,19.82,19.219998999999998,19.42,19.42,7362400
2009-04-06,19.059998999999998,19.99,18.950001,19.309998999999998,19.309998999999998,5529900
2009-04-07,18.959999,19.280001000000002,18.4,18.41,18.41,6858200
2009-04-08,18.9,19.360001,18.700001,19.17,19.17,8385800
2009-04-09,19.639999,21.25,19.559998999999998,21.030001000000002,21.030001000000002,20171100
2009-04-13,20.92,20.92,20.23,20.6,20.6,7226600
2009-04-14,20.290001,20.559998999999998,19.709999,20.110001,20.110001,7667500
2009-04-15,20.0,20.42,19.700001,20.379998999999998,20.379998999999998,7519500
2009-04-16,20.76,21.200001,20.49,21.01,21.01,7772000
2009-04-17,20.5,21.18,20.450001,20.809998999999998,20.809998999999998,8145100
2009-04-20,20.35,20.59,20.02,20.190001000000002,20.190001000000002,7458600
2009-04-21,20.67,21.030001000000002,20.1,20.950001,20.950001,7645800
2009-04-22,20.51,21.690001000000002,20.51,20.959999,20.959999,10252900
2009-04-23,20.65,21.280001000000002,20.65,21.200001,21.200001,9256600
2009-04-24,20.610001,22.200001,20.610001,21.91,21.91,9959200
2009-04-27,21.559998999999998,21.93,21.27,21.459999,21.459999,8060700
2009-04-28,21.49,21.860001,21.120001000000002,21.26,21.26,6789700
2009-04-29,21.6,21.75,20.370001000000002,20.6,20.6,14229700
2009-04-30,20.719998999999998,21.07,20.32,20.620001000000002,20.620001000000002,10040500
2009-05-01,20.690001000000002,20.690001000000002,19.93,20.120001000000002,20.120001000000002,9190700
2009-05-04,20.34,20.91,20.120001000000002,20.85,20.85,8137900
2009-05-05,20.809998999999998,20.959999,20.190001000000002,20.6,20.6,6420200
2009-05-06,20.969998999999998,20.98,19.959999,20.15,20.15,8129100
2009-05-07,20.25,20.52,19.67,20.01,20.01,12116000
2009-05-08,20.360001,20.48,19.700001,19.9,19.9,8174200
2009-05-11,19.549999,20.280001000000002,19.120001000000002,19.809998999999998,19.809998999999998,9481000
2009-05-12,19.98,20.24,19.389999,20.059998999999998,20.059998999999998,8693800
2009-05-13,19.559998999999998,19.75,19.0,19.219998999999998,19.219998999999998,7265300
2009-05-14,19.040001,19.889999,18.98,19.58,19.58,6600500
2009-05-15,19.469998999999998,19.809998999999998,19.16,19.190001000000002,19.190001000000002,5364900
2009-05-18,19.299999,20.25,19.299999,20.190001000000002,20.190001000000002,6375500
2009-05-19,20.370001000000002,20.48,19.84,20.290001,20.290001,4728800
2009-05-20,20.049999,20.67,19.549999,19.65,19.65,6056400
2009-05-21,19.24,19.43,18.85,19.09,19.09,6683800
2009-05-22,19.110001,19.65,18.93,19.370001000000002,19.370001000000002,5321500
2009-05-26,19.02,20.75,19.0,20.389999,20.389999,9345900
2009-05-27,19.719998999999998,20.629998999999998,19.559998999999998,19.93,19.93,13581100
2009-05-28,20.27,20.370001000000002,19.549999,20.02,20.02,9374600
2009-05-29,19.82,20.469998999999998,19.690001000000002,20.459999,20.459999,11870100
2009-06-01,20.58,21.76,20.51,21.65,21.65,9101200
2009-06-02,21.440001000000002,21.950001,21.360001,21.77,21.77,6534400
2009-06-03,21.309998999999998,21.610001,20.879998999999998,21.16,21.16,8784000
2009-06-04,21.24,21.379998999999998,20.24,20.5,20.5,9887100
2009-06-05,20.610001,20.879998999999998,20.110001,20.23,20.23,9159900
2009-06-08,20.07,20.610001,19.870001000000002,20.42,20.42,6367000
2009-06-09,20.450001,21.02,20.23,20.959999,20.959999,8338100
2009-06-10,20.790001,21.32,20.48,20.68,20.68,9736600
2009-06-11,21.0,21.0,20.299999,20.540001,20.540001,8774800
2009-06-12,20.459999,21.16,20.26,21.129998999999998,21.129998999999998,11851100
2009-06-15,20.809998999999998,20.9,20.620001000000002,20.82,20.82,9488600
2009-06-16,20.66,20.969998999999998,20.25,20.309998999999998,20.309998999999998,8785000
2009-06-17,20.440001000000002,20.65,19.940001000000002,20.32,20.32,9706100
2009-06-18,20.24,20.48,20.049999,20.299999,20.299999,5614500
2009-06-19,20.5,20.700001,20.24,20.33,20.33,11027800
2009-06-22,20.26,20.360001,19.93,19.969998999999998,19.969998999999998,8624300
2009-06-23,19.879998999999998,20.110001,19.59,19.700001,19.700001,11120700
2009-06-24,20.15,20.299999,19.66,20.030001000000002,20.030001000000002,8440400
2009-06-25,20.040001,20.67,19.889999,20.6,20.6,6675600
2009-06-26,20.360001,20.77,20.24,20.6,20.6,8189600
2009-06-29,20.52,20.790001,20.26,20.52,20.52,6013900
2009-06-30,20.52,20.6,20.01,20.18,20.18,8007100
2009-07-01,20.450001,20.450001,20.049999,20.120001000000002,20.120001000000002,7351400
2009-07-02,19.809998999999998,19.84,19.030001000000002,19.18,19.18,8208200
2009-07-06,18.91,19.379998999999998,18.83,19.219998999999998,19.219998999999998,7361300
2009-07-07,19.0,19.209999,18.84,18.860001,18.860001,7693100
2009-07-08,18.889999,19.5,18.719998999999998,19.379998999999998,19.379998999999998,9758700
2009-07-09,19.379998999999998,19.620001000000002,19.120001000000002,19.309998999999998,19.309998999999998,9052700
2009-07-10,19.23,19.65,19.110001,19.389999,19.389999,6497000
2009-07-13,19.389999,20.030001000000002,19.200001,20.030001000000002,20.030001000000002,8861900
2009-07-14,19.879998999999998,20.07,19.67,20.030001000000002,20.030001000000002,6779900
2009-07-15,20.15,20.190001000000002,19.83,20.129998999999998,20.129998999999998,10818300
2009-07-16,20.09,20.620001000000002,19.809998999999998,20.52,20.52,5946700
2009-07-17,20.57,20.57,20.27,20.469998999999998,20.469998999999998,5150700
2009-07-20,20.49,21.08,20.34,21.049999,21.049999,7661400
2009-07-21,21.1,21.1,20.51,21.01,21.01,7230600
2009-07-22,21.09,21.4,20.82,21.200001,21.200001,6873000
2009-07-23,20.52,21.74,20.52,21.59,21.59,11961100
2009-07-24,21.549999,21.6,21.129998999999998,21.540001,21.540001,6476800
2009-07-27,21.42,21.540001,21.07,21.41,21.41,5579600
2009-07-28,20.91,21.190001000000002,20.700001,20.98,20.98,10620000
2009-07-29,20.99,21.120001000000002,20.709999,21.01,21.01,7868600
2009-07-30,21.08,21.41,20.91,20.950001,20.950001,15476100
2009-07-31,20.92,21.200001,20.700001,21.02,21.02,9969800
2009-08-03,21.120001000000002,21.530001000000002,20.879998999999998,21.52,21.52,6211900
2009-08-04,21.34,21.52,21.17,21.290001,21.290001,6726300
2009-08-05,21.16,21.43,20.91,21.110001,21.110001,6306000
2009-08-06,22.01,22.459999,21.83,22.27,22.27,10907300
2009-08-07,22.549999,23.059998999999998,22.09,22.950001,22.950001,11166300
2009-08-10,22.68,22.719998999999998,22.190001000000002,22.299999,22.299999,6847300
2009-08-11,22.17,22.370001000000002,21.809998999999998,22.16,22.16,9093700
2009-08-12,22.32,22.709999,21.940001000000002,22.49,22.49,7883900
2009-08-13,22.49,22.58,22.02,22.24,22.24,7432000
2009-08-14,22.16,22.24,21.639999,21.83,21.83,5800600
2009-08-17,21.549999,21.639999,20.93,21.17,21.17,9714500
2009-08-18,21.18,21.6,21.129998999999998,21.530001000000002,21.530001000000002,5002300
2009-08-19,21.18,21.639999,20.93,21.559998999999998,21.559998999999998,7336000
2009-08-20,21.51,21.790001,21.16,21.690001000000002,21.690001000000002,4904500
2009-08-21,21.530001000000002,22.549999,21.52,22.49,22.49,10023700
2009-08-24,22.52,22.889999,22.16,22.190001000000002,22.190001000000002,13134100
2009-08-25,21.76,22.6,21.6,21.790001,21.790001,18304200
2009-08-26,21.74,22.110001,21.49,21.969998999999998,21.969998999999998,13409600
2009-08-27,22.0,22.049999,21.540001,21.950001,21.950001,6299600
2009-08-28,22.02,22.08,21.610001,21.98,21.98,6627300
2009-08-31,21.870001000000002,21.9,21.450001,21.610001,21.610001,5634200
2009-09-01,22.040001,22.049999,21.35,21.370001000000002,21.370001000000002,11465900
2009-09-02,21.309998999999998,21.370001000000002,21.02,21.09,21.09,7224000
2009-09-03,21.129998999999998,21.549999,21.02,21.35,21.35,5277300
2009-09-04,21.24,21.530001000000002,21.09,21.41,21.41,4861000
2009-09-08,21.73,21.93,21.52,21.93,21.93,6912600
2009-09-09,21.98,22.620001000000002,21.879998999999998,22.469998999999998,22.469998999999998,10214700
2009-09-10,22.450001,22.790001,22.450001,22.6,22.6,7594500
2009-09-11,22.48,22.6,22.23,22.299999,22.299999,7332700
2009-09-14,22.110001,23.110001,22.110001,22.969998999999998,22.969998999999998,9645400
2009-09-15,22.98,22.98,22.440001000000002,22.889999,22.889999,8347200
2009-09-16,22.83,23.0,22.65,22.959999,22.959999,5597300
2009-09-17,22.75,23.030001000000002,22.59,22.809998999999998,22.809998999999998,5687400
2009-09-18,22.98,23.41,22.76,23.290001,23.290001,11044700
2009-09-21,23.24,23.5,22.950001,23.23,23.23,7134200
2009-09-22,23.35,23.48,23.049999,23.200001,23.200001,6953700
2009-09-23,23.309998999999998,23.32,22.77,22.790001,22.790001,7353800
2009-09-24,22.85,22.9,22.459999,22.709999,22.709999,4982900
2009-09-25,22.969998999999998,23.07,22.620001000000002,22.790001,22.790001,4855000
2009-09-28,22.82,23.370001000000002,22.809998999999998,23.24,23.24,5102400
2009-09-29,23.1,23.52,23.01,23.26,23.26,5263800
2009-09-30,23.26,23.450001,22.83,23.219998999999998,23.219998999999998,8438900
2009-10-01,23.01,23.209999,22.540001,22.66,22.66,9187800
2009-10-02,22.51,22.82,22.41,22.540001,22.540001,5839300
2009-10-05,22.370001000000002,22.82,22.33,22.799999,22.799999,6163600
2009-10-06,22.82,23.209999,22.73,23.07,23.07,8016800
2009-10-07,22.83,23.110001,22.719998999999998,23.110001,23.110001,5396200
2009-10-08,22.98,23.389999,22.98,23.18,23.18,4938100
2009-10-09,23.08,23.209999,22.950001,23.139999,23.139999,4773100
2009-10-12,23.129998999999998,23.42,23.049999,23.200001,23.200001,3534900
2009-10-13,23.120001000000002,23.299999,22.969998999999998,23.129998999999998,23.129998999999998,4707200
2009-10-14,23.17,23.370001000000002,23.049999,23.309998999999998,23.309998999999998,6277800
2009-10-15,23.16,23.379998999999998,23.0,23.379998999999998,23.379998999999998,6050200
2009-10-16,23.360001,23.4,22.84,23.209999,23.209999,5914300
2009-10-19,23.27,23.549999,23.139999,23.459999,23.459999,3828300
2009-10-20,23.1,23.450001,22.85,22.98,22.98,5478000
2009-10-21,22.719998999999998,23.48,22.719998999999998,22.77,22.77,6498600
2009-10-22,22.620001000000002,23.129998999999998,22.51,23.02,23.02,6208800
2009-10-23,22.92,23.030001000000002,22.41,22.6,22.6,5836000
2009-10-26,22.700001,23.200001,22.549999,22.67,22.67,6391900
2009-10-27,23.030001000000002,23.030001000000002,22.299999,22.43,22.43,6749200
2009-10-28,22.41,22.559998999999998,21.870001000000002,21.889999,21.889999,7269000
2009-10-29,22.1,22.34,21.620001000000002,22.27,22.27,8629000
2009-10-30,22.450001,22.450001,21.67,21.700001,21.700001,7859100
2009-11-02,21.709999,22.25,21.530001000000002,21.85,21.85,8677500
2009-11-03,21.799999,22.030001000000002,21.610001,21.889999,21.889999,7189300
2009-11-04,21.43,22.040001,21.43,21.639999,21.639999,5778500
2009-11-05,21.709999,22.33,21.59,22.18,22.18,4929600
2009-11-06,22.1,22.33,21.870001000000002,22.23,22.23,4304900
2009-11-09,22.280001000000002,22.68,22.049999,22.5,22.5,8342800
