Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,29.950001,30.18,29.09,29.92,29.92,3419200
2009-01-05,29.469998999999998,29.48,27.67,27.879998999999998,27.879998999999998,5573600
2009-01-06,28.15,28.459999,27.5,28.299999,28.299999,5090400
2009-01-07,27.65,28.41,26.59,26.68,26.68,4000100
2009-01-08,27.0,27.49,26.59,27.16,27.16,4407300
2009-01-09,26.780001000000002,27.370001000000002,25.370001000000002,25.559998999999998,25.559998999999998,6087900
2009-01-12,25.24,25.610001,23.379998999999998,23.67,23.67,6960700
2009-01-13,23.440001000000002,24.65,23.0,24.07,24.07,5860500
2009-01-14,23.209999,23.9,22.57,23.120001000000002,23.120001000000002,5485100
2009-01-15,22.73,23.0,20.02,20.889999,20.889999,11136700
2009-01-16,21.389999,21.58,19.15,19.940001000000002,19.940001000000002,13364900
2009-01-20,18.0,19.219998999999998,14.96,15.07,15.07,17028000
2009-01-21,16.4,16.65,14.72,15.21,15.21,20010300
2009-01-22,14.23,15.11,13.32,13.55,13.55,16907500
2009-01-23,12.89,15.08,12.44,14.97,14.97,10819300
2009-01-26,14.82,15.83,13.22,13.5,13.5,14718400
2009-01-27,13.78,14.08,12.97,13.05,13.05,10700900
2009-01-28,15.1,15.33,14.33,15.15,15.15,14774200
2009-01-29,14.21,14.59,13.26,13.35,13.35,10712300
2009-01-30,13.53,14.01,12.1,12.26,12.26,10281300
2009-02-02,12.22,12.41,11.49,11.95,11.95,8641300
2009-02-03,12.16,12.17,8.84,10.02,10.02,29608000
2009-02-04,10.22,11.05,9.77,9.97,9.97,15997100
2009-02-05,9.91,10.92,9.27,10.39,10.39,19650300
2009-02-06,10.74,12.55,10.67,12.09,12.09,23056800
2009-02-09,12.41,13.65,11.82,12.44,12.44,15302700
2009-02-10,12.86,13.0,8.78,9.06,9.06,38228000
2009-02-11,9.67,10.58,9.3,10.08,10.08,25454300
2009-02-12,9.88,9.99,8.59,9.25,9.25,24813700
2009-02-13,9.1,9.3,8.7,8.72,8.72,11865300
2009-02-17,8.03,8.14,6.92,7.11,7.11,22767700
2009-02-18,7.32,7.8,6.87,7.46,7.46,17718000
2009-02-19,7.81,7.96,6.69,6.7,6.7,15406600
2009-02-20,6.3,7.67,6.0,7.35,7.35,27493600
2009-02-23,7.78,8.43,7.51,7.88,7.88,25250900
2009-02-24,7.95,9.54,7.76,9.34,9.34,27444700
2009-02-25,9.25,11.99,8.59,11.0,11.0,36109800
2009-02-26,12.03,14.1,11.77,12.95,12.95,50954800
2009-02-27,11.38,12.25,11.0,12.03,12.03,25099300
2009-03-02,11.45,12.43,10.77,11.07,11.07,18211500
2009-03-03,11.6,11.85,10.57,10.85,10.85,14134000
2009-03-04,11.25,11.58,10.21,10.92,10.92,14302800
2009-03-05,10.52,10.81,9.56,9.81,9.81,14273400
2009-03-06,10.03,10.59,8.76,9.36,9.36,15899200
2009-03-09,9.01,10.75,8.95,10.09,10.09,16091600
2009-03-10,11.03,11.33,10.56,11.32,11.32,18973600
2009-03-11,11.72,12.23,10.92,11.22,11.22,15086300
2009-03-12,11.2,13.53,10.83,13.06,13.06,18820500
2009-03-13,13.02,13.17,11.6,12.21,12.21,15775300
2009-03-16,12.69,12.96,11.41,11.48,11.48,17002200
2009-03-17,11.47,12.21,11.0,12.15,12.15,13443400
2009-03-18,11.76,14.49,11.66,14.18,14.18,23222000
2009-03-19,14.35,14.88,12.51,12.66,12.66,14176500
2009-03-20,12.74,12.92,11.74,12.05,12.05,11562800
2009-03-23,13.16,14.15,12.7,14.11,14.11,15756900
2009-03-24,13.39,13.99,12.69,12.92,12.92,12968000
2009-03-25,13.45,13.75,12.04,12.98,12.98,13418600
2009-03-26,13.46,13.57,12.32,13.47,13.47,12924500
