Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,4.55,5.14,4.51,5.08,5.08,9355100
2009-01-05,5.11,5.39,4.96,5.14,5.14,8915700
2009-01-06,5.31,5.9,5.29,5.78,5.78,13248300
2009-01-07,5.39,5.6,5.33,5.37,5.37,10925400
2009-01-08,5.16,5.6,5.11,5.6,5.6,5103500
2009-01-09,5.65,5.76,5.3,5.64,5.64,8476800
2009-01-12,5.55,5.55,4.59,4.76,4.76,21754900
2009-01-13,4.61,4.81,4.39,4.58,4.58,10439100
2009-01-14,4.61,4.61,4.22,4.29,4.29,12343400
2009-01-15,4.32,4.44,4.01,4.33,4.33,11680200
2009-01-16,4.48,4.5,4.18,4.39,4.39,10174400
2009-01-20,4.48,4.48,3.85,3.88,3.88,10049200
2009-01-21,4.0,4.25,3.99,4.25,4.25,6378600
2009-01-22,3.89,3.94,3.13,3.23,3.23,30637400
2009-01-23,3.13,3.26,2.98,3.11,3.11,34796600
2009-01-26,3.14,3.49,3.12,3.42,3.42,27431100
2009-01-27,3.5,3.7,3.37,3.62,3.62,22355300
2009-01-28,3.85,4.12,3.73,3.95,3.95,12289000
2009-01-29,3.9,4.47,3.82,4.04,4.04,20359600
2009-01-30,4.25,4.32,3.77,3.79,3.79,10775800
2009-02-02,3.65,4.02,3.57,3.97,3.97,10416600
2009-02-03,3.84,3.96,3.65,3.83,3.83,9607100
2009-02-04,3.9,4.47,3.88,4.28,4.28,17445200
2009-02-05,4.24,4.55,4.09,4.39,4.39,16163700
2009-02-06,4.45,4.68,4.22,4.51,4.51,16722700
2009-02-09,4.5,4.55,4.3,4.36,4.36,8861100
2009-02-10,4.58,4.75,4.05,4.1,4.1,19198500
2009-02-11,4.3,4.33,4.06,4.2,4.2,7614600
2009-02-12,4.1,4.55,4.04,4.48,4.48,10387100
2009-02-13,4.41,4.48,4.29,4.37,4.37,6433500
2009-02-17,4.28,4.62,4.21,4.29,4.29,12870600
2009-02-18,4.46,4.68,4.26,4.45,4.45,10620500
2009-02-19,4.55,4.62,4.13,4.26,4.26,13103800
2009-02-20,4.14,4.24,3.7,4.19,4.19,18865300
2009-02-23,4.22,4.22,3.91,4.01,4.01,9720700
2009-02-24,4.05,4.05,3.81,3.96,3.96,19504800
2009-02-25,4.1,4.39,4.04,4.31,4.31,12892400
2009-02-26,4.26,4.38,4.1,4.1,4.1,7637400
2009-02-27,4.11,4.34,4.0,4.3,4.3,15044400
2009-03-02,4.1,4.32,3.63,3.68,3.68,16256000
2009-03-03,3.81,4.05,3.64,3.76,3.76,10057100
2009-03-04,3.8,4.0,3.67,3.76,3.76,12727200
2009-03-05,3.67,3.84,3.38,3.42,3.42,11936100
2009-03-06,3.51,3.65,3.04,3.11,3.11,14962800
2009-03-09,3.15,3.35,3.09,3.14,3.14,8072800
2009-03-10,3.25,3.74,3.25,3.61,3.61,10463400
2009-03-11,3.67,3.78,3.43,3.72,3.72,11094000
2009-03-12,3.79,3.96,3.7,3.88,3.88,7195100
2009-03-13,3.89,4.3,3.85,4.26,4.26,14125600
2009-03-16,4.27,4.5,4.21,4.3,4.3,12288000
2009-03-17,4.21,4.51,4.17,4.46,4.46,5783400
2009-03-18,4.5,4.81,4.4,4.7,4.7,9077000
2009-03-19,4.66,4.82,4.58,4.65,4.65,6882200
2009-03-20,4.76,4.78,4.39,4.6,4.6,8326800
2009-03-23,4.79,5.17,4.73,5.16,5.16,12508400
