Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,8.13,8.7,8.05,8.58,8.58,5422700
2009-01-05,8.7,9.1,8.69,8.9,8.9,6454100
2009-01-06,8.98,9.41,8.92,9.3,9.3,5514400
2009-01-07,9.28,9.28,8.57,8.71,8.71,4487500
2009-01-08,8.78,8.78,8.37,8.63,8.63,4115300
2009-01-09,8.79,8.95,8.4,8.59,8.59,4664200
2009-01-12,8.6,8.6,7.9,8.0,8.0,3856300
2009-01-13,8.46,8.46,7.74,8.07,8.07,6691500
2009-01-14,7.72,7.92,7.55,7.8,7.8,8826500
2009-01-15,7.77,7.95,7.21,7.48,7.48,11026100
2009-01-16,7.6,7.73,7.31,7.59,7.59,8598200
2009-01-20,11.5202,11.5202,6.89,7.02,7.02,7365100
2009-01-21,7.23,7.4,6.78,7.33,7.33,8602400
2009-01-22,7.21,7.36,6.66,6.77,6.77,6983200
2009-01-23,6.59,7.13,6.49,6.82,6.82,5750600
2009-01-26,6.73,7.3,6.73,6.88,6.88,3197700
2009-01-27,6.83,7.18,6.76,7.04,7.04,4552000
2009-01-28,7.09,7.52,7.09,7.33,7.33,3295800
2009-01-29,7.36,7.36,6.88,6.9,6.9,6900000
2009-01-30,7.22,7.25,5.64,5.77,5.77,16387400
2009-02-02,5.83,5.83,5.04,5.31,5.31,11276800
2009-02-03,5.28,5.28,4.82,4.96,4.96,14317500
2009-02-04,4.97,5.13,4.75,4.75,4.75,9467300
2009-02-05,4.61,4.94,4.5,4.8,4.8,7186600
2009-02-06,4.88,5.11,4.77,4.91,4.91,6695800
2009-02-09,4.85,4.99,4.68,4.85,4.85,4560000
2009-02-10,4.87,5.03,4.51,4.57,4.57,7806700
2009-02-11,4.66,4.74,4.46,4.59,4.59,4630000
2009-02-12,4.56,4.7,4.27,4.54,4.54,5388900
2009-02-13,4.53,4.67,4.17,4.19,4.19,5026300
2009-02-17,13.4914,13.4914,3.93,4.02,4.02,5847100
2009-02-18,4.08,4.22,3.92,4.06,4.06,5939800
2009-02-19,4.04,4.28,3.75,3.86,3.86,7718000
2009-02-20,3.8,3.88,3.62,3.7,3.7,11002300
2009-02-23,3.74,3.91,3.6,3.66,3.66,5746700
2009-02-24,3.61,4.22,3.5,4.08,4.08,8724600
2009-02-25,4.13,4.13,3.52,3.75,3.75,9005500
2009-02-26,3.85,3.93,3.5,3.57,3.57,6910600
2009-02-27,3.43,3.56,3.22,3.24,3.24,5824700
2009-03-02,3.13,3.16,2.92,2.92,2.92,5991600
2009-03-03,2.95,2.96,2.21,2.22,2.22,15637300
2009-03-04,2.3,2.48,2.19,2.37,2.37,8897200
2009-03-05,2.3,2.36,2.06,2.11,2.11,11227900
2009-03-06,2.17,2.2,1.91,2.2,2.2,11172400
2009-03-09,2.12,2.19,1.93,1.95,1.95,5374800
2009-03-10,2.0,2.23,1.85,1.99,1.99,12207900
2009-03-11,2.15,2.23,1.96,1.99,1.99,5266200
2009-03-12,1.99,2.2,1.93,2.17,2.17,5818400
2009-03-13,2.23,2.43,2.05,2.14,2.14,9413600
2009-03-16,2.27,2.91,2.23,2.4,2.4,11282700
2009-03-17,2.45,2.46,2.28,2.44,2.44,5706900
2009-03-18,2.43,2.66,2.36,2.46,2.46,6704500
2009-03-19,2.5,2.58,2.24,2.25,2.25,4923000
2009-03-20,2.26,2.31,2.04,2.14,2.14,11108200
2009-03-23,2.3,2.35,2.13,2.35,2.35,5740200
2009-03-24,2.35,2.56,2.25,2.32,2.32,7209700
2009-03-25,2.33,2.57,2.29,2.36,2.36,6318400
2009-03-26,2.41,2.53,2.38,2.51,2.51,4197200
2009-03-27,2.5,2.73,2.4,2.57,2.57,4104800
2009-03-30,2.51,2.62,2.25,2.26,2.26,7020200
2009-03-31,2.35,2.35,2.16,2.2,2.2,4795800
2009-04-01,2.15,2.32,2.1,2.29,2.29,2835000
2009-04-02,2.43,2.45,2.33,2.43,2.43,4264800
2009-04-03,2.48,2.58,2.23,2.55,2.55,4398300
2009-04-06,2.59,2.86,2.45,2.75,2.75,8695900
2009-04-07,3.04,3.04,2.6,2.69,2.69,6259300
2009-04-08,2.74,2.79,2.6,2.69,2.69,4576000
2009-04-09,2.85,3.86,2.7,3.75,3.75,15858100
2009-04-13,3.83,5.04,3.45,4.06,4.06,24843400
2009-04-14,4.05,4.05,3.05,3.27,3.27,17329200
2009-04-15,3.3,3.5,3.11,3.49,3.49,9330900
2009-04-16,4.02,4.2,3.47,3.6,3.6,13705100
2009-04-17,3.55,3.98,3.17,3.76,3.76,12638700
2009-04-20,3.69,3.69,3.1,3.19,3.19,7890300
2009-04-21,3.19,3.35,2.99,3.09,3.09,8410900
2009-04-22,3.13,3.37,3.03,3.16,3.16,9020100
2009-04-23,3.28,3.39,3.0,3.13,3.13,8051300
2009-04-24,3.11,3.51,3.11,3.45,3.45,10523900
2009-04-27,3.41,3.64,3.3,3.47,3.47,6842500
2009-04-28,3.37,3.54,3.3,3.4,3.4,4939900
2009-04-29,3.5,4.05,3.5,3.81,3.81,7251800
2009-04-30,3.88,4.27,3.86,3.91,3.91,7629500
2009-05-01,3.86,4.72,3.86,4.37,4.37,9170200
2009-05-04,4.28,4.74,4.15,4.47,4.47,7274200
2009-05-05,4.45,4.97,4.4,4.93,4.93,16188700
2009-05-06,5.02,6.16,5.0,5.35,5.35,26978000
2009-05-07,5.43,5.83,4.41,4.78,4.78,14981600
2009-05-08,4.93,5.53,4.71,5.48,5.48,11364100
2009-05-11,5.37,5.46,5.07,5.35,5.35,7168600
2009-05-12,5.38,5.7,4.61,4.93,4.93,10196400
2009-05-13,4.84,4.88,4.25,4.27,4.27,9495400
2009-05-14,4.27,4.53,4.14,4.41,4.41,8655000
2009-05-15,4.42,4.67,4.22,4.36,4.36,7591100
2009-05-18,4.4,4.56,4.25,4.56,4.56,6441300
2009-05-19,4.58,4.75,4.37,4.56,4.56,5701200
2009-05-20,4.62,5.03,4.62,4.7,4.7,5458400
2009-05-21,4.69,4.69,4.39,4.47,4.47,5946300
2009-05-22,4.48,4.66,4.47,4.56,4.56,2072800
2009-05-26,4.59,5.09,4.38,5.02,5.02,10140600
2009-05-27,5.03,5.17,4.89,5.04,5.04,8011200
2009-05-28,5.19,5.19,4.65,4.96,4.96,6743000
2009-05-29,4.99,5.15,4.74,4.77,4.77,10759700
2009-06-01,4.83,5.29,4.77,5.07,5.07,6767500
2009-06-02,5.05,5.16,4.5,4.66,4.66,7141500
2009-06-03,4.61,4.81,4.04,4.13,4.13,10758300
2009-06-04,4.29,4.33,4.16,4.24,4.24,4287600
2009-06-05,4.45,4.55,4.22,4.22,4.22,5321100
2009-06-08,4.25,4.39,4.15,4.3,4.3,3379700
2009-06-09,4.32,4.44,4.22,4.36,4.36,3690500
2009-06-10,4.4,4.45,4.22,4.3,4.3,4351100
2009-06-11,4.41,4.41,4.22,4.28,4.28,3887400
2009-06-12,4.25,4.27,4.15,4.22,4.22,2597500
2009-06-15,4.19,4.23,4.08,4.1,4.1,2934100
2009-06-16,4.11,4.18,3.93,3.99,3.99,5882400
2009-06-17,3.89,4.03,3.75,3.85,3.85,4085300
2009-06-18,3.81,3.83,3.55,3.69,3.69,6265600
2009-06-19,3.83,3.91,3.59,3.59,3.59,5614500
2009-06-22,3.54,3.66,3.5,3.51,3.51,4728300
2009-06-23,3.52,3.65,3.46,3.53,3.53,4856800
2009-06-24,3.59,3.73,3.51,3.53,3.53,4209300
2009-06-25,3.58,3.7,3.5,3.67,3.67,3336200
2009-06-26,3.7,3.87,3.64,3.73,3.73,3207200
2009-06-29,3.74,3.85,3.63,3.76,3.76,3435100
2009-06-30,3.71,3.86,3.56,3.57,3.57,4633600
2009-07-01,3.58,3.73,3.46,3.66,3.66,2880900
2009-07-02,3.65,3.65,3.3,3.3,3.3,3745000
2009-07-06,3.26,3.48,3.25,3.32,3.32,3120300
2009-07-07,3.37,3.37,3.17,3.2,3.2,5057500
2009-07-08,3.3,3.33,3.14,3.18,3.18,4030000
2009-07-09,3.18,3.27,3.14,3.19,3.19,5678200
2009-07-10,3.12,3.23,3.1,3.19,3.19,2332600
2009-07-13,3.16,3.32,3.16,3.32,3.32,5990200
2009-07-14,3.33,3.69,3.3,3.49,3.49,6508000
2009-07-15,4.12,4.59,3.96,4.5,4.5,23633100
