Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,9.2225,9.275,8.9125,36.73,9.1825,3110000
2009-01-05,9.3125,9.3125,8.8925,35.849998,8.9625,5456400
2009-01-06,8.9875,9.0925,8.52,34.799999,8.7,4319200
2009-01-07,8.1475,8.305,8.02,32.959998999999996,8.24,6407200
2009-01-08,8.305,8.3725,8.08,33.0,8.25,4115600
2009-01-09,8.225,8.255,8.015,32.459998999999996,8.115,3108800
2009-01-12,8.0325,8.2975,8.0,32.669998,8.1675,2988000
2009-01-13,8.125,8.3825,8.095,32.849998,8.2125,3322400
2009-01-14,8.1175,8.23,7.7525,31.41,7.8525,4589600
2009-01-15,7.845,8.4075,7.7675,32.790001000000004,8.1975,4175200
2009-01-16,8.3875,8.6,8.125,34.110001000000004,8.5275,3157600
2009-01-20,8.3975,8.575,8.1375,32.560001,8.14,2086400
2009-01-21,8.21,8.43,8.0025,33.400002,8.35,3536800
2009-01-22,8.17,8.4725,8.1075,33.27,8.3175,2401200
2009-01-23,8.3775,8.7375,8.125,33.82,8.455,7028000
2009-01-26,8.4125,8.925,8.4125,34.93,8.7325,2975600
2009-01-27,8.8025,8.97,8.42,34.200001,8.55,3381200
2009-01-28,8.7975,8.9625,8.515,35.259997999999996,8.815,2821600
2009-01-29,8.7675,8.7675,8.4325,34.59,8.6475,3026000
2009-01-30,8.6975,8.78,8.375,33.709998999999996,8.4275,2061600
2009-02-02,8.3175,8.6475,8.29,34.290001000000004,8.5725,2590000
2009-02-03,8.61,8.76,8.3575,34.919998,8.73,2521600
2009-02-04,8.715,8.745,8.4325,34.32,8.58,3317200
2009-02-05,8.5,8.9425,8.4525,35.490002000000004,8.8725,2503600
2009-02-06,8.8775,8.9225,8.7,35.299999,8.825,3553200
2009-02-09,8.8375,8.9275,8.665,35.25,8.8125,2265200
2009-02-10,8.79,8.8675,8.42,34.34,8.585,1875200
2009-02-11,8.65,8.65,8.1475,32.889998999999996,8.2225,3142800
2009-02-12,8.1475,8.375,8.0125,33.330002,8.3325,2233200
2009-02-13,8.3275,8.5125,8.1375,32.700001,8.175,1685200
2009-02-17,8.005,8.2375,7.8975,32.43,8.1075,2240800
2009-02-18,8.1375,8.215,7.9025,32.279999,8.07,3245600
2009-02-19,8.1425,8.2725,7.9875,32.130001,8.0325,2361600
2009-02-20,7.905,8.305,7.905,32.529999,8.1325,2794000
2009-02-23,8.19,8.31,7.7675,31.200001,7.8,3012000
2009-02-24,7.75,7.9325,7.655,31.5,7.875,2142400
2009-02-25,7.86,7.9925,7.6925,31.23,7.8075,2504400
2009-02-26,7.85,7.885,7.55,30.200001,7.55,2844000
2009-02-27,7.66,7.925,7.51,31.24,7.81,2971200
2009-03-02,7.7075,7.845,7.3775,29.68,7.42,2598000
2009-03-03,7.595,7.6425,7.2875,29.540001,7.385,4418000
2009-03-04,7.46,7.61,7.3125,29.91,7.4775,2381200
2009-03-05,7.3275,7.445,7.1675,29.23,7.3075,3096800
2009-03-06,7.36,7.47,7.1975,29.58,7.395,3442000
2009-03-09,7.3475,7.625,7.245,29.35,7.3375,2770000
2009-03-10,7.4775,8.0075,7.4,31.59,7.8975,2518400
2009-03-11,7.9525,8.2975,7.94,32.700001,8.175,2838000
2009-03-12,8.0,8.3325,7.7675,33.169998,8.2925,3284800
2009-03-13,8.3075,8.4225,7.92,32.439999,8.11,3574400
2009-03-16,8.5725,8.6375,8.2425,33.07,8.2675,2984400
2009-03-17,8.2875,8.7575,8.2875,34.959998999999996,8.74,3376000
2009-03-18,8.715,8.915,8.5925,35.25,8.8125,2890400
2009-03-19,8.875,8.8925,8.63,34.959998999999996,8.74,2205600
2009-03-20,8.7875,8.88,8.71,34.959998999999996,8.74,3136400
2009-03-23,9.0,9.14,8.705,36.560001,9.14,2504800
2009-03-24,8.9775,9.39,8.835,36.310001,9.0775,3232800
2009-03-25,9.3375,9.4925,8.88,36.27,9.0675,3353200
2009-03-26,9.2125,9.31,9.0025,36.98,9.245,3185200
2009-03-27,9.075,9.29,8.99,36.84,9.21,2005600
2009-03-30,9.005,9.0875,8.7375,36.23,9.0575,1562000
2009-03-31,9.14,9.185,8.8325,36.060001,9.015,1504000
2009-04-01,8.9225,9.27,8.8675,36.990002000000004,9.2475,2176000
2009-04-02,9.3925,9.9,9.1175,39.080002,9.77,3485200
2009-04-03,9.77,9.8775,9.6075,39.34,9.835,1290000
2009-04-06,9.4775,9.8525,9.4775,39.369999,9.8425,2204800
2009-04-07,9.7475,9.8925,9.67,39.060001,9.765,2445200
2009-04-08,9.845,10.07,9.735,39.509997999999996,9.8775,1941600
2009-04-09,10.0625,10.31,9.9025,41.040001000000004,10.26,1643600
2009-04-13,10.15,10.2475,9.7325,40.119999,10.03,1849600
2009-04-14,9.87,10.01,9.71,39.599998,9.9,1683200
2009-04-15,9.7325,9.9875,9.7325,39.650002,9.9125,1544400
2009-04-16,9.9975,10.2475,9.7625,40.57,10.1425,2165600
2009-04-17,10.155,10.2625,9.8725,40.91,10.2275,1572800
2009-04-20,10.0,10.22,9.865,40.540001000000004,10.135,2261600
2009-04-21,10.0675,10.58,9.95,41.98,10.495,5426800
2009-04-22,10.3775,10.93,10.255,42.700001,10.675,3834000
2009-04-23,10.52,10.52,9.7875,40.110001000000004,10.0275,7595200
2009-04-24,10.085,10.2075,9.91,39.830002,9.9575,3089600
2009-04-27,10.0525,10.0525,9.6125,38.970001,9.7425,3749600
2009-04-28,9.705,10.0525,9.625,39.669998,9.9175,2346400
2009-04-29,9.98,10.34,9.8475,40.099998,10.025,1922400
2009-04-30,10.1325,10.4,10.0,40.380001,10.095,2547200
2009-05-01,10.1025,10.1475,9.7025,39.060001,9.765,1711600
2009-05-04,9.7675,10.0,9.6425,39.200001,9.8,1560400
2009-05-05,9.775,9.79,9.5725,38.970001,9.7425,1806000
2009-05-06,9.8075,9.8725,9.525,38.669998,9.6675,1947600
2009-05-07,9.75,9.8475,9.4,38.130001,9.5325,2013200
2009-05-08,9.5225,9.6325,9.215,37.34,9.335,1821200
