Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,14.0,14.95,13.85,14.86,14.86,1338100
2009-01-05,14.88,15.0,14.6,14.85,14.85,826400
2009-01-06,15.06,15.07,14.73,14.81,14.81,865300
2009-01-07,14.63,14.75,14.44,14.5,14.5,641800
2009-01-08,14.42,14.63,14.31,14.6,14.6,553600
2009-01-09,14.63,14.68,14.16,14.19,14.19,943400
2009-01-12,14.24,14.37,14.11,14.31,14.31,934900
2009-01-13,14.33,14.46,14.1,14.27,14.27,899200
2009-01-14,14.02,14.06,13.57,13.69,13.69,1106800
2009-01-15,13.74,13.96,13.46,13.82,13.82,1119200
2009-01-16,14.09,14.23,13.58,13.81,13.81,1700800
2009-01-20,13.8,13.85,12.91,12.94,12.94,2034700
2009-01-21,13.25,13.46,12.88,13.4,13.4,1337600
2009-01-22,13.02,13.38,12.94,13.07,13.07,1194900
2009-01-23,12.96,12.98,12.61,12.72,12.72,1858700
2009-01-26,12.79,13.2,12.65,12.9,12.9,1194400
2009-01-27,12.84,13.48,12.78,13.34,13.34,1765800
2009-01-28,13.75,13.75,13.12,13.33,13.33,2022100
2009-01-29,13.04,13.27,12.96,13.03,13.03,2479500
2009-01-30,13.15,13.25,12.62,12.66,12.66,1867600
2009-02-02,12.55,13.13,12.51,13.0,13.0,1916200
2009-02-03,13.03,13.28,12.97,13.11,13.11,1435300
2009-02-04,13.15,13.35,12.99,13.06,13.06,1056700
2009-02-05,12.88,13.49,12.88,13.35,13.35,1344800
2009-02-06,13.35,13.71,13.3,13.67,13.67,1125000
2009-02-09,13.58,13.72,13.37,13.48,13.48,912300
2009-02-10,13.33,13.49,12.8,12.86,12.86,2078100
2009-02-11,12.98,13.2,12.9,13.1,13.1,1584600
2009-02-12,12.91,13.29,12.69,13.27,13.27,2152700
2009-02-13,13.24,13.48,13.15,13.2,13.2,1392500
2009-02-17,12.88,13.03,11.9,12.64,12.64,1751000
2009-02-18,12.71,13.22,12.59,12.85,12.85,2344800
2009-02-19,12.84,13.37,12.72,12.76,12.76,1652800
2009-02-20,12.56,12.91,11.88,12.73,12.73,2028600
2009-02-23,12.69,12.9,12.26,12.29,12.29,1484500
2009-02-24,12.43,12.84,12.26,12.78,12.78,2024000
2009-02-25,13.16,13.29,12.43,12.69,12.69,1721600
2009-02-26,12.67,12.88,12.49,12.56,12.56,1231000
2009-02-27,12.34,12.88,12.22,12.58,12.58,1744400
2009-03-02,12.38,12.64,12.22,12.23,12.23,1749400
2009-03-03,12.28,12.5,12.08,12.21,12.21,1719700
2009-03-04,12.38,12.48,12.17,12.33,12.33,1786700
2009-03-05,11.96,12.23,11.88,11.98,11.98,1983500
2009-03-06,12.08,12.11,11.52,11.82,11.82,2258500
2009-03-09,11.59,11.9,11.33,11.4,11.4,2240800
2009-03-10,11.7,12.06,11.45,12.06,12.06,2043300
2009-03-11,12.17,12.17,11.95,12.09,12.09,1459500
2009-03-12,12.11,12.45,11.76,12.42,12.42,2180500
2009-03-13,12.41,12.95,12.39,12.94,12.94,1740200
2009-03-16,13.0,13.24,12.85,12.89,12.89,1923800
2009-03-17,12.78,13.05,12.65,13.05,13.05,1359600
2009-03-18,13.09,13.45,12.9,13.34,13.34,2258000
2009-03-19,13.34,13.5,13.19,13.19,13.19,1614700
2009-03-20,13.31,13.52,13.03,13.03,13.03,1951100
2009-03-23,13.19,13.65,13.15,13.65,13.65,1980500
2009-03-24,13.42,13.71,13.27,13.27,13.27,1479700
2009-03-25,13.47,13.81,13.29,13.61,13.61,1438400
2009-03-26,13.7,14.0,13.65,13.93,13.93,1508000
2009-03-27,13.77,13.96,13.69,13.76,13.76,1511700
2009-03-30,13.55,13.74,13.43,13.69,13.69,1886800
2009-03-31,13.79,13.97,13.66,13.81,13.81,1728200
2009-04-01,13.65,14.1,13.52,13.98,13.98,2092400
2009-04-02,14.23,14.67,14.09,14.3,14.3,2409200
2009-04-03,14.52,14.58,14.24,14.58,14.58,1322200
2009-04-06,14.38,14.5,14.14,14.29,14.29,1639200
2009-04-07,14.14,14.24,13.72,13.75,13.75,1504400
2009-04-08,13.77,13.9,13.65,13.9,13.9,992900
2009-04-09,13.95,14.73,13.84,14.15,14.15,2398800
2009-04-13,14.11,14.33,13.96,14.25,14.25,1632700
2009-04-14,14.16,14.39,14.12,14.21,14.21,1764300
2009-04-15,14.07,14.28,13.99,14.28,14.28,1207200
2009-04-16,14.31,14.7,14.1,14.64,14.64,1183800
2009-04-17,14.67,14.73,14.29,14.4,14.4,2081900
2009-04-20,14.2,14.47,14.05,14.06,14.06,2073900
2009-04-21,14.12,14.55,14.11,14.52,14.52,1962900
2009-04-22,14.35,14.77,14.27,14.47,14.47,1913400
2009-04-23,14.6,14.64,14.14,14.52,14.52,1824700
2009-04-24,14.6,14.78,14.46,14.68,14.68,2139000
2009-04-27,14.56,14.79,14.51,14.58,14.58,1297700
2009-04-28,14.59,14.73,14.08,14.5,14.5,1344400
2009-04-29,12.89,13.5,12.74,12.84,12.84,5828600
2009-04-30,12.88,12.98,12.31,12.47,12.47,3673300
2009-05-01,12.58,12.75,12.41,12.68,12.68,2287400
