Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,14.05,15.58,13.8,15.37,15.37,4518100
2009-01-05,15.01,15.52,15.0,15.08,15.08,4261200
2009-01-06,15.1,16.4,15.1,16.040001,16.040001,6162400
2009-01-07,15.92,16.290001,15.52,15.87,15.87,4680700
2009-01-08,15.7,16.25,15.23,16.01,16.01,3436400
2009-01-09,16.02,16.52,15.51,15.86,15.86,3128600
2009-01-12,15.84,15.84,14.69,14.87,14.87,2774900
2009-01-13,14.52,15.15,13.75,13.86,13.86,4939500
2009-01-14,13.64,13.72,12.96,13.59,13.59,4944200
2009-01-15,13.61,13.99,12.69,13.66,13.66,3806800
2009-01-16,13.97,14.23,13.39,14.05,14.05,2605500
2009-01-20,13.98,13.98,12.41,12.45,12.45,3898600
2009-01-21,12.7,12.94,12.21,12.92,12.92,3976100
2009-01-22,12.51,12.85,12.03,12.38,12.38,3563300
2009-01-23,12.0,12.83,11.78,12.56,12.56,4130700
2009-01-26,12.56,12.75,11.96,12.26,12.26,3821700
2009-01-27,12.41,13.05,12.32,12.88,12.88,3822000
2009-01-28,13.07,13.65,13.01,13.3,13.3,5107600
2009-01-29,12.57,12.57,8.83,9.09,9.09,26435200
2009-01-30,9.2,9.36,8.84,9.03,9.03,11433800
2009-02-02,9.0,9.0,8.26,8.37,8.37,12363600
2009-02-03,8.59,8.77,7.93,7.97,7.97,8959200
2009-02-04,7.82,7.93,5.65,6.28,6.28,36867100
2009-02-05,6.0,6.22,5.03,6.09,6.09,25197600
2009-02-06,6.11,7.07,6.11,6.81,6.81,13213200
2009-02-09,6.99,7.56,6.88,7.33,7.33,12306700
2009-02-10,7.3,7.91,6.16,6.25,6.25,15606400
2009-02-11,6.37,7.0,6.37,6.76,6.76,12338400
2009-02-12,6.62,6.8,6.47,6.77,6.77,9460200
2009-02-13,6.81,7.35,6.75,6.89,6.89,8884500
2009-02-17,6.69,6.69,6.17,6.2,6.2,9156900
2009-02-18,6.27,6.72,6.13,6.49,6.49,7385700
2009-02-19,6.49,6.89,6.2,6.24,6.24,6589200
2009-02-20,6.12,6.39,5.87,6.25,6.25,7946600
2009-02-23,6.51,6.51,5.83,5.83,5.83,5695600
2009-02-24,6.01,6.21,5.83,6.14,6.14,11033200
2009-02-25,6.15,6.25,5.72,5.9,5.9,8044000
2009-02-26,6.1,6.24,5.67,5.8,5.8,5199900
2009-02-27,5.64,5.9,5.46,5.65,5.65,12107500
2009-03-02,5.31,5.5,4.25,4.43,4.43,15875700
2009-03-03,4.59,4.63,3.63,4.31,4.31,17387500
2009-03-04,4.33,4.8,4.33,4.71,4.71,6953500
2009-03-05,4.6,4.64,3.75,4.01,4.01,5545300
2009-03-06,4.06,4.12,3.57,3.75,3.75,7163300
2009-03-09,3.66,4.13,3.66,3.98,3.98,5005200
2009-03-10,4.15,4.61,4.1,4.54,4.54,9788900
2009-03-11,4.55,5.11,4.54,4.77,4.77,7297800
2009-03-12,4.9,5.1,4.71,5.06,5.06,6048900
2009-03-13,5.16,5.25,4.8,5.0,5.0,6499000
2009-03-16,5.14,6.07,5.13,5.56,5.56,9324800
2009-03-17,5.61,5.93,5.43,5.89,5.89,5919600
2009-03-18,5.85,6.64,5.72,6.61,6.61,5153500
