Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,3.00875,3.21125,3.00125,25.09,3.13625,4041600
2009-01-05,3.24875,3.25,3.05625,25.76,3.22,4266400
2009-01-06,3.21125,3.31,3.14125,26.139999,3.2675,3219200
2009-01-07,3.2,3.225,3.06,25.23,3.15375,4244000
2009-01-08,3.125,3.15,3.0,25.059998999999998,3.1325,2788000
2009-01-09,3.125,3.14375,2.975,24.0,3.0,3108800
2009-01-12,3.14875,3.14875,2.8725,23.209999,2.90125,3017600
2009-01-13,2.82375,2.97125,2.7625,22.32,2.79,4617600
2009-01-14,2.295,2.47375,2.28125,19.4,2.425,29724800
2009-01-15,2.425,2.48,2.34875,19.75,2.46875,8658400
2009-01-16,2.46875,2.53125,2.40125,19.969998999999998,2.49625,5520000
2009-01-20,2.4825,2.54875,2.35125,18.98,2.3725,5892800
2009-01-21,2.40625,2.48125,2.325,19.66,2.4575,6990400
2009-01-22,2.44375,2.45125,2.26375,19.370001000000002,2.42125,8565600
2009-01-23,2.3475,2.4375,2.31375,18.77,2.34625,3649600
2009-01-26,2.45,2.49375,2.3175,19.049999,2.38125,3455200
2009-01-27,2.39,2.425,2.335,18.73,2.34125,3685600
2009-01-28,2.38375,2.4475,2.3225,19.440001000000002,2.43,8794400
2009-01-29,2.38,2.51875,2.30375,19.0,2.375,10273600
2009-01-30,2.26875,2.3575,2.19375,18.5,2.3125,18305600
2009-02-02,2.28,2.3025,2.0725,16.790001,2.09875,13183200
2009-02-03,2.11,2.1875,2.06375,17.360001,2.17,8516000
2009-02-04,2.16625,2.1875,2.1125,17.030001000000002,2.12875,6628800
2009-02-05,2.12625,2.19375,2.08125,17.48,2.185,6624000
2009-02-06,2.1925,2.3325,2.1925,18.200001,2.275,9750400
2009-02-09,2.275,2.28875,2.1925,17.58,2.1975,5381600
2009-02-10,2.18875,2.21125,2.04375,16.440001000000002,2.055,9008000
2009-02-11,2.0725,2.14375,1.96875,16.440001000000002,2.055,7520800
2009-02-12,2.05375,2.07625,1.9975,16.52,2.065,5176800
2009-02-13,2.07625,2.07625,1.94625,15.82,1.9775,4551200
2009-02-17,1.9,1.97,1.86125,15.54,1.9425,7068800
2009-02-18,1.93875,2.00625,1.87875,15.43,1.92875,5317600
2009-02-19,1.92375,2.03875,1.89375,15.55,1.94375,5494400
2009-02-20,1.91,1.95,1.815,14.75,1.84375,9959200
2009-02-23,1.875,1.905,1.76,14.12,1.765,5641600
2009-02-24,1.74625,1.8625,1.65,14.68,1.835,7939200
2009-02-25,1.8275,1.84,1.7475,14.3,1.7875,3983200
2009-02-26,1.8525,1.8575,1.7825,14.62,1.8275,7113600
2009-02-27,1.78375,1.85375,1.77375,14.39,1.79875,3732800
2009-03-02,1.81125,1.81125,1.70625,13.77,1.72125,7326400
2009-03-03,1.74875,1.765,1.59,12.75,1.59375,7264800
2009-03-04,1.615,1.655,1.56625,12.89,1.61125,4999200
2009-03-05,1.6425,1.78125,1.58125,13.05,1.63125,11283200
2009-03-06,1.6525,1.65375,1.4925,12.33,1.54125,7057600
2009-03-09,1.55625,1.59875,1.52,12.44,1.555,3920000
2009-03-10,1.71875,1.7875,1.6125,13.71,1.71375,11640000
2009-03-11,1.735,1.76125,1.6875,13.59,1.69875,4475200
2009-03-12,1.6875,2.03875,1.67,15.5,1.9375,10843200
2009-03-13,1.98,2.10625,1.94125,16.139999,2.0175,7836000
2009-03-16,2.045,2.06375,1.92625,15.41,1.92625,6245600
2009-03-17,2.0025,2.0225,1.895,16.18,2.0225,8241600
2009-03-18,2.04,2.28125,2.0,17.700001,2.2125,10480800
2009-03-19,2.23125,2.2925,2.15625,18.059998999999998,2.2575,9825600
2009-03-20,2.26625,2.34375,2.1425,17.25,2.15625,11868800
2009-03-23,2.21,2.34375,2.1175,18.73,2.34125,7452000
2009-03-24,2.195,2.2425,2.03375,16.33,2.04125,9212800
2009-03-25,2.0575,2.15,1.94125,16.32,2.04,4998400
2009-03-26,2.0625,2.185,2.0475,17.41,2.17625,5946400
2009-03-27,2.1375,2.15125,2.0575,16.639999,2.08,3704000
2009-03-30,2.03375,2.10625,2.0,16.469998999999998,2.05875,4324000
2009-03-31,2.0775,2.105,2.01,16.43,2.05375,3513600
2009-04-01,2.01375,2.04625,1.9725,16.110001,2.01375,6432800
2009-04-02,2.12125,2.29,2.03625,17.290001,2.16125,7089600
2009-04-03,2.00125,2.2775,2.00125,18.07,2.25875,5426400
2009-04-06,2.24,2.27625,2.1725,17.74,2.2175,4989600
2009-04-07,2.1825,2.19125,2.0725,17.26,2.1575,5509600
2009-04-08,2.16375,2.2475,2.14875,17.719998999999998,2.215,4317600
2009-04-09,2.27,2.38125,2.22375,18.91,2.36375,6302400
2009-04-13,2.3625,2.3625,2.275,18.59,2.32375,5030400
2009-04-14,2.29375,2.3275,2.2,17.73,2.21625,5175200
2009-04-15,2.205,2.2975,2.205,18.200001,2.275,4051200
2009-04-16,2.27875,2.40125,2.22875,18.9,2.3625,6987200
2009-04-17,2.375,2.5375,2.3625,20.02,2.5025,6861600
2009-04-20,2.48125,2.48125,2.2775,18.360001,2.295,6585600
2009-04-21,2.29125,2.43125,2.25375,19.23,2.40375,4553600
2009-04-22,2.37125,2.65875,2.36125,20.73,2.59125,12352800
2009-04-23,2.595,2.6825,2.5575,21.389999,2.67375,8055200
2009-04-24,2.69875,2.69875,2.56875,20.93,2.61625,10240800
2009-04-27,2.5775,2.74875,2.5225,21.700001,2.7125,10984800
2009-04-28,2.9925,3.1875,2.84875,24.5,3.0625,40779200
2009-04-29,2.9875,3.065,2.86375,24.059998999999998,3.0075,17214400
2009-04-30,3.05375,3.05375,2.9225,23.540001,2.9425,11574400
2009-05-01,2.92625,3.0225,2.9125,24.0,3.0,7826400
2009-05-04,3.0575,3.1525,2.9625,25.15,3.14375,6384800
2009-05-05,3.13125,3.18375,3.04375,24.5,3.0625,6065600
2009-05-06,3.08875,3.10375,2.81375,24.5,3.0625,8835200
2009-05-07,3.12125,3.12125,2.8375,22.959999,2.87,8390400
2009-05-08,2.99625,3.0,2.825,23.35,2.91875,6880800
2009-05-11,2.865,2.865,2.71875,22.42,2.8025,8339200
2009-05-12,2.81375,2.865,2.6275,21.59,2.69875,5362400
2009-05-13,2.65625,2.71875,2.52875,20.74,2.5925,7257600
2009-05-14,2.635,2.73125,2.5175,21.469998999999998,2.68375,6824000
2009-05-15,2.68125,2.75,2.6625,21.690001000000002,2.71125,5333600
2009-05-18,2.74375,2.83875,2.7025,22.709999,2.83875,6788000
2009-05-19,2.94375,2.94375,2.7375,22.540001,2.8175,5793600
2009-05-20,2.83625,2.89875,2.74125,22.030001000000002,2.75375,7940000
2009-05-21,2.7225,2.7225,2.575,20.799999,2.6,11133600
2009-05-22,2.6525,2.665,2.53125,20.700001,2.5875,6744800
2009-05-26,2.55375,2.875,2.53375,22.98,2.8725,12117600
2009-05-27,2.85,3.00375,2.8125,23.139999,2.8925,8491200
2009-05-28,2.8975,3.06,2.87875,23.65,2.95625,7336800
2009-05-29,2.96625,3.0675,2.9375,24.540001,3.0675,4876000
2009-06-01,3.12375,3.16625,3.0725,25.23,3.15375,4768000
2009-06-02,3.12625,3.25,3.11875,25.67,3.20875,5198400
2009-06-03,3.17,3.31,3.13625,25.58,3.1975,4750400
2009-06-04,3.25875,3.275,3.09625,25.4,3.175,3281600
2009-06-05,3.2225,3.25,3.09875,25.190001000000002,3.14875,3452800
2009-06-08,3.1475,3.1475,2.955,24.059998999999998,3.0075,5670400
2009-06-09,3.0,3.10375,2.9625,24.379998999999998,3.0475,5819200
2009-06-10,3.08375,3.1225,2.9625,24.77,3.09625,4319200
2009-06-11,3.11125,3.13,2.98875,24.01,3.00125,3074400
2009-06-12,3.01125,3.02125,2.94375,24.129998999999998,3.01625,2535200
2009-06-15,2.95875,2.97125,2.885,23.299999,2.9125,3060000
2009-06-16,2.92875,2.975,2.775,22.219998999999998,2.7775,3990400
2009-06-17,2.75,2.8225,2.62625,22.25,2.78125,6456000
2009-06-18,2.79125,2.805,2.70375,21.809998999999998,2.72625,3155200
2009-06-19,2.7375,2.81625,2.72375,22.049999,2.75625,3947200
2009-06-22,2.74875,2.74875,2.64625,21.24,2.655,4250400
2009-06-23,2.6725,2.74875,2.61875,21.57,2.69625,4466400
2009-06-24,2.7225,2.73625,2.6575,21.360001,2.67,2519200
2009-06-25,2.65625,2.7325,2.59375,21.74,2.7175,5915200
2009-06-26,2.70625,2.885,2.6925,22.6,2.825,6736000
2009-06-29,2.82875,2.865,2.765,22.51,2.81375,2700000
2009-06-30,2.825,2.875,2.78625,22.379998999999998,2.7975,3784800
2009-07-01,2.845,2.88,2.80625,23.0,2.875,3623200
2009-07-02,2.81125,2.875,2.74625,22.4,2.8,2813600
2009-07-06,2.77125,2.8325,2.6625,21.620001000000002,2.7025,2503200
2009-07-07,2.715,2.72625,2.58375,20.73,2.59125,4712800
2009-07-08,2.62,2.63375,2.5625,20.889999,2.61125,2730400
2009-07-09,2.64375,2.70625,2.56375,20.629998999999998,2.57875,3052800
2009-07-10,2.5775,2.6175,2.50375,20.42,2.5525,2798400
