Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,18.450001,18.6,17.690001000000002,18.43,18.43,2895000
2009-01-05,18.219998999999998,19.58,18.15,19.450001,19.450001,3527400
2009-01-06,19.940001000000002,20.51,19.469998999999998,19.969998999999998,19.969998999999998,4074500
2009-01-07,19.379998999999998,19.379998999999998,17.299999,17.43,17.43,4938500
2009-01-08,17.280001000000002,18.27,17.280001000000002,18.190001000000002,18.190001000000002,3511700
2009-01-09,18.24,18.33,17.129998999999998,17.25,17.25,2911200
2009-01-12,17.15,17.15,15.87,16.120001000000002,16.120001000000002,3107500
2009-01-13,16.370001000000002,16.940001000000002,15.57,16.559998999999998,16.559998999999998,3905800
2009-01-14,16.09,16.25,15.01,15.26,15.26,3622300
2009-01-15,15.58,16.26,14.45,15.54,15.54,4515500
2009-01-16,16.99,18.280001000000002,15.61,16.209999,16.209999,4712700
2009-01-20,16.190001000000002,16.209999,13.87,14.0,14.0,6242200
2009-01-21,14.57,16.370001000000002,14.46,16.27,16.27,5155100
2009-01-22,15.43,15.8,13.85,14.5,14.5,6973600
2009-01-23,14.07,15.65,13.79,15.31,15.31,4377100
2009-01-26,15.04,15.57,14.25,14.59,14.59,4793000
2009-01-27,14.88,15.36,14.45,15.28,15.28,3356800
2009-01-28,16.33,17.290001,15.76,16.43,16.43,5200600
2009-01-29,15.82,15.82,14.73,14.78,14.78,4025900
2009-01-30,14.78,15.19,14.01,14.16,14.16,4520000
2009-02-02,13.82,14.88,13.64,14.67,14.67,4005700
2009-02-03,14.82,14.82,13.87,14.24,14.24,5031800
2009-02-04,14.0,14.84,13.15,14.19,14.19,4447300
2009-02-05,13.87,15.29,13.51,14.77,14.77,5956700
2009-02-06,15.11,15.25,14.32,14.99,14.99,4259700
2009-02-09,14.93,15.38,14.45,14.7,14.7,3356500
2009-02-10,14.5,14.7,12.59,12.69,12.69,8954600
2009-02-11,12.75,13.25,12.52,12.98,12.98,4734300
2009-02-12,12.23,13.27,12.23,13.17,13.17,4995300
2009-02-13,13.07,13.63,12.67,12.82,12.82,4717600
2009-02-17,12.04,12.42,11.26,11.32,11.32,6672900
2009-02-18,12.26,12.26,11.15,11.68,11.68,5230100
2009-02-19,11.97,11.97,10.15,10.24,10.24,8080800
2009-02-20,10.28,11.16,9.91,10.59,10.59,9752900
2009-02-23,10.77,11.03,9.83,9.83,9.83,6908700
2009-02-24,10.0,11.39,9.91,11.37,11.37,8225400
2009-02-25,11.5,11.5,9.94,10.58,10.58,8432700
2009-02-26,11.04,11.32,10.65,11.0,11.0,7389700
2009-02-27,10.59,10.78,9.65,10.18,10.18,9441200
2009-03-02,9.41,10.04,9.24,9.34,9.34,9529500
2009-03-03,9.55,9.76,8.6,8.67,8.67,7682500
2009-03-04,8.89,9.6,8.3,9.28,9.28,7844800
2009-03-05,8.78,9.03,7.78,7.99,7.99,8132900
2009-03-06,8.3,8.33,7.61,8.11,8.11,7165900
2009-03-09,7.94,8.49,7.81,8.17,8.17,7065800
2009-03-10,8.59,9.69,8.28,9.44,9.44,8297300
2009-03-11,9.55,10.17,8.98,9.93,9.93,9820600
2009-03-12,9.89,11.01,9.67,10.84,10.84,8707100
2009-03-13,10.79,11.35,10.54,11.02,11.02,6236900
2009-03-16,11.1,11.55,10.42,10.47,10.47,5582600
2009-03-17,10.26,11.48,10.22,11.48,11.48,5605700
2009-03-18,11.33,12.82,10.9,12.8,12.8,10246200
2009-03-19,13.08,13.23,11.99,12.09,12.09,10083800
2009-03-20,12.47,12.47,11.35,11.41,11.41,5705100
2009-03-23,11.87,13.35,11.87,13.35,13.35,7154900
2009-03-24,12.61,13.65,12.47,12.69,12.69,6388700
2009-03-25,12.99,13.41,12.08,12.93,12.93,5870800
2009-03-26,12.93,13.58,12.26,13.4,13.4,6180200
2009-03-27,12.9,13.45,12.54,13.11,13.11,3734600
2009-03-30,12.8,12.81,11.63,11.76,11.76,5141600
2009-03-31,11.71,12.72,11.71,12.5,12.5,5734900
2009-04-01,12.17,13.21,11.8,13.11,13.11,5809300
2009-04-02,13.64,13.86,13.2,13.6,13.6,5345700
2009-04-03,13.45,13.94,13.12,13.92,13.92,4667500
2009-04-06,13.63,13.86,13.24,13.64,13.64,3850900
2009-04-07,12.92,13.45,12.86,13.04,13.04,3166600
2009-04-08,13.63,13.95,13.17,13.46,13.46,3876800
2009-04-09,14.19,14.96,13.66,14.67,14.67,6713500
2009-04-13,14.87,15.11,14.03,14.96,14.96,6227600
2009-04-14,14.5,14.7,13.45,13.64,13.64,6080100
2009-04-15,13.43,14.82,13.14,14.77,14.77,5039800
2009-04-16,14.84,14.96,14.06,14.57,14.57,5692700
2009-04-17,14.61,15.35,14.3,15.03,15.03,6196200
2009-04-20,14.51,14.66,14.0,14.02,14.02,6943800
2009-04-21,13.56,15.42,12.83,15.42,15.42,6716600
2009-04-22,14.0,15.2,14.0,14.46,14.46,8119600
2009-04-23,14.58,15.2,14.26,15.1,15.1,5588600
2009-04-24,15.22,15.38,14.52,15.04,15.04,6903500
2009-04-27,14.94,15.48,14.65,15.24,15.24,5275400
2009-04-28,14.95,15.64,14.95,15.3,15.3,4340600
2009-04-29,15.49,16.309998999999998,15.29,16.110001,16.110001,5154000
2009-04-30,16.34,16.610001,15.99,16.34,16.34,7948700
2009-05-01,16.33,16.93,16.07,16.66,16.66,6162400
2009-05-04,16.719998999999998,17.77,16.6,17.719998999999998,17.719998999999998,8198300
2009-05-05,17.07,18.110001,17.030001000000002,17.75,17.75,6088500
2009-05-06,18.15,18.25,17.51,18.030001000000002,18.030001000000002,9120000
2009-05-07,18.129998999999998,18.440001000000002,17.299999,17.4,17.4,7851100
2009-05-08,17.51,18.940001000000002,17.219998999999998,18.940001000000002,18.940001000000002,8155000
2009-05-11,18.02,18.16,16.950001,17.02,17.02,7714100
2009-05-12,17.129998999999998,17.42,16.57,16.91,16.91,9510300
2009-05-13,16.59,16.799999,15.97,16.129998999999998,16.129998999999998,7440400
2009-05-14,15.99,16.950001,15.84,16.74,16.74,6521500
2009-05-15,16.719998999999998,16.809998999999998,16.040001,16.27,16.27,5274900
2009-05-18,16.66,17.610001,16.42,17.5,17.5,5659900
