Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,4.745,4.97,4.705,9.89,4.945,3663000
2009-01-05,4.935,5.145,4.865,10.17,5.085,5593200
2009-01-06,5.185,5.3,5.145,10.54,5.27,5705400
2009-01-07,5.245,5.245,4.94,10.01,5.005,5487000
2009-01-08,5.36,6.25,5.135,12.27,6.135,18752600
2009-01-09,6.33,6.5,5.73,12.57,6.285,15069800
2009-01-12,6.215,6.475,6.18,12.67,6.335,8531800
2009-01-13,6.25,6.685,6.25,13.16,6.58,10119200
2009-01-14,6.45,6.495,6.055,12.78,6.39,8797200
2009-01-15,6.19,6.365,5.91,12.37,6.185,7230400
2009-01-16,6.25,6.425,5.9,12.16,6.08,4580600
2009-01-20,6.07,6.22,5.515,11.22,5.61,5582600
2009-01-21,5.69,5.94,5.435,11.58,5.79,6025800
2009-01-22,5.56,5.945,5.38,11.28,5.64,5456000
2009-01-23,5.55,5.825,5.525,11.37,5.685,3967400
2009-01-26,5.695,5.875,5.645,11.42,5.71,4660400
2009-01-27,5.84,5.85,5.615,11.48,5.74,4290000
2009-01-28,5.845,6.22,5.775,11.92,5.96,7266400
2009-01-29,5.885,5.95,5.415,10.84,5.42,7414800
2009-01-30,5.6,5.68,5.085,10.25,5.125,6687400
2009-02-02,5.09,5.16,4.96,10.17,5.085,7838400
2009-02-03,5.1,5.205,4.955,10.25,5.125,4287600
2009-02-04,5.125,5.25,5.045,10.2,5.1,3617400
2009-02-05,5.295,5.3,4.97,10.41,5.205,4993800
2009-02-06,5.225,5.465,5.21,10.88,5.44,6525400
2009-02-09,5.44,5.625,5.44,11.07,5.535,3949800
2009-02-10,5.495,5.535,5.185,10.48,5.24,4485200
2009-02-11,5.26,5.31,5.06,10.36,5.18,4510800
2009-02-12,5.05,5.175,4.975,10.29,5.145,5496800
2009-02-13,5.24,5.295,4.975,9.97,4.985,5349000
2009-02-17,4.89,4.97,4.56,9.32,4.66,7626800
2009-02-18,4.885,5.01,4.53,9.29,4.645,10886800
2009-02-19,5.765,6.665,5.745,12.75,6.375,40449200
2009-02-20,6.245,6.625,6.16,12.84,6.42,14140600
2009-02-23,6.44,6.5,6.01,12.17,6.085,9576400
2009-02-24,6.085,6.34,5.915,12.46,6.23,9265000
2009-02-25,6.2,6.455,5.955,12.65,6.325,9560400
2009-02-26,6.135,6.52,6.01,12.21,6.105,8029600
2009-02-27,6.01,6.295,6.01,12.15,6.075,6412000
2009-03-02,6.185,6.185,5.71,11.57,5.785,4855200
2009-03-03,5.945,5.97,5.665,11.66,5.83,6039600
2009-03-04,5.915,6.17,5.705,12.04,6.02,7606200
2009-03-05,5.87,6.11,5.77,11.78,5.89,5699800
2009-03-06,6.13,6.13,5.72,12.08,6.04,9065400
2009-03-09,5.81,6.11,5.81,11.76,5.88,5341600
2009-03-10,5.975,6.37,5.955,12.71,6.355,10688800
2009-03-11,6.415,6.665,6.295,12.87,6.435,6481800
2009-03-12,6.43,7.29,6.35,14.11,7.055,7809000
2009-03-13,7.04,7.28,7.015,14.38,7.19,5045600
2009-03-16,7.275,7.775,7.25,14.96,7.48,9117800
2009-03-17,7.48,7.885,7.36,15.74,7.87,6692800
2009-03-18,7.81,7.995,7.725,15.73,7.865,8474200
2009-03-19,8.0,8.125,7.84,16.049999,8.025,6705400
2009-03-20,8.09,8.2,7.415,15.37,7.685,9665400
2009-03-23,7.925,8.29,7.54,16.290001,8.145,4912800
2009-03-24,8.145,8.67,8.065,16.75,8.375,8166600
2009-03-25,8.45,9.135,8.37,17.24,8.62,10819200
2009-03-26,8.7,9.12,8.675,18.23,9.115,9791600
2009-03-27,9.095,9.1,8.865,17.969998999999998,8.985,6080600
2009-03-30,8.695,8.77,8.265,16.969998999999998,8.485,5431200
2009-03-31,8.62,8.85,8.3,16.799999,8.4,5311000
2009-04-01,8.345,8.89,8.125,17.48,8.74,6618400
