Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,31.350000,32.080002,30.309999,31.889999,31.889999,3228400
2009-01-05,31.750000,32.590000,30.840000,31.930000,31.930000,2586900
2009-01-06,32.439999,32.540001,31.209999,32.029999,32.029999,3197400
2009-01-07,31.510000,32.189999,30.879999,31.260000,31.260000,2151700
2009-01-08,31.160000,32.020000,30.049999,32.000000,32.000000,2422800
2009-01-09,31.980000,32.070000,30.730000,30.980000,30.980000,1757300
2009-01-12,30.930000,30.930000,29.320000,29.959999,29.959999,2571600
2009-01-13,29.780001,30.660000,28.219999,29.030001,29.030001,3593900
2009-01-14,28.150000,28.350000,27.090000,27.590000,27.590000,3435900
2009-01-15,27.660000,29.379999,26.780001,28.950001,28.950001,3422800
2009-01-16,29.309999,29.670000,28.620001,29.379999,29.379999,2734800
2009-01-20,29.250000,29.330000,26.540001,26.660000,26.660000,3151400
2009-01-21,26.820000,28.000000,26.219999,27.940001,27.940001,3237400
2009-01-22,27.400000,28.440001,26.750000,27.740000,27.740000,2071000
2009-01-23,27.150000,28.820000,27.000000,28.040001,28.040001,1917900
2009-01-26,28.200001,29.190001,27.600000,28.059999,28.059999,2207200
2009-01-27,28.200001,28.910000,27.760000,28.709999,28.709999,2054200
2009-01-28,29.260000,30.680000,29.010000,30.389999,30.389999,1958200
2009-01-29,30.120001,30.120001,28.389999,28.700001,28.700001,1827500
2009-01-30,28.860001,29.110001,27.010000,27.340000,27.340000,2195600
2009-02-02,27.000000,27.120001,25.959999,26.530001,26.530001,2390500
2009-02-03,26.530001,27.780001,26.320000,27.610001,27.610001,2225500
2009-02-04,27.860001,29.320000,27.590000,28.250000,28.250000,2928700
2009-02-05,27.780001,28.530001,26.820000,27.360001,27.360001,3292600
2009-02-06,26.100000,28.350000,25.299999,28.030001,28.030001,7248000
2009-02-09,28.049999,29.840000,27.750000,28.670000,28.670000,2950000
2009-02-10,28.320000,28.670000,26.129999,26.549999,26.549999,4335700
2009-02-11,26.950001,27.190001,25.590000,26.260000,26.260000,1956700
2009-02-12,26.049999,26.719999,25.440001,26.660000,26.660000,2590800
2009-02-13,26.889999,27.000000,26.080000,26.120001,26.120001,1685300
2009-02-17,25.280001,25.719999,24.809999,25.250000,25.250000,2501500
2009-02-18,25.420000,25.809999,24.770000,25.270000,25.270000,2058100
2009-02-19,25.500000,25.750000,24.480000,24.660000,24.660000,2075600
2009-02-20,24.049999,25.190001,23.850000,24.920000,24.920000,3099100
2009-02-23,24.719999,25.309999,23.969999,24.090000,24.090000,3238200
2009-02-24,24.320000,26.260000,23.940001,26.080000,26.080000,2934000
2009-02-25,25.889999,26.430000,25.170000,25.830000,25.830000,2952500
2009-02-26,26.100000,26.870001,25.030001,25.200001,25.200001,2235100
2009-02-27,25.000000,25.080000,24.030001,24.160000,24.160000,2852800
2009-03-02,23.590000,24.040001,21.790001,21.969999,21.969999,3530100
2009-03-03,22.290001,22.480000,20.660000,20.780001,20.780001,4032600
2009-03-04,21.450001,21.459999,20.219999,20.950001,20.950001,3535000
2009-03-05,20.180000,20.459999,19.170000,19.450001,19.450001,3244400
2009-03-06,19.450001,20.260000,18.670000,19.360001,19.360001,3043300
2009-03-09,19.150000,19.620001,18.820000,19.469999,19.469999,2450600
2009-03-10,19.770000,21.490000,19.680000,21.430000,21.430000,3318900
2009-03-11,21.670000,22.049999,21.309999,21.740000,21.740000,2842000
2009-03-12,21.690001,23.030001,21.290001,22.930000,22.930000,3326500
2009-03-13,23.010000,23.980000,22.889999,23.820000,23.820000,2372000
2009-03-16,24.280001,26.350000,24.270000,24.930000,24.930000,3923700
2009-03-17,24.889999,26.740000,24.820000,26.709999,26.709999,3417700
2009-03-18,26.559999,27.900000,26.309999,27.850000,27.850000,3808000
2009-03-19,28.160000,29.100000,27.879999,28.000000,28.000000,5437500
2009-03-20,28.059999,28.059999,26.190001,26.520000,26.520000,3521500
2009-03-23,27.260000,28.410000,26.670000,28.410000,28.410000,2336800
2009-03-24,28.049999,29.250000,27.660000,28.400000,28.400000,2494900
2009-03-25,29.090000,29.910000,27.750000,29.070000,29.070000,3164200
2009-03-26,29.459999,29.950001,28.879999,29.910000,29.910000,2198300
2009-03-27,29.799999,29.799999,28.440001,28.830000,28.830000,1787500
2009-03-30,28.040001,28.450001,26.860001,27.240000,27.240000,1693700
2009-03-31,27.580000,28.000000,26.940001,27.570000,27.570000,2075900
2009-04-01,27.200001,28.360001,26.610001,28.230000,28.230000,2069400
2009-04-02,29.010000,30.379999,28.719999,29.980000,29.980000,2106500
2009-04-03,30.059999,31.129999,29.530001,31.059999,31.059999,2050700
2009-04-06,30.740000,31.059999,29.990000,30.940001,30.940001,1982500
2009-04-07,30.370001,30.600000,29.129999,29.370001,29.370001,2038200
2009-04-08,29.709999,29.709999,27.559999,28.389999,28.389999,2789700
2009-04-09,29.270000,31.559999,29.240000,31.510000,31.510000,3128900
2009-04-13,31.129999,32.380001,30.420000,32.259998,32.259998,2072200
2009-04-14,32.049999,32.049999,29.750000,30.160000,30.160000,2934700
2009-04-15,30.010000,30.910000,29.809999,30.870001,30.870001,2785900
2009-04-16,31.030001,32.950001,30.469999,32.419998,32.419998,2628400
2009-04-17,32.270000,34.799999,32.270000,34.450001,34.450001,3256600
2009-04-20,34.880001,35.470001,32.500000,32.580002,32.580002,3487700
2009-04-21,32.240002,34.630001,31.520000,34.180000,34.180000,2114200
2009-04-22,33.799999,36.130001,33.490002,34.919998,34.919998,2655700
