Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,6.58,7.68,6.58,7.56,7.56,2183900
2009-01-05,7.5,8.27,7.13,8.1,8.1,4221900
2009-01-06,8.23,8.76,8.05,8.71,8.71,3511500
2009-01-07,8.5,8.5,7.45,7.6,7.6,3211000
2009-01-08,7.57,7.88,7.23,7.82,7.82,2490200
2009-01-09,7.86,8.0,7.27,7.45,7.45,2490300
2009-01-12,7.44,7.44,6.55,6.7,6.7,2943200
2009-01-13,6.69,7.07,6.56,6.87,6.87,2729800
2009-01-14,6.68,6.84,6.2,6.31,6.31,2878900
2009-01-15,6.22,7.03,6.0,6.85,6.85,6234400
2009-01-16,6.98,7.27,6.67,7.1,7.1,4841600
2009-01-20,7.05,7.09,5.88,6.08,6.08,4520000
2009-01-21,6.11,7.04,6.11,6.86,6.86,3725300
2009-01-22,6.54,7.17,6.35,6.74,6.74,2815300
2009-01-23,6.0,7.0,5.66,6.54,6.54,4116500
2009-01-26,6.66,7.1,6.59,6.88,6.88,2269300
2009-01-27,6.96,7.09,6.55,6.68,6.68,1940300
2009-01-28,6.9,7.32,6.86,7.1,7.1,2477800
2009-01-29,6.96,6.96,6.45,6.49,6.49,2921000
2009-01-30,6.46,6.63,5.86,6.13,6.13,3320400
2009-02-02,5.92,6.06,5.48,5.84,5.84,3528900
2009-02-03,5.87,5.99,5.44,5.9,5.9,2591700
2009-02-04,5.94,6.04,5.58,5.66,5.66,2288800
2009-02-05,5.64,6.07,5.48,5.85,5.85,2243700
2009-02-06,5.89,6.42,5.78,6.23,6.23,2587900
2009-02-09,6.24,6.25,5.98,6.17,6.17,1748400
2009-02-10,6.06,6.21,5.72,5.76,5.76,4222500
2009-02-11,5.79,6.09,5.62,5.79,5.79,2219000
2009-02-12,5.38,6.04,5.03,5.94,5.94,3500000
2009-02-13,6.3,6.3,4.01,4.18,4.18,15782500
2009-02-17,4.5,4.68,4.16,4.46,4.46,8928700
2009-02-18,4.6,4.64,3.69,3.94,3.94,7042700
2009-02-19,4.0,4.13,3.85,3.86,3.86,3604600
2009-02-20,3.76,3.91,3.38,3.59,3.59,4037400
2009-02-23,3.66,3.83,3.23,3.36,3.36,5281000
2009-02-24,3.4,3.59,3.25,3.51,3.51,4305100
2009-02-25,3.49,3.57,3.29,3.42,3.42,3671900
2009-02-26,3.45,3.75,3.41,3.57,3.57,4493400
2009-02-27,3.41,3.87,3.39,3.69,3.69,3575100
2009-03-02,3.58,3.68,3.16,3.2,3.2,3897800
2009-03-03,3.22,3.33,2.96,3.09,3.09,5444000
2009-03-04,3.23,3.47,3.16,3.37,3.37,2840000
2009-03-05,3.34,3.36,2.97,3.02,3.02,2696900
2009-03-06,3.07,3.22,2.77,2.92,2.92,4243400
2009-03-09,2.95,3.71,2.85,3.1,3.1,3163600
2009-03-10,3.21,3.8,3.15,3.67,3.67,4000400
2009-03-11,3.73,4.22,3.69,3.91,3.91,3693200
2009-03-12,3.89,4.25,3.76,4.22,4.22,3767700
2009-03-13,4.27,4.39,4.0,4.18,4.18,2301800
2009-03-16,4.23,4.71,3.98,4.04,4.04,3452800
2009-03-17,4.05,4.19,3.93,4.19,4.19,2615800
2009-03-18,4.13,4.46,4.03,4.37,4.37,4394500
2009-03-19,4.47,4.6,4.15,4.22,4.22,2887100
2009-03-20,4.23,4.26,3.6,4.03,4.03,4646700
